timestamp,i1_pos_switch_baseband,i1_pos_switch_fm_demodulated,i2_pos_switch_baseband,i2_pos_switch_fm_demodulated,m1_speed_baseband,m1_speed_fm_demodulated,o7_valve_baseband,o7_valve_fm_demodulated,o8_compressor_baseband,o8_compressor_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,i5_light_barrier_baseband,i5_light_barrier_fm_demodulated,current_state_binary
2023-02-06 14:08:10,0.0,0.104156,0.0,0.576276,0.044159,0.604034,0.0,0.465676,0.151421,0.776508,0.0,0.536763,0.086602,0.51759,0.0,0.589351,0.0,0.777924,1
2023-02-06 14:08:12,0.0,0.070518,0.0,0.388323,0.043666,0.354594,0.0,0.31313,0.151421,0.196056,0.0,0.009091,0.086602,0.141556,0.0,0.003175,0.0,0.537262,1
2023-02-06 14:08:14,0.0,0.119621,0.0,0.458837,0.043307,0.417112,0.0,0.370275,0.151421,0.082453,0.0,0.171514,0.086602,0.137521,0.0,0.18891,0.0,0.627316,1
2023-02-06 14:08:16,0.0,0.176125,0.0,0.513519,0.043754,0.496084,0.0,0.414691,0.151421,0.288406,0.0,0.208026,0.086602,0.21159,0.0,0.227969,0.0,0.697431,1
2023-02-06 14:08:18,0.0,0.17349,0.0,0.480896,0.044676,0.441863,0.0,0.388296,0.151421,0.148682,0.0,0.080915,0.086602,0.119839,0.0,0.079387,0.0,0.661339,1
2023-02-06 14:08:20,0.0,0.138624,0.0,0.501513,0.044676,0.478029,0.0,0.4053,0.151421,0.19626,0.0,0.134356,0.086602,0.124572,0.0,0.142928,0.0,0.678321,1
2023-02-06 14:08:22,0.0,0.141549,0.0,0.475449,0.043152,0.439974,0.0,0.384237,0.151421,0.207018,0.0,0.059425,0.086602,0.092198,0.0,0.05482,0.0,0.652055,1
2023-02-06 14:08:24,0.0,0.162602,0.0,0.505516,0.041953,0.457001,0.0,0.408761,0.151421,0.158891,0.0,0.109661,0.086602,0.117354,0.0,0.112063,0.0,0.688173,1
2023-02-06 14:08:26,0.0,0.126521,0.0,0.482732,0.043463,0.459066,0.0,0.390197,0.151421,0.260403,0.0,0.097045,0.086602,0.152928,0.0,0.100168,0.0,0.655204,1
2023-02-06 14:08:28,0.0,0.14618,0.0,0.472021,0.046506,0.412371,0.0,0.381242,0.151421,0.187581,0.0,0.081645,0.086602,0.10359,0.0,0.079676,0.0,0.649386,1
2023-02-06 14:08:30,0.0,0.174358,0.0,0.514924,0.046506,0.473445,0.0,0.416,0.151421,0.157091,0.0,0.169185,0.086602,0.177698,0.0,0.183843,0.0,0.697109,1
2023-02-06 14:08:32,0.0,0.145843,0.0,0.473315,0.04192,0.455933,0.0,0.382099,0.151421,0.246287,0.0,0.104202,0.086602,0.194721,0.0,0.107443,0.0,0.64929,1
2023-02-06 14:08:34,0.0,0.1207,0.0,0.460215,0.038482,0.425953,0.0,0.371456,0.151421,0.199797,0.0,0.09342,0.086602,0.135095,0.0,0.097767,0.0,0.629151,1
2023-02-06 14:08:36,0.0,0.135923,0.0,0.477819,0.042627,0.442862,0.0,0.385798,0.151421,0.181678,0.0,0.115786,0.086602,0.104244,0.0,0.123888,0.0,0.650128,1
2023-02-06 14:08:38,0.0,0.185198,0.0,0.505279,0.050682,0.46271,0.0,0.408151,0.151421,0.166543,0.0,0.135851,0.086602,0.103486,0.0,0.140816,0.0,0.692658,1
2023-02-06 14:08:40,0.0,0.150237,0.0,0.496694,0.050682,0.486272,0.0,0.401352,0.151421,0.176515,0.0,0.127378,0.086602,0.162599,0.0,0.136212,0.0,0.672904,1
2023-02-06 14:08:42,0.0,0.130732,0.0,0.470216,0.039113,0.431352,0.0,0.379936,0.151421,0.244274,0.0,0.078047,0.086602,0.123258,0.0,0.075891,0.0,0.644812,1
2023-02-06 14:08:44,0.0,0.192125,0.0,0.524366,0.030517,0.458075,0.0,0.423956,0.151421,0.169516,0.0,0.151478,0.086602,0.103166,0.0,0.159191,0.0,0.713533,1
2023-02-06 14:08:46,0.0,0.149525,0.0,0.494163,0.040925,0.486854,0.0,0.399385,0.151421,0.161753,0.0,0.11693,0.086602,0.189042,0.0,0.122833,0.0,0.671151,1
2023-02-06 14:08:48,0.0,0.138188,0.0,0.471715,0.061567,0.436086,0.0,0.38101,0.151421,0.222699,0.0,0.088273,0.086602,0.150353,0.0,0.087015,0.0,0.648266,1
2023-02-06 14:08:50,0.0,0.145073,0.0,0.488507,0.061567,0.453795,0.0,0.394578,0.151421,0.164701,0.0,0.121997,0.086602,0.150742,0.0,0.131119,0.0,0.662636,1
2023-02-06 14:08:52,0.0,0.111531,0.0,0.450813,0.028207,0.416325,0.0,0.363907,0.151421,0.214139,0.0,0.070121,0.086602,0.161591,0.0,0.069107,0.0,0.619076,1
2023-02-06 14:08:54,0.0,0.177306,0.0,0.505821,0.0,0.434072,0.0,0.408532,0.151421,0.234581,0.0,0.147706,0.086602,0.070092,0.0,0.158016,0.0,0.689111,1
2023-02-06 14:08:56,0.0,0.165657,0.0,0.500314,0.043091,0.550821,0.0,0.404105,0.151421,0.153797,0.0,0.139079,0.086602,0.121856,0.0,0.149652,0.0,0.67987,1
2023-02-06 14:08:58,0.0,0.143665,0.0,0.476565,0.184068,0.607837,0.0,0.384912,0.151421,0.210772,0.0,0.09916,0.086602,0.138327,0.0,0.099899,0.0,0.653983,1
2023-02-06 14:09:00,0.0,0.167175,0.0,0.506368,0.37102,0.692493,0.0,0.409179,0.151421,0.208041,0.0,0.1382,0.086602,0.113961,0.0,0.148038,0.0,0.686674,1
2023-02-06 14:09:02,0.0,0.134316,0.0,0.474075,0.511997,0.763934,0.0,0.383013,0.151421,0.16743,0.0,0.089852,0.086602,0.168463,0.0,0.089498,0.0,0.649399,1
2023-02-06 14:09:04,0.0,0.150504,0.0,0.489966,0.555088,0.743293,0.0,0.395921,0.151421,0.213356,0.0,0.111039,0.086602,0.145163,0.0,0.114428,0.0,0.668488,1
2023-02-06 14:09:06,0.0,0.13805,0.0,0.482127,0.526881,0.706836,0.0,0.389511,0.151421,0.178255,0.0,0.10316,0.086602,0.159578,0.0,0.107551,0.0,0.656183,1
2023-02-06 14:09:08,0.0,0.163055,0.0,0.493831,0.493521,0.725408,0.0,0.398966,0.151421,0.21188,0.0,0.121057,0.086602,0.1387,0.0,0.124105,0.0,0.676402,1
