timestamp,i4_light_barrier_baseband,i4_light_barrier_am_demodulated,m1_speed_baseband,m1_speed_am_demodulated,m2_speed_baseband,m2_speed_am_demodulated,m3_speed_baseband,m3_speed_am_demodulated,current_task_baseband,current_task_am_demodulated,current_task_duration_baseband,current_task_duration_am_demodulated,current_sub_task_baseband,current_sub_task_am_demodulated,i1_light_barrier_baseband,i1_light_barrier_am_demodulated,i2_light_barrier_baseband,i2_light_barrier_am_demodulated,i3_light_barrier_baseband,i3_light_barrier_am_demodulated,i5_pos_switch_baseband,i5_pos_switch_am_demodulated,i6_pos_switch_baseband,i6_pos_switch_am_demodulated,i7_pos_switch_baseband,i7_pos_switch_am_demodulated,i8_pos_switch_baseband,i8_pos_switch_am_demodulated,m4_speed_baseband,m4_speed_am_demodulated,current_pos_x_baseband,current_pos_x_am_demodulated,current_pos_y_baseband,current_pos_y_am_demodulated,target_pos_x_baseband,target_pos_x_am_demodulated,target_pos_y_baseband,target_pos_y_am_demodulated,amount_of_workpieces_baseband,amount_of_workpieces_am_demodulated,current_state_binary
2023-02-06 14:08:08,0.0,0.413278,0.063277,0.420338,0.078478,0.433735,0.100555,0.48177,0.0,0.417627,0.151423,0.722422,0.0,0.418503,0.0,0.408151,0.0,0.810247,0.0,0.810247,1.0,0.933214,1.0,1.0,0.0,0.445356,1.0,0.933925,0.041142,0.478354,0.028855,0.42208,0.055632,0.430669,0.087978,0.458945,0.085338,0.470869,0.0,0.373331,1
2023-02-06 14:08:10,0.0,0.44984,0.06257,0.470798,0.078045,0.500557,0.10013,0.517809,0.0,0.444043,0.151423,0.724987,0.0,0.391324,0.0,0.381938,0.0,0.800235,0.0,0.800235,1.0,0.90996,1.0,0.799854,0.0,0.523714,1.0,0.857943,0.040682,0.487986,0.028855,0.41269,0.055632,0.429856,0.087978,0.439337,0.085338,0.455143,0.0,0.401781,1
2023-02-06 14:08:12,0.0,0.342234,0.062056,0.31816,0.07773,0.372407,0.099821,0.392422,0.0,0.340839,0.151423,0.540377,0.0,0.277997,0.0,0.270143,0.0,0.58997,0.0,0.58997,1.0,0.761543,1.0,0.559184,0.0,0.363227,1.0,0.678564,0.040348,0.351757,0.028855,0.301868,0.055632,0.270696,0.087978,0.316754,0.085338,0.301048,0.0,0.258226,1
2023-02-06 14:08:14,0.0,0.526828,0.062695,0.546845,0.078122,0.572576,0.100206,0.593924,0.0,0.512281,0.151423,0.837227,0.0,0.459997,0.0,0.452176,0.0,0.943647,0.0,0.943647,1.0,1.0,1.0,0.86018,0.0,0.596191,1.0,0.932444,0.040764,0.571079,0.028855,0.485444,0.055632,0.511289,0.087978,0.513384,0.085338,0.539471,0.0,0.474826,1
2023-02-06 14:08:16,0.0,0.45899,0.064017,0.45678,0.078932,0.490137,0.101,0.523168,0.0,0.458077,0.151423,0.746767,0.0,0.419735,0.0,0.410226,0.0,0.849653,0.0,0.849653,1.0,0.934367,1.0,0.798883,0.0,0.483088,1.0,0.864191,0.041623,0.503046,0.028855,0.436885,0.055632,0.430337,0.087978,0.4624,0.085338,0.465809,0.0,0.396021,1
2023-02-06 14:08:18,0.0,0.410202,0.064017,0.40399,0.078932,0.433076,0.101,0.473341,0.0,0.414247,0.151423,0.690018,0.0,0.394448,0.0,0.383479,0.0,0.778258,0.0,0.778258,1.0,0.886181,1.0,0.842625,0.0,0.441929,1.0,0.86077,0.041623,0.45774,0.028855,0.402452,0.055632,0.389809,0.087978,0.431565,0.085338,0.428364,0.0,0.350975,1
2023-02-06 14:08:20,0.0,0.353256,0.061833,0.340764,0.077593,0.36767,0.099687,0.415333,0.0,0.364711,0.151423,0.621295,0.0,0.362138,0.0,0.349421,0.0,0.69307,0.0,0.69307,1.0,0.825047,1.0,0.874339,0.0,0.385532,1.0,0.845589,0.040203,0.402878,0.028855,0.360598,0.055632,0.338756,0.087978,0.393019,0.085338,0.380475,0.0,0.297376,1
2023-02-06 14:08:22,0.0,0.308737,0.060115,0.287989,0.076539,0.319879,0.098654,0.372947,0.0,0.333283,0.151423,0.565938,0.0,0.336248,0.0,0.322095,0.0,0.634259,0.0,0.634259,1.0,0.791323,1.0,0.825518,0.0,0.312577,1.0,0.799545,0.039086,0.360413,0.028855,0.329922,0.055632,0.290031,0.087978,0.361472,0.085338,0.33483,0.0,0.25208,1
2023-02-06 14:08:24,0.0,0.340114,0.062278,0.326868,0.077866,0.352261,0.099955,0.402593,0.0,0.35502,0.151423,0.608426,0.0,0.359052,0.0,0.345164,0.0,0.677908,0.0,0.677908,1.0,0.806664,1.0,0.893728,0.0,0.373193,1.0,0.848419,0.040493,0.391574,0.028855,0.353182,0.055632,0.329035,0.087978,0.387885,0.085338,0.371814,0.0,0.28709,1
2023-02-06 14:08:26,0.0,0.318283,0.066639,0.301357,0.080541,0.334177,0.102578,0.380502,0.0,0.334979,0.151423,0.566733,0.0,0.326586,0.0,0.314063,0.0,0.628512,0.0,0.628512,1.0,0.793536,1.0,0.799781,0.0,0.334379,1.0,0.791583,0.043328,0.363532,0.028855,0.326525,0.055632,0.293582,0.087978,0.356241,0.085338,0.335273,0.0,0.257999,1
2023-02-06 14:08:28,0.0,0.394224,0.066639,0.387281,0.080541,0.416394,0.102578,0.457638,0.0,0.399779,0.151423,0.667705,0.0,0.381338,0.0,0.37027,0.0,0.750535,0.0,0.750535,1.0,0.8688,1.0,0.833663,0.0,0.423074,1.0,0.847705,0.043328,0.441742,0.028855,0.388404,0.055632,0.37277,0.087978,0.417429,0.085338,0.411726,0.0,0.334408,1
2023-02-06 14:08:30,0.0,0.424539,0.060067,0.418798,0.07651,0.449169,0.098625,0.483866,0.0,0.418438,0.151423,0.695094,0.0,0.387073,0.0,0.378259,0.0,0.778689,0.0,0.778689,1.0,0.889578,1.0,0.808892,0.0,0.466468,1.0,0.852164,0.039055,0.464663,0.028855,0.402477,0.055632,0.396136,0.087978,0.427879,0.085338,0.431896,0.0,0.358701,1
2023-02-06 14:08:32,0.0,0.378802,0.055141,0.366397,0.073488,0.404906,0.095662,0.436996,0.0,0.376273,0.151423,0.621682,0.0,0.335412,0.0,0.328283,0.0,0.688165,0.0,0.688165,1.0,0.855949,1.0,0.707645,0.0,0.406192,1.0,0.780084,0.035852,0.411637,0.028855,0.35556,0.055632,0.337684,0.087978,0.375365,0.085338,0.372736,0.0,0.30622,1
