timestamp,m1_speed_baseband,m1_speed_fm_demodulated,o7_valve_baseband,o7_valve_fm_demodulated,o8_compressor_baseband,o8_compressor_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,i1_light_barrier_baseband,i1_light_barrier_fm_demodulated,i3_light_barrier_baseband,i3_light_barrier_fm_demodulated,i2_color_sensor_baseband,i2_color_sensor_fm_demodulated,i6_light_barrier_baseband,i6_light_barrier_fm_demodulated,i7_light_barrier_baseband,i7_light_barrier_fm_demodulated,i8_light_barrier_baseband,i8_light_barrier_fm_demodulated,o5_valve_baseband,o5_valve_fm_demodulated,current_state_binary
2023-02-06 14:08:10,0.138512,0.490265,0.0,0.685565,0.151421,0.672642,0.0,0.540909,0.089556,0.142344,0.0,0.538209,0.0,0.500033,0.0,0.314471,0.873134,1.0,0.0,0.530341,0.0,0.532014,0.0,0.514167,0.0,0.685744,1
2023-02-06 14:08:12,0.137691,0.185218,0.0,0.0,0.151421,0.127143,0.0,0.0,0.089556,0.071975,0.0,0.015154,0.0,0.343539,0.0,0.108391,0.875622,0.489318,0.0,0.035406,0.0,0.050732,0.0,0.348581,0.0,0.0,1
2023-02-06 14:08:14,0.137094,0.146841,0.0,0.193971,0.151421,0.064428,0.0,0.152373,0.089556,0.100944,0.0,0.187471,0.0,0.402151,0.0,0.176257,0.879353,0.475347,0.0,0.175006,0.0,0.215036,0.0,0.41052,0.0,0.193705,1
2023-02-06 14:08:16,0.137837,0.214652,0.0,0.267463,0.151421,0.283358,0.0,0.21034,0.089556,0.175761,0.0,0.217913,0.0,0.447758,0.0,0.212212,0.875622,0.519819,0.0,0.227472,0.0,0.236731,0.0,0.45878,0.0,0.267268,1
2023-02-06 14:08:18,0.139372,0.196264,0.0,0.121968,0.151421,0.161069,0.0,0.096586,0.089556,0.192951,0.0,0.079054,0.0,0.42379,0.0,0.156391,0.873134,0.440026,0.0,0.124603,0.0,0.099711,0.0,0.431476,0.0,0.12201,1
2023-02-06 14:08:20,0.139372,0.185667,0.0,0.205511,0.151421,0.212363,0.0,0.161759,0.089556,0.150405,0.0,0.13113,0.0,0.435725,0.0,0.120893,0.870647,0.407894,0.0,0.180809,0.0,0.133468,0.0,0.447872,0.0,0.205711,1
2023-02-06 14:08:22,0.136835,0.163573,0.0,0.106361,0.151421,0.214423,0.0,0.084461,0.089556,0.120139,0.0,0.051699,0.0,0.417971,0.0,0.097076,0.875622,0.488853,0.0,0.111933,0.0,0.061178,0.0,0.426683,0.0,0.106689,1
2023-02-06 14:08:24,0.134839,0.1915,0.0,0.174059,0.151421,0.148382,0.0,0.137684,0.089556,0.161588,0.0,0.102568,0.0,0.441548,0.0,0.127751,0.875622,0.536188,0.0,0.159558,0.0,0.10961,0.0,0.452814,0.0,0.174497,1
2023-02-06 14:08:26,0.137352,0.223436,0.0,0.15528,0.151421,0.237489,0.0,0.122405,0.089556,0.136779,0.0,0.091749,0.0,0.420371,0.0,0.100364,0.873134,0.443319,0.0,0.144693,0.0,0.09659,0.0,0.431769,0.0,0.155658,1
2023-02-06 14:08:28,0.142419,0.172573,0.0,0.121904,0.151421,0.165135,0.0,0.096771,0.089556,0.10605,0.0,0.077333,0.0,0.41613,0.0,0.125935,0.875622,0.423939,0.0,0.124363,0.0,0.092675,0.0,0.423715,0.0,0.122093,1
2023-02-06 14:08:30,0.142419,0.182428,0.0,0.236115,0.151421,0.143508,0.0,0.185565,0.089556,0.165002,0.0,0.17337,0.0,0.447599,0.0,0.180781,0.875622,0.5098,0.0,0.203404,0.0,0.186189,0.0,0.459825,0.0,0.236115,1
2023-02-06 14:08:32,0.134783,0.216913,0.0,0.144918,0.151421,0.243764,0.0,0.114421,0.089556,0.185052,0.0,0.106034,0.0,0.416407,0.0,0.146183,0.875622,0.551154,0.0,0.140761,0.0,0.124488,0.0,0.424151,0.0,0.144815,1
2023-02-06 14:08:34,0.12906,0.201193,0.0,0.132689,0.151421,0.202315,0.0,0.104286,0.089556,0.164573,0.0,0.097294,0.0,0.403618,0.0,0.121831,0.875622,0.481903,0.0,0.130568,0.0,0.112793,0.0,0.411837,0.0,0.132493,1
2023-02-06 14:08:36,0.135961,0.175019,0.0,0.165424,0.151421,0.184365,0.0,0.129843,0.089556,0.107172,0.0,0.120215,0.0,0.417267,0.0,0.136588,0.875622,0.461036,0.0,0.153127,0.0,0.133798,0.0,0.427106,0.0,0.165262,1
2023-02-06 14:08:38,0.149371,0.141746,0.0,0.189735,0.151421,0.165076,0.0,0.15026,0.089556,0.124747,0.0,0.135032,0.0,0.44455,0.0,0.179758,0.873134,0.491655,0.0,0.17391,0.0,0.15313,0.0,0.453007,0.0,0.18976,1
2023-02-06 14:08:40,0.149371,0.190664,0.0,0.188888,0.151421,0.164251,0.0,0.148391,0.089556,0.196191,0.0,0.127478,0.0,0.43175,0.0,0.138922,0.875622,0.465499,0.0,0.168658,0.0,0.136692,0.0,0.443824,0.0,0.189061,1
2023-02-06 14:08:42,0.130111,0.212773,0.0,0.12211,0.151421,0.227895,0.0,0.096947,0.089556,0.124266,0.0,0.071445,0.0,0.413273,0.0,0.104725,0.875622,0.424525,0.0,0.123478,0.0,0.082118,0.0,0.421823,0.0,0.122465,1
2023-02-06 14:08:44,0.115799,0.144782,0.0,0.219459,0.151421,0.15546,0.0,0.173408,0.089556,0.109636,0.0,0.147002,0.0,0.457541,0.0,0.175424,0.879353,0.469111,0.0,0.192591,0.0,0.158929,0.0,0.469569,0.0,0.219922,1
2023-02-06 14:08:46,0.133128,0.198348,0.0,0.1757,0.151421,0.151786,0.0,0.138287,0.089556,0.186968,0.0,0.113799,0.0,0.430122,0.0,0.131814,0.879353,0.524994,0.0,0.159471,0.0,0.122964,0.0,0.442075,0.0,0.176083,1
2023-02-06 14:08:48,0.167493,0.219708,0.0,0.13012,0.151421,0.220071,0.0,0.103421,0.089556,0.147294,0.0,0.083562,0.0,0.415723,0.0,0.121412,0.875622,0.489987,0.0,0.13047,0.0,0.097401,0.0,0.423223,0.0,0.130318,1
2023-02-06 14:08:50,0.167493,0.15588,0.0,0.178509,0.151421,0.164079,0.0,0.139925,0.089556,0.166468,0.0,0.124862,0.0,0.425027,0.0,0.139351,0.870647,0.440739,0.0,0.161306,0.0,0.136268,0.0,0.436498,0.0,0.178513,1
2023-02-06 14:08:52,0.111954,0.201461,0.0,0.10481,0.151421,0.211772,0.0,0.082983,0.089556,0.17193,0.0,0.069794,0.0,0.397363,0.0,0.101503,0.875622,0.465034,0.0,0.111762,0.0,0.083892,0.0,0.404043,0.0,0.104693,1
2023-02-06 14:08:54,0.064993,0.221538,0.0,0.206185,0.151421,0.229719,0.0,0.162425,0.089556,0.085063,0.0,0.152531,0.0,0.442754,0.0,0.180718,0.875622,0.506242,0.0,0.183996,0.0,0.169399,0.0,0.45247,0.0,0.205958,1
2023-02-06 14:08:56,0.136733,0.329952,0.0,0.198051,0.151421,0.142527,0.0,0.155597,0.089556,0.136478,0.0,0.143941,0.0,0.43659,0.0,0.165516,0.879353,0.493768,0.0,0.176723,0.0,0.158435,0.0,0.447254,0.0,0.197873,1
2023-02-06 14:08:58,0.371442,0.6191,0.0,0.143344,0.151421,0.197058,0.0,0.113864,0.089556,0.148323,0.0,0.096637,0.0,0.419979,0.0,0.13234,0.875622,0.484323,0.0,0.140277,0.0,0.111304,0.0,0.427283,0.0,0.143384,1
2023-02-06 14:09:00,0.682692,0.862061,0.0,0.2017,0.151421,0.196581,0.0,0.158355,0.089556,0.12685,0.0,0.138713,0.0,0.440136,0.0,0.15732,0.875622,0.502401,0.0,0.17792,0.0,0.150024,0.0,0.452707,0.0,0.201911,1
2023-02-06 14:09:02,0.9174,0.903106,0.0,0.135148,0.151421,0.15904,0.0,0.107184,0.089556,0.169388,0.0,0.084106,0.0,0.416206,0.0,0.114572,0.875622,0.492144,0.0,0.132884,0.0,0.095587,0.0,0.42503,0.0,0.135504,1
2023-02-06 14:09:04,0.989141,0.84441,0.0,0.164548,0.151421,0.211102,0.0,0.129893,0.089556,0.14913,0.0,0.106363,0.0,0.428123,0.0,0.132893,0.875622,0.46123,0.0,0.15281,0.0,0.117526,0.0,0.43886,0.0,0.164976,1
2023-02-06 14:09:06,0.94218,0.854595,0.0,0.155763,0.151421,0.176377,0.0,0.122346,0.089556,0.172037,0.0,0.100509,0.0,0.420021,0.0,0.12125,0.879353,0.458476,0.0,0.145135,0.0,0.110559,0.0,0.431461,0.0,0.156111,1
2023-02-06 14:09:08,0.88664,0.875849,0.0,0.172273,0.151421,0.206589,0.0,0.136736,0.089556,0.145984,0.0,0.11768,0.0,0.434218,0.0,0.152736,0.875622,0.472974,0.0,0.160967,0.0,0.132491,0.0,0.442623,0.0,0.172455,1
2023-02-06 14:09:10,0.88664,0.840237,0.0,0.229326,0.151421,0.229999,0.0,0.180066,0.089556,0.073879,0.0,0.165199,0.0,0.452987,0.0,0.187506,0.875622,0.480727,0.0,0.198504,0.0,0.179457,0.0,0.465401,0.0,0.229329,1
2023-02-06 14:09:12,0.921006,0.810127,0.0,0.108533,0.151421,0.127615,0.0,0.086026,0.089556,0.181378,0.0,0.070717,0.0,0.398969,0.0,0.098539,0.875622,0.500298,0.0,0.114176,0.0,0.083376,0.0,0.405894,0.0,0.108433,1
2023-02-06 14:09:14,0.938335,0.818215,0.0,0.171476,0.151421,0.189015,0.0,0.135242,0.089556,0.15459,0.0,0.122446,0.0,0.427359,0.0,0.148951,0.875622,0.532263,0.0,0.158868,0.0,0.137004,0.0,0.436237,0.0,0.171268,1
2023-02-06 14:09:16,0.924023,0.832628,0.0,0.177179,0.151421,0.218846,0.0,0.139087,0.089556,0.099973,0.0,0.12607,0.0,0.427515,0.0,0.147409,0.875622,0.524718,0.0,0.16135,0.0,0.139314,0.0,0.437861,0.0,0.176989,1
2023-02-06 14:09:18,0.904763,0.838409,0.0,0.081002,0.151421,0.120263,0.0,0.064905,0.089556,0.194477,0.0,0.046315,0.0,0.38845,0.0,0.076141,0.879353,0.467584,0.0,0.09518,0.0,0.05787,0.0,0.394177,0.0,0.081037,1
2023-02-06 14:09:20,0.904763,0.848402,0.0,0.196621,0.151421,0.197398,0.0,0.154069,0.089556,0.156264,0.0,0.13534,0.0,0.437925,0.0,0.155976,0.879353,0.441399,0.0,0.174004,0.0,0.14713,0.0,0.450658,0.0,0.196837,1
2023-02-06 14:09:22,0.918172,0.852837,0.0,0.140053,0.151421,0.193026,0.0,0.111119,0.089556,0.139811,0.0,0.089155,0.0,0.417545,0.0,0.119356,0.875622,0.474022,0.0,0.136699,0.0,0.101245,0.0,0.426271,0.0,0.140401,1
2023-02-06 14:09:24,0.925074,0.847574,0.0,0.16769,0.151421,0.138866,0.0,0.132141,0.089556,0.192355,0.0,0.11,0.0,0.42846,0.0,0.136658,0.875622,0.489302,0.0,0.154928,0.0,0.121768,0.0,0.439478,0.0,0.16812,1
2023-02-06 14:09:26,0.91935,0.85933,0.0,0.211454,0.151421,0.214577,0.0,0.166149,0.089556,0.132992,0.0,0.145599,0.0,0.447919,0.0,0.171387,0.879353,0.463222,0.0,0.185648,0.0,0.158589,0.0,0.460674,0.0,0.211843,1
2023-02-06 14:09:28,0.911715,0.875594,0.0,0.144228,0.151421,0.180549,0.0,0.114734,0.089556,0.145159,0.0,0.094828,0.0,0.419715,0.0,0.126787,0.875622,0.447444,0.0,0.140673,0.0,0.108159,0.0,0.427493,0.0,0.144436,1
2023-02-06 14:09:30,0.911715,0.85983,0.0,0.202351,0.151421,0.172035,0.0,0.158612,0.089556,0.158805,0.0,0.143403,0.0,0.440274,0.0,0.165495,0.870647,0.474018,0.0,0.178711,0.0,0.156659,0.0,0.452272,0.0,0.202343,1
2023-02-06 14:09:32,0.916781,0.833157,0.0,0.16351,0.151421,0.23022,0.0,0.129657,0.089556,0.100097,0.0,0.114362,0.0,0.426397,0.0,0.143818,0.875622,0.498579,0.0,0.15424,0.0,0.12877,0.0,0.434259,0.0,0.163389,1
2023-02-06 14:09:34,0.919295,0.833253,0.0,0.134912,0.151421,0.189199,0.0,0.106506,0.089556,0.137949,0.0,0.09193,0.0,0.409911,0.0,0.11595,0.875622,0.494485,0.0,0.132207,0.0,0.104368,0.0,0.418038,0.0,0.134722,1
