segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_am_demodulated,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_am_demodulated,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_am_demodulated,i3_photoresistor_rms_baseband,i3_photoresistor_rms_am_demodulated,i3_photoresistor_mean_baseband,i3_photoresistor_mean_am_demodulated,i3_photoresistor_variance_baseband,i3_photoresistor_variance_am_demodulated,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
13,2023-02-06T14:14:40.000000000,2023-02-06T14:15:38.000000000,0.010674,0.37853,0.009208,0.380086,0.0,0.48796,0.034273,0.096454,0.036044,0.105387,0.016686,0.348756,0.036044,0.105387,0.0,0.628456,0.0,0.628456,0.0,0.628456,0.0,0.628456,0.0,0.628456,0.0,0.628456,0.0,0.628456,1
14,2023-02-06T14:15:10.000000000,2023-02-06T14:16:08.000000000,0.001049,0.420152,0.001273,0.42375,0.0,0.454505,0.017837,0.09561,0.019897,0.105009,0.00899,0.358571,0.019897,0.105009,0.0,0.665354,0.0,0.665354,0.0,0.665354,0.0,0.665354,0.0,0.665354,0.0,0.665354,0.0,0.665354,1
15,2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,0.005434,0.429131,0.008437,0.433054,0.0,0.452484,0.006255,0.120029,0.005416,0.128113,0.015543,0.367269,0.005416,0.128113,0.0,0.70677,0.0,0.70677,0.0,0.70677,0.0,0.70677,0.0,0.70677,0.0,0.70677,0.0,0.70677,1
16,2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,0.000894,0.344845,0.001309,0.34657,0.0,0.37851,0.0,0.052645,0.0,0.062436,0.007776,0.305431,0.0,0.062436,0.0,0.598111,0.0,0.598111,0.0,0.598111,0.0,0.598111,0.0,0.598111,0.0,0.598111,0.0,0.598111,1
17,2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,0.007465,0.388685,0.007421,0.389365,0.0,0.386468,0.015451,0.084609,0.015106,0.09554,0.022005,0.324389,0.015106,0.09554,0.0,0.639261,0.0,0.639261,0.0,0.639261,0.0,0.639261,0.0,0.639261,0.0,0.639261,0.0,0.639261,1
18,2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,0.018877,0.422406,0.015395,0.421308,0.0,0.42367,0.043913,0.171863,0.043989,0.18099,0.040909,0.371173,0.043989,0.18099,0.0,0.716208,0.0,0.716208,0.0,0.716208,0.0,0.716208,0.0,0.716208,0.0,0.716208,0.0,0.716208,1
19,2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,0.022889,0.359175,0.018958,0.357867,0.0,0.370934,0.081404,0.10226,0.081969,0.112923,0.056523,0.319648,0.081969,0.112923,0.0,0.574368,0.0,0.574368,0.0,0.574368,0.0,0.574368,0.0,0.574368,0.0,0.574368,0.0,0.574368,1
20,2023-02-06T14:18:10.000000000,2023-02-06T14:19:08.000000000,0.017568,0.382711,0.014803,0.381655,0.0,0.406401,0.116319,0.160975,0.11816,0.171154,0.03699,0.339069,0.11816,0.171154,0.0,0.614369,0.0,0.614369,0.0,0.614369,0.0,0.614369,0.0,0.614369,0.0,0.614369,0.0,0.614369,1
21,2023-02-06T14:18:40.000000000,2023-02-06T14:19:38.000000000,0.003832,0.349289,0.004524,0.350043,0.0,0.399852,0.13579,0.155237,0.138547,0.165373,0.008982,0.316654,0.138547,0.165373,0.0,0.572249,0.0,0.572249,0.0,0.572249,0.0,0.572249,0.0,0.572249,0.0,0.572249,0.0,0.572249,1
22,2023-02-06T14:19:10.000000000,2023-02-06T14:20:08.000000000,0.000914,0.385279,0.000763,0.387663,0.0,0.469819,0.145055,0.181592,0.147944,0.19207,0.003528,0.33121,0.147944,0.19207,0.0,0.609569,0.0,0.609569,0.0,0.609569,0.0,0.609569,0.0,0.609569,0.0,0.609569,0.0,0.609569,1
