segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_am_demodulated,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_am_demodulated,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_am_demodulated,i3_photoresistor_rms_baseband,i3_photoresistor_rms_am_demodulated,i3_photoresistor_mean_baseband,i3_photoresistor_mean_am_demodulated,i3_photoresistor_variance_baseband,i3_photoresistor_variance_am_demodulated,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
65,2023-02-06T14:40:40.000000000,2023-02-06T14:41:38.000000000,0.000795,0.335334,0.000857,0.336685,0.0,0.380286,0.509474,0.487513,0.511083,0.494275,0.014234,0.300575,0.511083,0.494275,0.0,0.561926,0.0,0.561926,0.0,0.561926,0.0,0.561926,0.0,0.561926,0.0,0.561926,0.0,0.561926,1
66,2023-02-06T14:41:10.000000000,2023-02-06T14:42:08.000000000,0.018653,0.371175,0.017367,0.371414,0.0,0.42297,0.4923,0.511449,0.493917,0.517843,0.019875,0.324467,0.493917,0.517843,0.0,0.605225,0.0,0.605225,0.0,0.605225,0.0,0.605225,0.0,0.605225,0.0,0.605225,0.0,0.605225,1
67,2023-02-06T14:41:40.000000000,2023-02-06T14:42:38.000000000,0.00486,0.409447,0.009423,0.413918,0.0,0.422466,0.484069,0.537727,0.485823,0.544144,0.006944,0.34793,0.485823,0.544144,0.0,0.659736,0.0,0.659736,0.0,0.659736,0.0,0.659736,0.0,0.659736,0.0,0.659736,0.0,0.659736,1
68,2023-02-06T14:42:10.000000000,2023-02-06T14:43:08.000000000,0.017847,0.388873,0.028768,0.391833,0.0,0.444458,0.47988,0.522383,0.481565,0.528613,0.016466,0.342493,0.481565,0.528613,0.0,0.641997,0.0,0.641997,0.0,0.641997,0.0,0.641997,0.0,0.641997,0.0,0.641997,0.0,0.641997,1
69,2023-02-06T14:42:40.000000000,2023-02-06T14:43:38.000000000,0.006801,0.324048,0.006435,0.324805,0.0,0.364279,0.466876,0.43352,0.46862,0.440976,0.014453,0.290193,0.46862,0.440976,0.0,0.535163,0.0,0.535163,0.0,0.535163,0.0,0.535163,0.0,0.535163,0.0,0.535163,0.0,0.535163,1
70,2023-02-06T14:43:10.000000000,2023-02-06T14:44:08.000000000,0.000216,0.307838,0.000294,0.309413,0.0,0.35887,0.454772,0.409432,0.45661,0.417173,0.008441,0.277054,0.45661,0.417173,0.0,0.518746,0.0,0.518746,0.0,0.518746,0.0,0.518746,0.0,0.518746,0.0,0.518746,0.0,0.518746,1
71,2023-02-06T14:43:40.000000000,2023-02-06T14:44:38.000000000,0.010119,0.33232,0.013123,0.335494,0.0,0.379905,0.439085,0.417156,0.440832,0.424779,0.023499,0.294832,0.440832,0.424779,0.0,0.555267,0.0,0.555267,0.0,0.555267,0.0,0.555267,0.0,0.555267,0.0,0.555267,0.0,0.555267,1
72,2023-02-06T14:44:10.000000000,2023-02-06T14:45:08.000000000,0.002029,0.304934,0.002672,0.308419,0.0,0.333341,0.422514,0.362042,0.424465,0.370639,0.007706,0.264746,0.424465,0.370639,0.0,0.504268,0.0,0.504268,0.0,0.504268,0.0,0.504268,0.0,0.504268,0.0,0.504268,0.0,0.504268,1
73,2023-02-06T14:44:40.000000000,2023-02-06T14:45:38.000000000,0.000837,0.329336,0.000866,0.331078,0.0,0.385346,0.414288,0.39555,0.416332,0.403605,0.001119,0.286327,0.416332,0.403605,0.0,0.563456,0.0,0.563456,0.0,0.563456,0.0,0.563456,0.0,0.563456,0.0,0.563456,0.0,0.563456,1
74,2023-02-06T14:45:10.000000000,2023-02-06T14:46:08.000000000,0.000706,0.362796,0.000709,0.364777,0.0,0.388522,0.405654,0.40694,0.40762,0.415028,0.011663,0.311626,0.40762,0.415028,0.0,0.600391,0.0,0.600391,0.0,0.600391,0.0,0.600391,0.0,0.600391,0.0,0.600391,0.0,0.600391,1
75,2023-02-06T14:45:40.000000000,2023-02-06T14:46:38.000000000,0.017073,0.354323,0.015829,0.354677,0.0,0.383986,0.385767,0.379572,0.387593,0.387589,0.03051,0.314476,0.387593,0.387589,0.0,0.569904,0.0,0.569904,0.0,0.569904,0.0,0.569904,0.0,0.569904,0.0,0.569904,0.0,0.569904,1
76,2023-02-06T14:46:10.000000000,2023-02-06T14:47:08.000000000,0.001296,0.394619,0.001275,0.394625,0.0,0.429581,0.379242,0.431682,0.381219,0.438938,0.018276,0.357065,0.381219,0.438938,0.0,0.643826,0.0,0.643826,0.0,0.643826,0.0,0.643826,0.0,0.643826,0.0,0.643826,0.0,0.643826,1
77,2023-02-06T14:46:40.000000000,2023-02-06T14:47:38.000000000,0.017421,0.42319,0.013094,0.422716,0.0,0.43144,0.403622,0.470515,0.405221,0.477318,0.047913,0.391131,0.405221,0.477318,0.0,0.676151,0.0,0.676151,0.0,0.676151,0.0,0.676151,0.0,0.676151,0.0,0.676151,0.0,0.676151,1
78,2023-02-06T14:47:10.000000000,2023-02-06T14:48:08.000000000,0.026306,0.395644,0.024206,0.391832,0.0,0.420118,0.446375,0.472213,0.447419,0.47811,0.096323,0.398024,0.447419,0.47811,0.0,0.612732,0.0,0.612732,0.0,0.612732,0.0,0.612732,0.0,0.612732,0.0,0.612732,0.0,0.612732,1
79,2023-02-06T14:47:40.000000000,2023-02-06T14:48:38.000000000,0.030579,0.387033,0.026617,0.383376,0.0,0.392306,0.503341,0.502889,0.503853,0.508446,0.148685,0.411336,0.503853,0.508446,0.0,0.592089,0.0,0.592089,0.0,0.592089,0.0,0.592089,0.0,0.592089,0.0,0.592089,0.0,0.592089,1
80,2023-02-06T14:48:10.000000000,2023-02-06T14:49:08.000000000,0.055133,0.450376,0.044499,0.442313,0.0,0.433049,0.569385,0.614243,0.569428,0.618343,0.200363,0.468429,0.569428,0.618343,0.0,0.670947,0.0,0.670947,0.0,0.670947,0.0,0.670947,0.0,0.670947,0.0,0.670947,0.0,0.670947,1
81,2023-02-06T14:48:40.000000000,2023-02-06T14:49:38.000000000,0.079527,0.442858,0.067204,0.433293,0.0,0.418984,0.641762,0.658304,0.641509,0.661776,0.23217,0.458608,0.641509,0.661776,0.0,0.636827,0.0,0.636827,0.0,0.636827,0.0,0.636827,0.0,0.636827,0.0,0.636827,0.0,0.636827,1
82,2023-02-06T14:49:10.000000000,2023-02-06T14:50:08.000000000,0.051937,0.399919,0.044637,0.394795,0.0,0.375754,0.720299,0.689771,0.719721,0.693239,0.269296,0.430013,0.719721,0.693239,0.0,0.584136,0.0,0.584136,0.0,0.584136,0.0,0.584136,0.0,0.584136,0.0,0.584136,0.0,0.584136,1
83,2023-02-06T14:49:40.000000000,2023-02-06T14:50:38.000000000,0.055479,0.475504,0.047096,0.46948,0.0,0.4563,0.797334,0.848233,0.796897,0.849745,0.220509,0.474734,0.796897,0.849745,0.0,0.711393,0.0,0.711393,0.0,0.711393,0.0,0.711393,0.0,0.711393,0.0,0.711393,0.0,0.711393,1
84,2023-02-06T14:50:10.000000000,2023-02-06T14:51:08.000000000,0.061687,0.453514,0.055759,0.450861,0.0,0.427076,0.856854,0.877844,0.85672,0.879445,0.133354,0.423908,0.85672,0.879445,0.0,0.675745,0.0,0.675745,0.0,0.675745,0.0,0.675745,0.0,0.675745,0.0,0.675745,0.0,0.675745,1
85,2023-02-06T14:50:40.000000000,2023-02-06T14:51:38.000000000,0.056492,0.400351,0.051,0.396914,0.0,0.392726,0.911461,0.874471,0.911031,0.875594,0.164695,0.40802,0.911031,0.875594,0.0,0.588116,0.0,0.588116,0.0,0.588116,0.0,0.588116,0.0,0.588116,0.0,0.588116,0.0,0.588116,1
86,2023-02-06T14:51:10.000000000,2023-02-06T14:52:08.000000000,0.039344,0.451761,0.038548,0.448364,0.0,0.440281,0.968474,0.971661,0.968132,0.971457,0.109521,0.44428,0.968132,0.971457,0.0,0.666595,0.0,0.666595,0.0,0.666595,0.0,0.666595,0.0,0.666595,0.0,0.666595,0.0,0.666595,1
87,2023-02-06T14:51:40.000000000,2023-02-06T14:52:38.000000000,0.003115,0.44162,0.002609,0.443826,0.0,0.437042,1.0,1.0,1.0,1.0,0.006207,0.40423,1.0,1.0,0.0,0.685821,0.0,0.685821,0.0,0.685821,0.0,0.685821,0.0,0.685821,0.0,0.685821,0.0,0.685821,1
88,2023-02-06T14:52:10.000000000,2023-02-06T14:53:08.000000000,0.003073,0.47884,0.002998,0.466751,0.0,0.449088,0.988812,0.985552,0.988487,0.984774,0.091292,0.474711,0.988487,0.984774,0.0,0.672292,0.0,0.672292,0.0,0.672292,0.0,0.672292,0.0,0.672292,0.0,0.672292,0.0,0.672292,1
89,2023-02-06T14:52:40.000000000,2023-02-06T14:53:38.000000000,0.146947,0.493838,0.119567,0.480259,0.0,0.424696,0.927761,0.926556,0.926565,0.926773,0.32348,0.494641,0.926565,0.926773,0.0,0.657546,0.0,0.657546,0.0,0.657546,0.0,0.657546,0.0,0.657546,0.0,0.657546,0.0,0.657546,1
90,2023-02-06T14:53:10.000000000,2023-02-06T14:54:08.000000000,0.022882,0.434901,0.02595,0.438445,0.0,0.441953,0.863395,0.89648,0.86342,0.897801,0.09717,0.414435,0.86342,0.897801,0.0,0.689434,0.0,0.689434,0.0,0.689434,0.0,0.689434,0.0,0.689434,0.0,0.689434,0.0,0.689434,1
91,2023-02-06T14:53:40.000000000,2023-02-06T14:54:38.000000000,0.057982,0.446182,0.052198,0.44513,0.0,0.44332,0.824141,0.852884,0.824342,0.854846,0.084971,0.405326,0.824342,0.854846,0.0,0.688115,0.0,0.688115,0.0,0.688115,0.0,0.688115,0.0,0.688115,0.0,0.688115,0.0,0.688115,1
92,2023-02-06T14:54:10.000000000,2023-02-06T14:55:08.000000000,0.044739,0.431732,0.034319,0.426113,0.0,0.3983,0.777542,0.764917,0.777856,0.768344,0.089167,0.390609,0.777856,0.768344,0.0,0.633156,0.0,0.633156,0.0,0.633156,0.0,0.633156,0.0,0.633156,0.0,0.633156,0.0,0.633156,1
93,2023-02-06T14:54:40.000000000,2023-02-06T14:55:38.000000000,0.029378,0.474317,0.027899,0.469591,0.0,0.466747,0.72608,0.788918,0.7263,0.791721,0.130311,0.43944,0.7263,0.791721,0.0,0.734605,0.0,0.734605,0.0,0.734605,0.0,0.734605,0.0,0.734605,0.0,0.734605,0.0,0.734605,1
94,2023-02-06T14:55:10.000000000,2023-02-06T14:56:08.000000000,0.076536,0.530316,0.066939,0.524699,0.0,0.480677,0.669891,0.775188,0.670047,0.778514,0.161589,0.465286,0.670047,0.778514,0.0,0.789591,0.0,0.789591,0.0,0.789591,0.0,0.789591,0.0,0.789591,0.0,0.789591,0.0,0.789591,1
95,2023-02-06T14:55:40.000000000,2023-02-06T14:56:38.000000000,0.007824,0.464544,0.009333,0.466914,0.0,0.475442,0.630872,0.7277,0.632022,0.731691,0.023434,0.397583,0.632022,0.731691,0.0,0.758184,0.0,0.758184,0.0,0.758184,0.0,0.758184,0.0,0.758184,0.0,0.758184,0.0,0.758184,1
96,2023-02-06T14:56:10.000000000,2023-02-06T14:57:08.000000000,0.000679,0.45569,0.000723,0.458664,0.0,0.486566,0.622828,0.723139,0.62416,0.726814,0.000198,0.393063,0.62416,0.726814,0.0,0.758725,0.0,0.758725,0.0,0.758725,0.0,0.758725,0.0,0.758725,0.0,0.758725,0.0,0.758725,1
97,2023-02-06T14:56:40.000000000,2023-02-06T14:57:38.000000000,0.000388,0.488739,0.000295,0.489102,0.0,0.477734,0.622224,0.724224,0.623557,0.727938,0.000356,0.418013,0.623557,0.727938,0.0,0.767692,0.0,0.767692,0.0,0.767692,0.0,0.767692,0.0,0.767692,0.0,0.767692,0.0,0.767692,1
98,2023-02-06T14:57:10.000000000,2023-02-06T14:58:08.000000000,0.011732,0.447909,0.010239,0.452853,0.0,0.4809,0.634417,0.716661,0.635552,0.719846,0.023792,0.403874,0.635552,0.719846,0.0,0.731291,0.0,0.731291,0.0,0.731291,0.0,0.731291,0.0,0.731291,0.0,0.731291,0.0,0.731291,1
99,2023-02-06T14:57:40.000000000,2023-02-06T14:58:38.000000000,0.020695,0.362515,0.031842,0.370539,0.0,0.377414,0.642363,0.606073,0.643524,0.610854,0.015956,0.333641,0.643524,0.610854,0.0,0.559357,0.0,0.559357,0.0,0.559357,0.0,0.559357,0.0,0.559357,0.0,0.559357,0.0,0.559357,1
100,2023-02-06T14:58:10.000000000,2023-02-06T14:59:08.000000000,0.022569,0.384808,0.023874,0.385836,0.0,0.405664,0.657897,0.654344,0.65832,0.658239,0.123482,0.408448,0.65832,0.658239,0.0,0.609167,0.0,0.609167,0.0,0.609167,0.0,0.609167,0.0,0.609167,0.0,0.609167,0.0,0.609167,1
101,2023-02-06T14:58:40.000000000,2023-02-06T14:59:38.000000000,0.078017,0.473866,0.057829,0.46352,0.0,0.457865,0.727723,0.774228,0.726475,0.776269,0.383113,0.549439,0.726475,0.776269,0.0,0.719563,0.0,0.719563,0.0,0.719563,0.0,0.719563,0.0,0.719563,0.0,0.719563,0.0,0.719563,1
102,2023-02-06T14:59:10.000000000,2023-02-06T15:00:08.000000000,0.045241,0.408717,0.042293,0.40145,0.0,0.370779,0.793734,0.726059,0.794011,0.729462,0.0874,0.456026,0.794011,0.729462,0.0,0.585809,0.0,0.585809,0.0,0.585809,0.0,0.585809,0.0,0.585809,0.0,0.585809,0.0,0.585809,1
103,2023-02-06T14:59:40.000000000,2023-02-06T15:00:38.000000000,0.033204,0.373423,0.034907,0.374148,0.0,0.4097,0.833781,0.789259,0.834052,0.792296,0.065514,0.351694,0.834052,0.792296,0.0,0.619154,0.0,0.619154,0.0,0.619154,0.0,0.619154,0.0,0.619154,0.0,0.619154,0.0,0.619154,1
104,2023-02-06T15:00:10.000000000,2023-02-06T15:01:08.000000000,0.000438,0.449614,0.000745,0.448215,0.0,0.438462,0.8495,0.86491,0.849895,0.867138,0.03071,0.434635,0.849895,0.867138,0.0,0.709419,0.0,0.709419,0.0,0.709419,0.0,0.709419,0.0,0.709419,0.0,0.709419,0.0,0.709419,1
105,2023-02-06T15:00:40.000000000,2023-02-06T15:01:38.000000000,0.052057,0.434085,0.049255,0.432977,0.0,0.422562,0.810368,0.823372,0.810005,0.825035,0.201094,0.45878,0.810005,0.825035,0.0,0.64945,0.0,0.64945,0.0,0.64945,0.0,0.64945,0.0,0.64945,0.0,0.64945,0.0,0.64945,1
106,2023-02-06T15:01:10.000000000,2023-02-06T15:02:08.000000000,0.062495,0.473331,0.056217,0.471027,0.0,0.465271,0.756763,0.846463,0.757221,0.847675,0.073853,0.431741,0.757221,0.847675,0.0,0.706708,0.0,0.706708,0.0,0.706708,0.0,0.706708,0.0,0.706708,0.0,0.706708,0.0,0.706708,1
107,2023-02-06T15:01:40.000000000,2023-02-06T15:02:38.000000000,0.00097,0.520322,0.000879,0.518647,0.0,0.486624,0.735849,0.884425,0.736782,0.885871,0.001621,0.427277,0.736782,0.885871,0.0,0.783892,0.0,0.783892,0.0,0.783892,0.0,0.783892,0.0,0.783892,0.0,0.783892,0.0,0.783892,1
108,2023-02-06T15:02:10.000000000,2023-02-06T15:03:08.000000000,0.001999,0.400038,0.001981,0.401449,0.0,0.447668,0.738162,0.803303,0.739078,0.804682,0.003159,0.371421,0.739078,0.804682,0.0,0.646832,0.0,0.646832,0.0,0.646832,0.0,0.646832,0.0,0.646832,0.0,0.646832,0.0,0.646832,1
109,2023-02-06T15:02:40.000000000,2023-02-06T15:03:38.000000000,0.020903,0.35065,0.018914,0.350571,0.0,0.362365,0.760002,0.719293,0.760553,0.722381,0.055381,0.317513,0.760553,0.722381,0.0,0.527012,0.0,0.527012,0.0,0.527012,0.0,0.527012,0.0,0.527012,0.0,0.527012,0.0,0.527012,1
110,2023-02-06T15:03:10.000000000,2023-02-06T15:04:08.000000000,0.023141,0.427165,0.024226,0.429509,0.0,0.440216,0.784486,0.817335,0.785083,0.819808,0.032836,0.366498,0.785083,0.819808,0.0,0.67809,0.0,0.67809,0.0,0.67809,0.0,0.67809,0.0,0.67809,0.0,0.67809,0.0,0.67809,1
111,2023-02-06T15:03:40.000000000,2023-02-06T15:04:38.000000000,0.046971,0.415146,0.043524,0.415452,0.0,0.427696,0.76867,0.781266,0.769116,0.784598,0.069707,0.362536,0.769116,0.784598,0.0,0.658946,0.0,0.658946,0.0,0.658946,0.0,0.658946,0.0,0.658946,0.0,0.658946,0.0,0.658946,1
112,2023-02-06T15:04:10.000000000,2023-02-06T15:05:08.000000000,0.000909,0.377656,0.001148,0.374849,0.0,0.349967,0.741143,0.678636,0.742009,0.684394,0.01007,0.318549,0.742009,0.684394,0.0,0.569338,0.0,0.569338,0.0,0.569338,0.0,0.569338,0.0,0.569338,0.0,0.569338,0.0,0.569338,1
113,2023-02-06T15:04:40.000000000,2023-02-06T15:05:38.000000000,0.042829,0.363222,0.037844,0.366456,0.0,0.400998,0.71445,0.694363,0.715014,0.699186,0.076797,0.315085,0.715014,0.699186,0.0,0.604204,0.0,0.604204,0.0,0.604204,0.0,0.604204,0.0,0.604204,0.0,0.604204,0.0,0.604204,1
114,2023-02-06T15:05:10.000000000,2023-02-06T15:06:08.000000000,0.066751,0.357293,0.071915,0.359987,0.0,0.335518,0.696776,0.609969,0.697603,0.615993,0.041462,0.284868,0.697603,0.615993,0.0,0.5109,0.0,0.5109,0.0,0.5109,0.0,0.5109,0.0,0.5109,0.0,0.5109,0.0,0.5109,1
115,2023-02-06T15:05:40.000000000,2023-02-06T15:06:38.000000000,0.048594,0.453515,0.0419,0.449283,0.0,0.436818,0.691666,0.731592,0.692461,0.735198,0.049203,0.376527,0.692461,0.735198,0.0,0.678676,0.0,0.678676,0.0,0.678676,0.0,0.678676,0.0,0.678676,0.0,0.678676,0.0,0.678676,1
116,2023-02-06T15:06:10.000000000,2023-02-06T15:07:08.000000000,0.029411,0.496724,0.024924,0.493079,0.0,0.51506,0.703179,0.819447,0.70374,0.820262,0.082542,0.449742,0.70374,0.820262,0.0,0.77072,0.0,0.77072,0.0,0.77072,0.0,0.77072,0.0,0.77072,0.0,0.77072,0.0,0.77072,1
117,2023-02-06T15:06:40.000000000,2023-02-06T15:07:38.000000000,0.031065,0.525937,0.030544,0.525614,0.0,0.463822,0.721144,0.80134,0.721905,0.802775,0.039754,0.451965,0.721905,0.802775,0.0,0.733033,0.0,0.733033,0.0,0.733033,0.0,0.733033,0.0,0.733033,0.0,0.733033,0.0,0.733033,1
118,2023-02-06T15:07:10.000000000,2023-02-06T15:08:08.000000000,0.04727,0.597979,0.053777,0.59709,0.0,0.614531,0.735635,0.979253,0.736077,0.976872,0.087362,0.531366,0.736077,0.976872,0.0,0.925903,0.0,0.925903,0.0,0.925903,0.0,0.925903,0.0,0.925903,0.0,0.925903,0.0,0.925903,1
119,2023-02-06T15:07:40.000000000,2023-02-06T15:08:38.000000000,0.050071,0.415714,0.046961,0.412785,0.0,0.383643,0.772716,0.737124,0.77311,0.73935,0.077182,0.368308,0.77311,0.73935,0.0,0.567754,0.0,0.567754,0.0,0.567754,0.0,0.567754,0.0,0.567754,0.0,0.567754,0.0,0.567754,1
120,2023-02-06T15:08:10.000000000,2023-02-06T15:09:08.000000000,0.034754,0.378607,0.030667,0.376425,0.0,0.416363,0.768538,0.737729,0.768993,0.74018,0.06815,0.35826,0.768993,0.74018,0.0,0.589194,0.0,0.589194,0.0,0.589194,0.0,0.589194,0.0,0.589194,0.0,0.589194,0.0,0.589194,1
121,2023-02-06T15:08:40.000000000,2023-02-06T15:09:38.000000000,0.018894,0.307889,0.015206,0.306641,0.0,0.376863,0.724551,0.684773,0.725093,0.689974,0.075483,0.303585,0.725093,0.689974,0.0,0.557822,0.0,0.557822,0.0,0.557822,0.0,0.557822,0.0,0.557822,0.0,0.557822,0.0,0.557822,1
122,2023-02-06T15:09:10.000000000,2023-02-06T15:10:08.000000000,0.017881,0.0,0.015595,0.0,0.0,0.0,0.691543,0.202935,0.69242,0.219048,0.035909,0.0,0.69242,0.219048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
123,2023-02-06T15:09:40.000000000,2023-02-06T15:10:38.000000000,0.000525,0.074135,0.000564,0.075762,0.0,0.26556,0.678577,0.459772,0.679714,0.470069,0.000605,0.10762,0.679714,0.470069,0.0,0.333628,0.0,0.333628,0.0,0.333628,0.0,0.333628,0.0,0.333628,0.0,0.333628,0.0,0.333628,1
124,2023-02-06T15:10:10.000000000,2023-02-06T15:11:08.000000000,0.046335,0.345496,0.046768,0.34775,0.0,0.607302,0.663874,0.438692,0.664809,0.434585,0.040481,0.452679,0.664809,0.434585,0.0,0.540979,0.0,0.540979,0.0,0.540979,0.0,0.540979,0.0,0.540979,0.0,0.540979,0.0,0.540979,1
