segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_am_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_am_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_am_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_am_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_am_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_am_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
10,2023-02-06T14:13:10.000000000,2023-02-06T14:14:08.000000000,0.001755,0.358013,0.001143,0.363927,1.0,0.779656,0.77719,0.737185,0.854191,0.758158,0.05577,0.325735,0.854191,0.758158,0.002443,0.445373,0.001807,0.458415,1.0,0.860648,0.54039,0.7414,0.331602,0.613103,0.31058,0.620937,0.537737,0.762866,3.6e-05,0.298086,5.4e-05,0.295059,1.0,1.0,0.216218,0.439969,0.105354,0.420628,0.092051,0.352719,0.100048,0.418145,0
11,2023-02-06T14:13:40.000000000,2023-02-06T14:14:38.000000000,0.174185,0.48744,0.138147,0.471289,0.333333,0.570856,0.830569,0.782666,0.888934,0.789693,0.121618,0.374992,0.888934,0.789693,0.943055,0.805393,0.966962,0.836592,0.666667,0.768552,1.0,0.835304,0.911991,0.796969,1.0,0.815652,0.930721,0.845639,0.255174,0.400708,0.239307,0.390299,0.333333,0.816822,0.646556,0.592006,0.539139,0.586876,0.450707,0.499833,0.536405,0.585459,0
12,2023-02-06T14:14:10.000000000,2023-02-06T14:15:08.000000000,0.038287,0.381981,0.041607,0.356808,0.333333,0.450446,0.866761,0.66826,0.925138,0.670161,0.05577,0.300634,0.925138,0.670161,0.067727,0.607016,0.063567,0.627915,0.0,0.597822,0.841652,0.655689,0.668398,0.64631,0.727646,0.655097,0.721352,0.653445,0.359494,0.456646,0.416315,0.470461,0.333333,0.473653,1.0,0.634553,0.947529,0.622169,0.685646,0.603384,0.947217,0.621013,1
13,2023-02-06T14:14:40.000000000,2023-02-06T14:15:38.000000000,3.9e-05,0.285177,2.6e-05,0.292975,1.0,0.400286,0.814601,0.691483,0.890239,0.710028,0.000122,0.272912,0.890239,0.710028,4.1e-05,0.336952,3.8e-05,0.343668,1.0,0.45635,0.014115,0.486168,0.083782,0.463153,0.000215,0.44769,0.015189,0.490366,0.783315,0.357441,0.909473,0.3789,0.333333,0.828998,0.793146,0.446987,0.514472,0.472607,1.0,0.418743,0.511592,0.473759,1
14,2023-02-06T14:15:10.000000000,2023-02-06T14:16:08.000000000,0.0,0.349126,0.0,0.343794,0.0,0.143593,0.813854,0.730157,0.889665,0.743907,0.0,0.28777,0.889665,0.743907,0.0,0.404663,0.0,0.414708,0.0,0.304147,0.0,0.412215,0.079554,0.438352,0.0,0.416113,0.0,0.422062,0.000353,0.224762,0.000377,0.208074,1.0,0.824049,0.019157,0.193984,0.006306,0.276552,0.00087,0.179469,0.0088,0.278201,1
15,2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,0.0,0.344708,0.0,0.351465,0.0,0.186657,0.813854,0.779354,0.889665,0.797575,0.0,0.282681,0.889665,0.797575,0.0,0.358042,0.0,0.365402,0.0,0.333986,0.0,0.36522,0.079554,0.396059,0.0,0.364206,0.0,0.377465,0.0,0.290041,0.0,0.288259,0.333333,0.547657,0.000866,0.229426,0.005744,0.306367,2e-06,0.257419,0.000252,0.303362,1
16,2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,0.0,0.235596,0.0,0.247247,0.0,0.108706,0.813854,0.683369,0.889665,0.70972,0.0,0.208183,0.889665,0.70972,0.0,0.274701,0.0,0.279301,0.0,0.273407,0.0,0.277697,0.079554,0.309083,0.0,0.27619,0.0,0.288722,0.0,0.239621,0.0,0.242699,0.0,0.331636,0.0,0.14537,0.005896,0.221697,0.0,0.188348,0.0,0.218781,1
17,2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,0.0,0.293275,0.0,0.296975,0.0,0.049467,0.813854,0.726332,0.889665,0.746136,0.0,0.231818,0.889665,0.746136,0.0,0.314148,0.0,0.320115,0.0,0.258514,0.0,0.285529,0.079554,0.332617,0.0,0.299055,0.0,0.297257,0.0,0.240268,0.0,0.232269,0.0,0.285941,0.0,0.12904,0.005896,0.209835,0.0,0.184639,0.0,0.207938,1
18,2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,0.0,0.322516,0.0,0.339469,0.0,0.145277,0.813854,0.798194,0.889665,0.821905,0.0,0.261911,0.889665,0.821905,0.0,0.325192,0.0,0.331031,0.0,0.305343,0.0,0.317472,0.079554,0.354463,0.0,0.316778,0.0,0.330981,0.0,0.292681,0.0,0.29757,0.0,0.343455,0.0,0.201532,0.005896,0.283389,0.0,0.24587,0.0,0.280195,1
19,2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,0.0,0.240947,0.0,0.243945,0.0,0.072967,0.813854,0.658918,0.889665,0.681238,0.0,0.206628,0.889665,0.681238,0.0,0.288182,0.0,0.293593,0.0,0.258277,0.0,0.283066,0.079554,0.318196,0.0,0.288414,0.0,0.293133,0.0,0.214369,0.0,0.208159,0.0,0.223327,0.0,0.119613,0.005896,0.197487,0.0,0.161525,0.0,0.194963,1
