timestamp,i3_photoresistor_baseband,i3_photoresistor_am_demodulated,current_state_binary
2023-02-06 14:08:10,0.018089,0.384377,1
2023-02-06 14:08:12,0.017886,0.510819,1
2023-02-06 14:08:14,0.017739,0.439471,1
2023-02-06 14:08:16,0.017924,0.561335,1
2023-02-06 14:08:18,0.0183,0.49324,1
2023-02-06 14:08:20,0.018297,0.41071,1
2023-02-06 14:08:22,0.017672,0.332739,1
2023-02-06 14:08:24,0.017185,0.298415,1
2023-02-06 14:08:26,0.017808,0.317303,1
2023-02-06 14:08:28,0.019051,0.313348,1
2023-02-06 14:08:30,0.01904,0.393227,1
2023-02-06 14:08:32,0.017162,0.424535,1
2023-02-06 14:08:34,0.015768,0.387776,1
2023-02-06 14:08:36,0.017479,0.389237,1
2023-02-06 14:08:38,0.020769,0.401767,1
2023-02-06 14:08:40,0.020738,0.394609,1
2023-02-06 14:08:42,0.015988,0.328618,1
2023-02-06 14:08:44,0.012506,0.34158,1
2023-02-06 14:08:46,0.016818,0.366536,1
2023-02-06 14:08:48,0.025252,0.329543,1
2023-02-06 14:08:50,0.025165,0.359739,1
2023-02-06 14:08:52,0.011456,0.354227,1
2023-02-06 14:08:54,0.0,0.383601,1
2023-02-06 14:08:56,0.017816,0.447511,1
2023-02-06 14:08:58,0.075583,0.424214,1
2023-02-06 14:09:00,0.151967,0.450737,1
2023-02-06 14:09:02,0.209563,0.45207,1
2023-02-06 14:09:04,0.227478,0.442835,1
2023-02-06 14:09:06,0.216638,0.469043,1
2023-02-06 14:09:08,0.2037,0.478669,1
2023-02-06 14:09:10,0.203998,0.543481,1
2023-02-06 14:09:12,0.212406,0.516756,1
2023-02-06 14:09:14,0.216763,0.475139,1
2023-02-06 14:09:16,0.213651,0.504391,1
2023-02-06 14:09:18,0.209066,0.42925,1
2023-02-06 14:09:20,0.208298,0.431442,1
2023-02-06 14:09:22,0.210135,0.453949,1
2023-02-06 14:09:24,0.21088,0.434068,1
2023-02-06 14:09:26,0.210007,0.491423,1
2023-02-06 14:09:28,0.209721,0.489408,1
2023-02-06 14:09:30,0.210854,0.497383,1
2023-02-06 14:09:32,0.21178,0.518318,1
2023-02-06 14:09:34,0.21122,0.474346,1
2023-02-06 14:09:36,0.21013,0.475677,1
2023-02-06 14:09:38,0.210103,0.471507,1
2023-02-06 14:09:40,0.211099,0.463386,1
2023-02-06 14:09:42,0.211773,0.442685,1
2023-02-06 14:09:44,0.211498,0.434038,1
2023-02-06 14:09:46,0.211059,0.471182,1
2023-02-06 14:09:48,0.211355,0.442193,1
2023-02-06 14:09:50,0.212204,0.482025,1
2023-02-06 14:09:52,0.212591,0.538567,1
2023-02-06 14:09:54,0.212478,0.483909,1
2023-02-06 14:09:56,0.212652,0.491101,1
2023-02-06 14:09:58,0.213602,0.489761,1
2023-02-06 14:10:00,0.214725,0.496179,1
2023-02-06 14:10:02,0.214908,0.508919,1
2023-02-06 14:10:04,0.213815,0.421687,1
2023-02-06 14:10:06,0.212359,0.447767,1
2023-02-06 14:10:08,0.211782,0.483747,1
2023-02-06 14:10:10,0.21244,0.413207,1
2023-02-06 14:10:12,0.213589,0.441432,1
2023-02-06 14:10:14,0.214258,0.472068,1
2023-02-06 14:10:16,0.214193,0.456726,1
2023-02-06 14:10:18,0.213882,0.461263,1
2023-02-06 14:10:20,0.213908,0.445141,1
2023-02-06 14:10:22,0.214382,0.45549,1
2023-02-06 14:10:24,0.214986,0.479271,1
2023-02-06 14:10:26,0.21534,0.465529,1
2023-02-06 14:10:28,0.215259,0.431473,1
2023-02-06 14:10:30,0.214773,0.428423,1
2023-02-06 14:10:32,0.214003,0.446002,1
2023-02-06 14:10:34,0.213119,0.434541,1
2023-02-06 14:10:36,0.212324,0.450424,1
2023-02-06 14:10:38,0.211813,0.467636,1
2023-02-06 14:10:40,0.211693,0.447019,1
2023-02-06 14:10:42,0.211938,0.468638,1
2023-02-06 14:10:44,0.212367,0.484452,1
2023-02-06 14:10:46,0.21268,0.450504,1
2023-02-06 14:10:48,0.212571,0.452869,1
2023-02-06 14:10:50,0.211937,0.488128,1
2023-02-06 14:10:52,0.211062,0.477266,1
2023-02-06 14:10:54,0.210492,0.467502,1
2023-02-06 14:10:56,0.210586,0.509094,1
2023-02-06 14:10:58,0.211089,0.498151,1
2023-02-06 14:11:00,0.211307,0.453988,1
2023-02-06 14:11:02,0.210744,0.475718,1
2023-02-06 14:11:04,0.209625,0.487475,1
2023-02-06 14:11:06,0.208722,0.470136,1
2023-02-06 14:11:08,0.208632,0.477629,1
2023-02-06 14:11:10,0.209207,0.494179,1
2023-02-06 14:11:12,0.20983,0.496679,1
2023-02-06 14:11:14,0.210092,0.489992,1
2023-02-06 14:11:16,0.210122,0.517601,1
2023-02-06 14:11:18,0.210245,0.54669,1
2023-02-06 14:11:20,0.21049,0.522181,1
2023-02-06 14:11:22,0.210575,0.510051,1
2023-02-06 14:11:24,0.210322,0.520851,1
2023-02-06 14:11:26,0.209891,0.489073,1
2023-02-06 14:11:28,0.209481,0.438197,1
2023-02-06 14:11:30,0.208983,0.458463,1
2023-02-06 14:11:32,0.208143,0.508325,1
2023-02-06 14:11:34,0.207028,0.476521,1
2023-02-06 14:11:36,0.206009,0.468924,1
2023-02-06 14:11:38,0.205149,0.516718,1
2023-02-06 14:11:40,0.20393,0.47448,1
2023-02-06 14:11:42,0.20199,0.478732,1
2023-02-06 14:11:44,0.200026,0.521713,1
2023-02-06 14:11:46,0.199436,0.437794,1
2023-02-06 14:11:48,0.2005,0.419577,1
2023-02-06 14:11:50,0.201164,0.481541,1
2023-02-06 14:11:52,0.198394,0.479569,1
2023-02-06 14:11:54,0.191131,0.481996,1
2023-02-06 14:11:56,0.181916,0.452788,1
2023-02-06 14:11:58,0.17501,0.434486,1
2023-02-06 14:12:00,0.172705,0.468258,1
2023-02-06 14:12:02,0.173518,0.45767,1
2023-02-06 14:12:04,0.174108,0.475237,1
2023-02-06 14:12:06,0.17271,0.476249,1
2023-02-06 14:12:08,0.170443,0.409741,1
2023-02-06 14:12:10,0.169384,0.411375,1
2023-02-06 14:12:12,0.169945,0.439411,1
2023-02-06 14:12:14,0.170491,0.42453,1
2023-02-06 14:12:16,0.169421,0.415615,1
2023-02-06 14:12:18,0.167179,0.443437,1
2023-02-06 14:12:20,0.165686,0.432644,1
2023-02-06 14:12:22,0.165923,0.372003,1
2023-02-06 14:12:24,0.166593,0.401903,1
2023-02-06 14:12:26,0.165607,0.429562,1
2023-02-06 14:12:28,0.162755,0.409078,1
2023-02-06 14:12:30,0.160264,0.428397,1
