segment_idx,m1_speed_psd_peak_baseband,m1_speed_psd_peak_original_bits,m1_speed_psd_peak_fsk_recovered,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_original_bits,m1_speed_psd_mean_energy_fsk_recovered,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_original_bits,m1_speed_psd_peak_freq_fsk_recovered,m1_speed_rms_baseband,m1_speed_rms_original_bits,m1_speed_rms_fsk_recovered,m1_speed_mean_baseband,m1_speed_mean_original_bits,m1_speed_mean_fsk_recovered,m1_speed_variance_baseband,m1_speed_variance_original_bits,m1_speed_variance_fsk_recovered,m1_speed_fft_peak_baseband,m1_speed_fft_peak_original_bits,m1_speed_fft_peak_fsk_recovered,m2_speed_psd_peak_baseband,m2_speed_psd_peak_original_bits,m2_speed_psd_peak_fsk_recovered,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_original_bits,m2_speed_psd_mean_energy_fsk_recovered,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_original_bits,m2_speed_psd_peak_freq_fsk_recovered,m2_speed_rms_baseband,m2_speed_rms_original_bits,m2_speed_rms_fsk_recovered,m2_speed_mean_baseband,m2_speed_mean_original_bits,m2_speed_mean_fsk_recovered,m2_speed_variance_baseband,m2_speed_variance_original_bits,m2_speed_variance_fsk_recovered,m2_speed_fft_peak_baseband,m2_speed_fft_peak_original_bits,m2_speed_fft_peak_fsk_recovered,m3_speed_psd_peak_baseband,m3_speed_psd_peak_original_bits,m3_speed_psd_peak_fsk_recovered,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_original_bits,m3_speed_psd_mean_energy_fsk_recovered,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_original_bits,m3_speed_psd_peak_freq_fsk_recovered,m3_speed_rms_baseband,m3_speed_rms_original_bits,m3_speed_rms_fsk_recovered,m3_speed_mean_baseband,m3_speed_mean_original_bits,m3_speed_mean_fsk_recovered,m3_speed_variance_baseband,m3_speed_variance_original_bits,m3_speed_variance_fsk_recovered,m3_speed_fft_peak_baseband,m3_speed_fft_peak_original_bits,m3_speed_fft_peak_fsk_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_fsk_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_fsk_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_fsk_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_fsk_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_fsk_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_fsk_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_fsk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_fsk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_fsk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_fsk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_fsk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_fsk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_fsk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_fsk_recovered,current_state_binary
10,0.0,0,1,0.0,0,1,0.0,0,1,0.875147,1,1,0.92606,1,1,0.0,0,1,0.92606,1,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.03199,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.992017,1,1,0.994875,1,1,0.0,0,1,0.994875,1,1,0.00045,0,1,0.000418,0,1,1.0,1,1,0.45221,0,1,0.210143,0,1,0.454717,0,1,0.207507,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.006772,0,1,0.0,0,1,0.0,0,1,1
11,3e-06,0,1,3e-06,0,1,1.0,1,1,0.874963,1,1,0.925915,1,1,3.8e-05,0,1,0.925915,1,1,1.5e-05,0,1,1.5e-05,0,1,1.0,1,1,0.028204,0,1,0.028917,0,1,0.000871,0,1,0.034519,0,1,2e-06,0,1,3e-06,0,1,1.0,1,1,0.992967,1,1,0.99555,1,1,9e-05,0,1,0.99555,1,1,0.715466,1,1,0.700753,1,1,0.666667,1,1,0.650206,1,1,0.444339,0,1,0.759007,1,1,0.442485,0,1,0.0,0,1,0.0,0,1,0.333333,0,1,0.002427,0,1,0.007001,0,1,7e-06,0,1,0.001882,0,1,1
12,0.001151,0,1,0.000981,0,1,1.0,1,1,0.908052,1,1,0.927441,1,1,0.200534,0,1,0.927441,1,1,0.015262,0,1,0.010749,0,1,1.0,1,1,0.988367,1,1,1.0,1,1,0.969252,1,1,1.0,1,1,0.002674,0,1,0.002871,0,1,1.0,1,1,0.91122,1,1,0.911436,1,1,0.183616,0,1,0.911436,1,1,0.856068,1,1,0.787785,1,1,0.333333,0,1,0.870453,1,1,0.759714,1,1,0.978662,1,1,0.758912,1,1,0.00015,0,1,0.000128,0,1,1.0,1,1,0.765335,1,1,0.619464,1,1,0.630565,1,1,0.616869,1,1,1
13,0.777667,1,1,0.999383,1,1,0.666667,1,1,0.967539,1,1,0.962913,1,1,0.294229,0,1,0.962913,1,1,0.922637,1,1,0.989515,1,1,0.333333,0,1,0.999849,1,1,0.973103,1,1,0.999832,1,1,0.973734,1,1,0.416793,0,1,0.644962,1,1,0.333333,0,1,0.916446,1,1,0.914369,1,1,0.190344,0,1,0.914369,1,1,0.474514,0,1,0.393508,0,1,0.333333,0,1,0.734526,1,1,0.526509,1,1,0.925077,1,1,0.524929,1,1,0.841185,1,1,0.81283,1,1,0.333333,0,1,0.895004,1,1,0.85827,1,1,0.815463,1,1,0.857304,1,1,1
14,0.020691,0,1,0.020111,0,1,0.0,0,1,0.936167,1,1,0.961718,1,1,0.094075,0,1,0.961718,1,1,0.006963,0,1,0.004678,0,1,1.0,1,1,0.15385,0,1,0.0,0,1,0.025832,0,1,0.203244,0,1,0.003969,0,1,0.004376,0,1,1.0,1,1,0.998279,1,1,0.998731,1,1,0.005213,0,1,0.998731,1,1,0.000127,0,1,0.000109,0,1,1.0,1,1,0.011154,0,1,0.003336,0,1,0.000321,0,1,0.005764,0,1,0.02084,0,1,0.018931,0,1,0.0,0,1,0.464047,0,1,0.247327,0,1,0.249566,0,1,0.284394,0,1,1
15,1.1e-05,0,0,1.3e-05,0,0,1.0,1,0,0.875585,1,0,0.926391,1,0,2.3e-05,0,0,0.926391,1,0,3e-06,0,0,4e-06,0,0,1.0,1,0,0.00668,0,0,0.029969,0,0,4.8e-05,0,0,0.006825,0,0,3e-06,0,0,6e-06,0,0,1.0,1,0,0.992361,1,0,0.995123,1,0,9e-06,0,0,0.995123,1,0,0.0,0,0,0.0,0,0,0.333333,0,0,0.000604,0,0,0.003185,0,0,1e-06,0,0,0.000189,0,0,8e-06,0,0,1e-05,0,0,1.0,1,0,0.006233,0,0,0.008292,0,0,4.7e-05,0,0,0.005216,0,0,1
16,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,0,0.92606,1,0,0.0,0,0,0.92606,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,0,0.994875,1,0,0.0,0,0,0.994875,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
17,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,0,0.92606,1,0,0.0,0,0,0.92606,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,0,0.994875,1,0,0.0,0,0,0.994875,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
18,0.0,0,1,0.0,0,1,0.0,0,1,0.875147,1,1,0.92606,1,1,0.0,0,1,0.92606,1,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.03199,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.992017,1,1,0.994875,1,1,0.0,0,1,0.994875,1,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.003327,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.006772,0,1,0.0,0,1,0.0,0,1,1
19,0.0,0,0,0.0,0,0,0.0,0,0,0.875147,1,0,0.92606,1,0,0.0,0,0,0.92606,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.03199,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.992017,1,0,0.994875,1,0,0.0,0,0,0.994875,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.003327,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.006772,0,0,0.0,0,0,0.0,0,0,1
