segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_am_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_am_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_am_demodulated,m1_speed_rms_baseband,m1_speed_rms_am_demodulated,m1_speed_mean_baseband,m1_speed_mean_am_demodulated,m1_speed_variance_baseband,m1_speed_variance_am_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_am_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_am_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_am_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_am_demodulated,m2_speed_rms_baseband,m2_speed_rms_am_demodulated,m2_speed_mean_baseband,m2_speed_mean_am_demodulated,m2_speed_variance_baseband,m2_speed_variance_am_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_am_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_am_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_am_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_am_demodulated,m3_speed_rms_baseband,m3_speed_rms_am_demodulated,m3_speed_mean_baseband,m3_speed_mean_am_demodulated,m3_speed_variance_baseband,m3_speed_variance_am_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_am_demodulated,current_pos_x_psd_peak_baseband,current_pos_x_psd_peak_am_demodulated,current_pos_x_psd_mean_energy_baseband,current_pos_x_psd_mean_energy_am_demodulated,current_pos_x_psd_peak_freq_baseband,current_pos_x_psd_peak_freq_am_demodulated,current_pos_x_rms_baseband,current_pos_x_rms_am_demodulated,current_pos_x_mean_baseband,current_pos_x_mean_am_demodulated,current_pos_x_variance_baseband,current_pos_x_variance_am_demodulated,current_pos_x_fft_peak_baseband,current_pos_x_fft_peak_am_demodulated,current_pos_y_psd_peak_baseband,current_pos_y_psd_peak_am_demodulated,current_pos_y_psd_mean_energy_baseband,current_pos_y_psd_mean_energy_am_demodulated,current_pos_y_psd_peak_freq_baseband,current_pos_y_psd_peak_freq_am_demodulated,current_pos_y_rms_baseband,current_pos_y_rms_am_demodulated,current_pos_y_mean_baseband,current_pos_y_mean_am_demodulated,current_pos_y_variance_baseband,current_pos_y_variance_am_demodulated,current_pos_y_fft_peak_baseband,current_pos_y_fft_peak_am_demodulated,current_pos_z_psd_peak_baseband,current_pos_z_psd_peak_am_demodulated,current_pos_z_psd_mean_energy_baseband,current_pos_z_psd_mean_energy_am_demodulated,current_pos_z_psd_peak_freq_baseband,current_pos_z_psd_peak_freq_am_demodulated,current_pos_z_rms_baseband,current_pos_z_rms_am_demodulated,current_pos_z_mean_baseband,current_pos_z_mean_am_demodulated,current_pos_z_variance_baseband,current_pos_z_variance_am_demodulated,current_pos_z_fft_peak_baseband,current_pos_z_fft_peak_am_demodulated,target_pos_x_psd_peak_baseband,target_pos_x_psd_peak_am_demodulated,target_pos_x_psd_mean_energy_baseband,target_pos_x_psd_mean_energy_am_demodulated,target_pos_x_psd_peak_freq_baseband,target_pos_x_psd_peak_freq_am_demodulated,target_pos_x_rms_baseband,target_pos_x_rms_am_demodulated,target_pos_x_mean_baseband,target_pos_x_mean_am_demodulated,target_pos_x_variance_baseband,target_pos_x_variance_am_demodulated,target_pos_x_fft_peak_baseband,target_pos_x_fft_peak_am_demodulated,target_pos_y_psd_peak_baseband,target_pos_y_psd_peak_am_demodulated,target_pos_y_psd_mean_energy_baseband,target_pos_y_psd_mean_energy_am_demodulated,target_pos_y_psd_peak_freq_baseband,target_pos_y_psd_peak_freq_am_demodulated,target_pos_y_rms_baseband,target_pos_y_rms_am_demodulated,target_pos_y_mean_baseband,target_pos_y_mean_am_demodulated,target_pos_y_variance_baseband,target_pos_y_variance_am_demodulated,target_pos_y_fft_peak_baseband,target_pos_y_fft_peak_am_demodulated,target_pos_z_psd_peak_baseband,target_pos_z_psd_peak_am_demodulated,target_pos_z_psd_mean_energy_baseband,target_pos_z_psd_mean_energy_am_demodulated,target_pos_z_psd_peak_freq_baseband,target_pos_z_psd_peak_freq_am_demodulated,target_pos_z_rms_baseband,target_pos_z_rms_am_demodulated,target_pos_z_mean_baseband,target_pos_z_mean_am_demodulated,target_pos_z_variance_baseband,target_pos_z_variance_am_demodulated,target_pos_z_fft_peak_baseband,target_pos_z_fft_peak_am_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_am_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_am_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_am_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_am_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_am_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_am_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_am_demodulated,current_state_binary
10,2023-02-06T14:13:10.000000000,2023-02-06T14:14:08.000000000,0.439585,0.601354,0.557072,0.704937,0.333333,0.294141,0.989947,0.907959,0.997949,0.914491,0.48325,0.561611,0.997949,0.914491,0.054927,0.285332,0.060137,0.235949,0.666667,0.51484,0.653256,0.552195,0.802772,0.728699,0.045511,0.244193,0.802772,0.728699,0.664526,0.774992,0.627644,0.789297,0.333333,0.404051,0.841255,0.855135,0.898166,0.826853,0.542909,0.699795,0.898166,0.826853,0.144728,0.473485,0.224245,0.525498,0.333333,0.450051,0.63926,0.903279,0.561427,0.888599,0.404802,0.633028,0.560674,0.88839,0.219361,0.416145,0.232668,0.398376,0.666667,0.606192,0.305564,0.483475,0.203381,0.379969,0.135315,0.367724,0.195993,0.378272,0.799523,0.978173,0.871822,0.985333,0.333333,0.421029,0.795006,0.942102,0.757743,0.92485,0.680608,0.879749,0.757274,0.924784,0.10153,0.387508,0.11895,0.396422,0.333333,0.375943,0.724599,0.850564,0.600125,0.807203,0.673855,0.778884,0.598374,0.806875,0.238841,0.636794,0.195234,0.595157,0.666667,0.673476,0.450422,0.638384,0.487975,0.628842,0.193943,0.500133,0.463405,0.595974,0.882085,1.0,0.95886,1.0,0.333333,0.439467,0.765095,0.961246,0.755819,1.0,0.591008,0.948832,0.754096,1.0,0.364598,0.517255,0.350082,0.466636,0.333333,0.45601,0.729491,0.715929,0.593414,0.643209,0.680132,0.749364,0.591707,0.642773,1
11,2023-02-06T14:13:40.000000000,2023-02-06T14:14:38.000000000,0.457119,0.605765,0.545434,0.694106,0.666667,0.487533,0.900261,0.831174,0.934825,0.854238,0.349849,0.53385,0.934825,0.854238,0.003903,0.356279,0.004649,0.31348,1.0,0.648563,0.672509,0.628804,0.824825,0.774247,0.021445,0.369776,0.824825,0.774247,0.117201,0.54732,0.146559,0.586887,0.333333,0.362007,0.866934,0.887,0.974093,0.882712,0.2168,0.603381,0.974093,0.882712,0.618338,0.666649,0.635483,0.690958,0.333333,0.446782,0.39232,0.777084,0.215541,0.699976,0.457177,0.655011,0.214194,0.699453,0.01838,0.471001,0.016772,0.44828,0.0,0.337688,0.250008,0.611274,0.115703,0.470326,0.101742,0.513926,0.107502,0.469011,0.194871,0.675558,0.214948,0.682078,0.333333,0.38581,0.605397,0.916883,0.36052,0.780431,0.563326,0.857437,0.359282,0.779353,0.302976,0.455734,0.325543,0.465346,0.333333,0.340453,0.294992,0.601294,0.138373,0.536497,0.274991,0.610742,0.1346,0.534693,0.014566,0.584354,0.012195,0.567122,0.0,0.252807,0.351782,0.72466,0.245597,0.578282,0.135715,0.574683,0.232784,0.553469,0.121909,0.658626,0.114382,0.648181,0.0,0.253536,0.672224,1.0,0.441292,0.908655,0.538639,0.964868,0.437349,0.906692,0.467445,0.62137,0.396491,0.531755,0.333333,0.44061,0.627613,0.806867,0.370189,0.660857,0.700023,0.885412,0.367545,0.659474,1
12,2023-02-06T14:14:10.000000000,2023-02-06T14:15:08.000000000,0.000236,0.37075,0.000222,0.358647,1.0,0.554402,0.729559,0.591908,0.829021,0.642538,0.000354,0.323882,0.829021,0.642538,5e-06,0.203885,6e-06,0.157021,1.0,0.748248,0.642928,0.486167,0.802462,0.612316,0.00012,0.313511,0.802462,0.612316,4.9e-05,0.262785,5.2e-05,0.295854,1.0,0.522412,0.708224,0.643788,0.867056,0.675806,0.000416,0.355523,0.867056,0.675806,4.4e-05,0.512621,6e-05,0.521601,1.0,0.525356,0.003225,0.427058,0.001247,0.376929,4.8e-05,0.462404,0.001494,0.37678,6e-06,0.206989,6e-06,0.199812,1.0,0.34437,0.002115,0.51033,0.011012,0.372073,3.8e-05,0.443732,0.001841,0.371075,4e-06,0.280829,5e-06,0.286462,1.0,0.538555,0.003624,0.576284,0.000388,0.448302,2.3e-05,0.513551,0.002092,0.448392,2.5e-05,0.330003,3.3e-05,0.327217,1.0,0.510091,0.003248,0.265247,0.004346,0.266923,5e-05,0.254837,0.001357,0.266159,9e-06,0.326739,8e-06,0.326758,1.0,0.489841,0.011533,0.455406,0.04947,0.2975,0.000152,0.391108,0.011059,0.295042,1.3e-05,0.245013,1e-05,0.222953,1.0,0.447924,0.006161,0.6146,0.004811,0.522877,5.2e-05,0.557357,0.004968,0.522753,3.5e-05,0.46977,4e-05,0.430811,1.0,0.541711,0.005871,0.500953,0.003915,0.414087,0.000114,0.516543,0.002904,0.413881,0
13,2023-02-06T14:14:40.000000000,2023-02-06T14:15:38.000000000,0.001833,0.263305,0.002215,0.264728,1.0,0.607941,0.701795,0.566014,0.800085,0.632395,0.056331,0.320649,0.800085,0.632395,0.000936,0.474232,0.000786,0.437989,1.0,0.520409,0.600231,0.608006,0.742399,0.687031,0.104932,0.509722,0.742399,0.687031,0.002515,0.37164,0.002425,0.418792,1.0,0.504586,0.651727,0.648551,0.795448,0.669475,0.120895,0.472751,0.795448,0.669475,4.1e-05,0.313669,5.5e-05,0.324111,1.0,0.589632,0.063529,0.344491,0.029886,0.382887,0.013761,0.352918,0.02822,0.383062,0.000548,0.736481,0.000457,0.700422,1.0,0.559505,0.529884,0.700968,0.25262,0.576053,0.442349,0.711112,0.245688,0.575481,0.000215,0.36177,0.000238,0.368368,1.0,0.557152,0.255875,0.527711,0.145552,0.535612,0.102622,0.430656,0.143899,0.535717,0.000194,0.262566,0.000228,0.260279,1.0,0.519196,0.134615,0.240126,0.060429,0.298803,0.059788,0.33691,0.056315,0.297466,0.002174,0.638246,0.001513,0.640146,1.0,0.662993,0.59271,0.699027,0.380311,0.521898,0.385585,0.641569,0.395298,0.493788,0.000197,0.395363,0.000149,0.388148,1.0,0.544445,0.269524,0.560964,0.184284,0.628225,0.086294,0.495912,0.178528,0.628956,1.2e-05,0.325735,1.5e-05,0.272517,1.0,0.616927,0.182244,0.617478,0.0904,0.581856,0.065821,0.667998,0.086582,0.581547,0
14,2023-02-06T14:15:10.000000000,2023-02-06T14:16:08.000000000,0.127813,0.350636,0.174538,0.342697,0.666667,0.419628,0.748435,0.604783,0.831324,0.670338,0.122428,0.327748,0.831324,0.670338,0.444947,0.521934,0.432308,0.504618,0.666667,0.547226,0.792371,0.788806,0.862739,0.820462,0.40896,0.689846,0.862739,0.820462,0.240222,0.483347,0.320528,0.593323,0.333333,0.403415,0.758803,0.722762,0.835511,0.71212,0.450507,0.594143,0.835511,0.71212,0.029038,0.398497,0.033015,0.403698,0.333333,0.38313,0.102168,0.353575,0.084384,0.370514,0.015352,0.379368,0.082812,0.3701,0.943881,0.931373,0.955245,0.868052,0.333333,0.305459,0.698893,0.867496,0.506824,0.765092,0.659992,0.863941,0.50225,0.764234,0.096442,0.349464,0.117975,0.373975,0.333333,0.431323,0.521322,0.685167,0.522517,0.680144,0.271597,0.507979,0.521593,0.679997,0.11074,0.354339,0.118781,0.352101,0.333333,0.30738,0.221477,0.291365,0.180156,0.335358,0.072199,0.278962,0.176566,0.334339,0.487055,0.679559,0.509537,0.695355,0.666667,0.684848,0.704223,0.731814,0.518695,0.492333,0.529907,0.64802,0.510032,0.502829,0.152664,0.383834,0.151522,0.349072,0.333333,0.427975,0.548708,0.735916,0.628604,0.841329,0.27101,0.578786,0.625983,0.841041,0.190116,0.666327,0.128937,0.642658,0.333333,0.367252,0.888235,0.94184,0.740168,0.888586,0.964566,0.970866,0.739077,0.888575,0
15,2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,0.032915,0.259093,0.045452,0.21998,0.333333,0.298351,0.744649,0.636502,0.828297,0.711305,0.121432,0.327238,0.828297,0.711305,0.240746,0.440101,0.329059,0.47736,0.666667,0.517141,1.0,1.0,1.0,0.986171,0.782602,0.919651,1.0,0.986171,0.466106,0.600162,0.569401,0.731652,0.666667,0.623323,0.774896,0.756619,0.867273,0.773044,0.354262,0.517843,0.867273,0.773044,0.009571,0.347462,0.011091,0.348696,0.333333,0.455115,0.085163,0.323996,0.073498,0.364687,0.008977,0.352099,0.071907,0.364242,0.436966,0.637025,0.448692,0.593243,0.333333,0.435894,0.853613,1.0,0.831867,0.997849,0.757808,0.978348,0.830308,0.9971,0.178619,0.393024,0.263769,0.445974,0.666667,0.671171,0.46137,0.610826,0.44087,0.608489,0.229035,0.438933,0.439788,0.608201,0.037574,0.325067,0.038972,0.3207,0.333333,0.370965,0.186722,0.275577,0.160161,0.330059,0.042158,0.306103,0.156483,0.328892,0.010404,0.428956,0.011158,0.430996,1.0,0.944323,0.381038,0.556858,0.193849,0.334164,0.164697,0.467558,0.275304,0.403819,0.268478,0.451997,0.237585,0.40131,0.666667,0.661204,0.488739,0.661384,0.551022,0.766632,0.218604,0.504397,0.547854,0.766051,0.878639,0.962607,1.0,1.0,0.333333,0.460937,1.0,0.957117,1.0,1.0,0.735758,0.79421,1.0,1.0,0
16,2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,0.096975,0.15652,0.138533,0.117527,0.666667,0.38032,0.616507,0.497555,0.697622,0.562232,0.319052,0.337818,0.697622,0.562232,0.554917,0.551114,0.596519,0.569084,1.0,0.567711,0.873093,0.822639,0.868944,0.798565,0.805111,0.861961,0.868944,0.798565,0.007726,0.28492,0.011556,0.339535,0.333333,0.45869,0.725686,0.620068,0.869558,0.687824,0.076829,0.243981,0.869558,0.687824,0.002052,0.248233,0.002433,0.247081,0.333333,0.411859,0.061929,0.192907,0.049425,0.245369,0.006656,0.266992,0.047793,0.245018,0.417025,0.530894,0.539628,0.559412,1.0,0.678137,0.84968,0.932659,0.815157,0.925563,0.766197,0.930874,0.813443,0.925331,0.013247,0.204982,0.014506,0.225471,0.333333,0.484005,0.114945,0.275998,0.116875,0.300208,0.013192,0.196195,0.115166,0.2998,0.008846,0.221494,0.009918,0.216532,0.333333,0.303494,0.091881,0.101763,0.085723,0.184123,0.007318,0.231918,0.081719,0.183085,0.009851,0.338719,0.00865,0.334262,1.0,0.888263,0.521185,0.571238,0.391099,0.381159,0.290958,0.476834,0.388338,0.396672,0.017456,0.235782,0.014031,0.215095,0.333333,0.502284,0.141918,0.30622,0.190588,0.389295,0.015525,0.235741,0.184876,0.388511,0.461729,0.613078,0.434128,0.603766,0.333333,0.4129,0.576013,0.617175,0.511821,0.657253,0.358839,0.457966,0.509772,0.657203,1
17,2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,0.631264,0.397492,0.758123,0.389904,0.666667,0.315906,0.603504,0.515974,0.664918,0.562982,0.487342,0.433838,0.664918,0.562982,0.299394,0.502321,0.291169,0.476106,0.666667,0.707704,0.684052,0.641748,0.792839,0.702606,0.238149,0.576415,0.792839,0.702606,0.103161,0.157942,0.126291,0.174805,0.666667,0.3373,0.7233,0.628675,0.866616,0.708869,0.081596,0.203099,0.866616,0.708869,0.151169,0.346464,0.155408,0.346235,0.333333,0.306071,0.324987,0.338984,0.258332,0.350976,0.168479,0.336669,0.257058,0.350401,0.449257,0.523021,0.52701,0.549262,0.333333,0.658045,0.454317,0.719833,0.338372,0.654116,0.277938,0.673352,0.332236,0.652949,0.033378,0.153136,0.038083,0.141093,0.333333,0.23282,0.230631,0.274668,0.26586,0.306823,0.039355,0.185357,0.26444,0.306427,0.776028,0.417319,0.778738,0.420308,0.333333,0.155015,0.668062,0.381062,0.498673,0.381159,0.801627,0.368134,0.496477,0.380528,0.316957,0.453236,0.3253,0.458729,0.666667,0.867362,0.570755,0.626819,0.735454,0.555813,0.275922,0.500613,0.72276,0.547903,0.04617,0.140034,0.036857,0.125968,0.333333,0.300646,0.277075,0.305629,0.418521,0.420739,0.045278,0.216689,0.414417,0.41924,0.391206,0.415526,0.400493,0.37655,0.333333,0.281993,0.448702,0.46355,0.301075,0.423904,0.327013,0.408698,0.298141,0.423583,1
18,2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,0.042395,0.375419,0.038835,0.368918,0.0,0.358172,0.687886,0.701867,0.765955,0.750449,0.254498,0.448757,0.765955,0.750449,0.000773,0.399994,0.000648,0.369335,1.0,0.352501,0.644116,0.693807,0.803076,0.813399,0.002398,0.451195,0.803076,0.813399,0.008251,0.306349,0.009968,0.349129,0.333333,0.635912,0.664237,0.72087,0.821864,0.803592,0.03649,0.248687,0.821864,0.803592,0.000703,0.336005,0.000835,0.335441,0.0,0.439216,0.458419,0.509875,0.459874,0.544844,0.002633,0.383749,0.458947,0.544495,0.000693,0.4633,0.000923,0.446172,1.0,0.53666,0.134156,0.583902,0.20961,0.565644,0.001987,0.535358,0.20228,0.564204,0.002012,0.253919,0.002328,0.256779,0.0,0.465543,0.320588,0.388015,0.462235,0.460725,0.011717,0.246084,0.461195,0.460229,0.050632,0.595452,0.062138,0.592828,0.0,0.331033,0.9785,0.716605,0.960537,0.68967,0.163637,0.706504,0.960364,0.689041,0.001977,0.548606,0.002384,0.542543,1.0,0.650928,0.351051,0.61293,0.824455,0.716081,0.010791,0.478123,0.816032,0.714542,0.00436,0.272674,0.004176,0.251953,0.0,0.482547,0.392311,0.449702,0.749752,0.665137,0.019161,0.30593,0.747986,0.664328,0.052612,0.393021,0.069574,0.390764,0.0,0.449724,0.336756,0.412489,0.139656,0.404772,0.234577,0.344551,0.136044,0.404061,1
19,2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,0.389436,0.509848,0.382855,0.485485,0.333333,0.233993,0.948738,0.738659,0.963378,0.740453,0.47872,0.503312,0.963378,0.740453,0.0,0.230961,1e-06,0.175778,0.333333,0.377688,0.642306,0.433049,0.801922,0.581871,3.5e-05,0.242921,0.801922,0.581871,0.040857,0.133599,0.051754,0.142838,0.666667,0.457974,0.754215,0.621451,0.901821,0.704877,0.035687,0.121609,0.901821,0.704877,0.080127,0.348206,0.085819,0.353581,0.333333,0.364135,0.372403,0.405184,0.312,0.378869,0.179843,0.389551,0.310819,0.378559,0.004828,0.205174,0.003365,0.210438,0.333333,0.457844,0.104373,0.370184,0.13345,0.289158,0.008029,0.30583,0.125414,0.288034,0.021675,0.136077,0.019899,0.125534,0.333333,0.257274,0.254456,0.234316,0.293864,0.247832,0.047542,0.161852,0.292497,0.247506,0.807576,0.669002,0.820676,0.680222,0.333333,0.190041,0.782017,0.563698,0.61337,0.457892,0.954337,0.745813,0.611677,0.45779,0.015222,0.34719,0.008911,0.344331,0.333333,0.508167,0.275463,0.38939,0.528978,0.423178,0.037342,0.325547,0.506375,0.39946,0.032166,0.129461,0.021451,0.116005,0.333333,0.314899,0.309647,0.264304,0.473306,0.355521,0.054533,0.189135,0.469589,0.354835,0.02208,0.177767,0.022235,0.164208,0.333333,0.350422,0.121318,0.129359,0.059269,0.15274,0.029785,0.103515,0.05532,0.152178,1
20,2023-02-06T14:18:10.000000000,2023-02-06T14:19:08.000000000,0.388211,0.514148,0.38316,0.485808,0.333333,0.264749,0.948076,0.788214,0.962809,0.792345,0.478787,0.522803,0.962809,0.792345,0.000594,0.219419,0.000505,0.163008,1.0,0.723528,0.60327,0.402292,0.741038,0.550437,0.124605,0.299461,0.741038,0.550437,0.007554,0.146979,0.010623,0.146376,0.333333,0.353178,0.755978,0.650291,0.90365,0.736882,0.034066,0.141388,0.90365,0.736882,0.108151,0.373455,0.124067,0.38488,0.333333,0.407315,0.176598,0.366917,0.080526,0.311767,0.10562,0.378871,0.078947,0.311435,0.000367,0.190421,0.000564,0.186449,1.0,0.769886,0.298246,0.464838,0.128181,0.28018,0.145487,0.374841,0.120096,0.279498,0.002676,0.166282,0.00338,0.158363,0.0,0.125685,0.092896,0.177847,0.049021,0.150304,0.01396,0.174098,0.047181,0.149821,0.130612,0.403801,0.189262,0.437361,0.0,0.068969,0.309869,0.386976,0.106916,0.238638,0.340503,0.531159,0.103006,0.237866,0.001127,0.371087,0.00149,0.36848,1.0,0.899099,0.35163,0.467614,0.228097,0.303134,0.137058,0.393115,0.236474,0.298149,0.002113,0.155946,0.001705,0.150499,0.0,0.169201,0.096077,0.171154,0.065433,0.134568,0.011191,0.197395,0.058838,0.132983,0.027735,0.150813,0.034795,0.147814,0.333333,0.402318,0.127091,0.130689,0.071585,0.143648,0.03071,0.099855,0.067688,0.143025,0
21,2023-02-06T14:18:40.000000000,2023-02-06T14:19:38.000000000,0.000178,0.221479,0.000194,0.164182,1.0,0.590673,0.732773,0.648924,0.831264,0.705805,0.003905,0.273896,0.831264,0.705805,0.570457,0.437766,0.566437,0.388449,0.666667,0.549062,0.791581,0.472933,0.83688,0.568752,0.542037,0.421602,0.83688,0.568752,0.021143,0.128112,0.030222,0.119407,0.666667,0.519849,0.725691,0.591162,0.868445,0.677897,0.083401,0.134094,0.868445,0.677897,0.001058,0.294878,0.001153,0.300383,0.333333,0.452183,0.027876,0.268661,0.020222,0.286212,0.001866,0.303747,0.01854,0.286053,0.582076,0.433904,0.612976,0.414802,0.666667,0.673144,0.722561,0.585238,0.58652,0.454005,0.654878,0.553124,0.582685,0.453805,0.002498,0.150788,0.002204,0.146454,0.333333,0.314936,0.081481,0.154055,0.065813,0.158776,0.008764,0.148771,0.064005,0.158351,0.00406,0.218969,0.003955,0.227448,0.333333,0.27303,0.061824,0.23542,0.044504,0.235511,0.008882,0.3225,0.04032,0.234655,0.457804,0.599998,0.428289,0.578801,0.666667,0.72967,0.631631,0.602189,0.469867,0.481073,0.426306,0.505086,0.457223,0.463878,0.001988,0.146145,0.001723,0.145693,0.333333,0.28571,0.090379,0.15201,0.094964,0.166345,0.008313,0.170451,0.088577,0.165353,0.131383,0.108133,0.085889,0.077061,0.333333,0.457408,0.492738,0.238645,0.343716,0.188851,0.379788,0.215871,0.340961,0.188359,1
22,2023-02-06T14:19:10.000000000,2023-02-06T14:20:08.000000000,0.09482,0.508109,0.128716,0.469726,0.333333,0.521783,0.666262,0.605336,0.696078,0.641991,0.679128,0.413859,0.696078,0.641991,0.323894,0.44342,0.394278,0.406913,0.666667,0.519262,0.872898,0.521449,0.896753,0.61612,0.651744,0.426141,0.896753,0.61612,0.128789,0.147963,0.186177,0.145142,0.666667,0.528009,0.691708,0.599501,0.831848,0.680879,0.118765,0.177329,0.831848,0.680879,0.000768,0.37345,0.001339,0.379441,0.333333,0.413122,0.174258,0.364313,0.105696,0.357571,0.082758,0.391152,0.10416,0.35722,0.489977,0.448791,0.542593,0.436886,0.666667,0.45309,0.794498,0.574903,0.735253,0.494153,0.700152,0.540232,0.732798,0.493257,0.016781,0.181943,0.018523,0.164764,0.333333,0.353926,0.137521,0.233395,0.143999,0.235733,0.017818,0.20244,0.142343,0.235398,0.003212,0.518121,0.00556,0.527134,0.333333,0.334909,0.25427,0.37253,0.149791,0.342505,0.173227,0.509765,0.146068,0.341683,0.032899,0.549264,0.028094,0.531797,0.0,0.395034,0.53411,0.54893,0.371441,0.498087,0.309778,0.472441,0.351761,0.455881,0.019403,0.158543,0.017183,0.149442,0.333333,0.376978,0.164532,0.247787,0.224405,0.292301,0.020193,0.222615,0.218931,0.291013,0.435265,0.248719,0.477974,0.205863,0.333333,0.402514,0.681975,0.3147,0.660695,0.270751,0.391222,0.278206,0.659271,0.270204,1
23,2023-02-06T14:19:40.000000000,2023-02-06T14:20:38.000000000,1.0,0.331515,0.947027,0.29272,0.333333,0.559721,0.668721,0.796054,0.698335,0.821127,0.678671,0.556349,0.698335,0.821127,0.204714,0.291535,0.264177,0.26215,0.666667,0.681485,0.698264,0.628959,0.800173,0.763602,0.268489,0.417058,0.800173,0.763602,0.007425,0.268419,0.011177,0.282253,0.333333,0.724396,0.671822,0.734969,0.828855,0.82146,0.035025,0.254462,0.828855,0.82146,0.138939,0.365968,0.146864,0.36992,0.333333,0.712852,0.370511,0.594557,0.320003,0.618497,0.152712,0.413117,0.318835,0.61832,0.256045,0.322432,0.25936,0.295943,0.333333,0.768364,0.455128,0.546511,0.372655,0.510704,0.26167,0.482852,0.366837,0.509161,0.018127,0.27703,0.023537,0.267831,0.333333,0.658885,0.262494,0.388715,0.333014,0.459767,0.034847,0.283014,0.331723,0.459341,0.510798,0.275836,0.600259,0.285658,0.333333,0.629165,0.76251,0.747738,0.619626,0.733222,0.803951,0.582921,0.61796,0.732507,0.01192,0.429504,0.007659,0.425874,0.333333,0.410466,0.266657,0.59881,0.499763,0.71603,0.037778,0.454224,0.475759,0.694258,0.023641,0.270209,0.021739,0.262556,0.333333,0.33153,0.324872,0.438978,0.555959,0.646702,0.039111,0.335578,0.552825,0.646197,0.425427,0.269827,0.396195,0.261209,0.333333,0.784749,0.473204,0.308329,0.328845,0.309221,0.351823,0.240705,0.326027,0.308303,1
24,2023-02-06T14:20:10.000000000,2023-02-06T14:21:08.000000000,0.001629,0.361827,0.001898,0.328865,1.0,0.668179,0.952995,0.825387,0.96761,0.839389,0.472278,0.478893,0.96761,0.839389,0.000852,0.216268,0.000712,0.147633,1.0,0.760297,0.64226,0.450464,0.801069,0.634377,0.00414,0.158688,0.801069,0.634377,0.002482,0.163873,0.004648,0.160262,1.0,0.766353,0.754312,0.680536,0.901916,0.761064,0.035627,0.171772,0.901916,0.761064,1.6e-05,0.361895,2.4e-05,0.367506,1.0,0.722106,0.426506,0.552575,0.405129,0.559217,0.082194,0.406109,0.404108,0.558956,0.000102,0.156795,0.000151,0.156754,1.0,0.656223,0.124015,0.248334,0.178252,0.268529,0.006053,0.205857,0.170631,0.267111,0.000117,0.195373,0.000227,0.179851,1.0,0.729357,0.295935,0.342653,0.393992,0.400415,0.032315,0.2228,0.39282,0.400142,0.004833,0.537308,0.005884,0.529181,1.0,0.68518,0.907694,0.800093,0.819806,0.74988,0.626515,0.688035,0.819017,0.749744,0.00022,0.408951,0.000235,0.403315,0.0,0.180651,0.321791,0.422545,0.699149,0.649013,0.027194,0.319909,0.684712,0.616597,0.000448,0.177756,0.000558,0.167147,0.0,0.263679,0.361981,0.393381,0.640665,0.599666,0.039302,0.255634,0.638129,0.599301,0.000856,0.106898,0.000865,0.096413,1.0,0.792117,0.124331,0.088316,0.057936,0.096891,0.031746,0.076206,0.053981,0.096019,1
