segment_idx,m2_speed_psd_peak_baseband,m2_speed_psd_peak_original_bits,m2_speed_psd_peak_psk_recovered,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_original_bits,m2_speed_psd_mean_energy_psk_recovered,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_original_bits,m2_speed_psd_peak_freq_psk_recovered,m2_speed_rms_baseband,m2_speed_rms_original_bits,m2_speed_rms_psk_recovered,m2_speed_mean_baseband,m2_speed_mean_original_bits,m2_speed_mean_psk_recovered,m2_speed_variance_baseband,m2_speed_variance_original_bits,m2_speed_variance_psk_recovered,m2_speed_fft_peak_baseband,m2_speed_fft_peak_original_bits,m2_speed_fft_peak_psk_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_psk_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_psk_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_psk_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_psk_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_psk_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_psk_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
18,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
19,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
20,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
21,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
22,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
23,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
24,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
25,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
26,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
27,0.0,0,0,0.0,0,0,0.0,0,0,0.664887,1,1,0.776751,1,1,0.0,0,0,0.776751,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.044168,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
