timestamp,i3_pos_switch_baseband,i3_pos_switch_am_demodulated,m2_speed_baseband,m2_speed_am_demodulated,o8_compressor_baseband,o8_compressor_am_demodulated,o5_valve_baseband,o5_valve_am_demodulated,o6_valve_baseband,o6_valve_am_demodulated,current_state_binary
2023-02-06 14:09:34,0.0,0.455021,0.517115,0.676509,0.158068,0.527377,0.0,0.440965,0.0,0.470004,1
2023-02-06 14:09:36,0.0,0.454454,0.515964,0.678162,0.158068,0.529382,0.0,0.44015,0.0,0.470494,1
2023-02-06 14:09:38,0.0,0.453822,0.5145,0.673921,0.158068,0.526722,0.0,0.44032,0.0,0.469049,1
2023-02-06 14:09:40,0.0,0.448104,0.5145,0.666253,0.158068,0.521726,0.0,0.435463,0.0,0.463521,1
2023-02-06 14:09:42,0.0,0.431708,0.515386,0.646757,0.158068,0.505636,0.0,0.420183,0.0,0.446925,1
2023-02-06 14:09:44,0.0,0.427132,0.515815,0.638624,0.158068,0.498929,0.0,0.416363,0.0,0.441399,1
2023-02-06 14:09:46,0.0,0.457067,0.51547,0.674288,0.158068,0.532577,0.0,0.445137,0.0,0.473309,1
2023-02-06 14:09:48,0.0,0.432334,0.514996,0.645811,0.158068,0.504645,0.0,0.420807,0.0,0.446958,1
2023-02-06 14:09:50,0.0,0.463599,0.514996,0.683801,0.158068,0.537857,0.0,0.450545,0.0,0.479551,1
2023-02-06 14:09:52,0.0,0.509223,0.514996,0.737487,0.158068,0.585788,0.0,0.494175,0.0,0.527042,1
2023-02-06 14:09:54,0.0,0.462904,0.514996,0.684695,0.158068,0.535225,0.0,0.449051,0.0,0.47839,1
2023-02-06 14:09:56,0.0,0.466635,0.514996,0.691896,0.158068,0.54189,0.0,0.452473,0.0,0.483154,1
2023-02-06 14:09:58,0.0,0.468032,0.514996,0.690147,0.158068,0.541439,0.0,0.454422,0.0,0.483902,1
2023-02-06 14:10:00,0.0,0.474416,0.514996,0.695944,0.158068,0.549099,0.0,0.461038,0.0,0.490747,1
