timestamp,i3_pos_switch_baseband,i3_pos_switch_fm_demodulated,m2_speed_baseband,m2_speed_fm_demodulated,o8_compressor_baseband,o8_compressor_fm_demodulated,o5_valve_baseband,o5_valve_fm_demodulated,o6_valve_baseband,o6_valve_fm_demodulated,current_state_binary
2023-02-06 14:08:10,0.0,0.456926,0.066642,0.19671,0.158068,0.611806,0.0,0.087963,0.0,0.689832,1.0
2023-02-06 14:08:12,0.0,0.052857,0.066169,0.056259,0.158068,0.182625,0.0,0.059327,0.0,0.007299,1.0
2023-02-06 14:08:14,0.0,0.190517,0.065824,0.069076,0.158068,0.054275,0.0,0.106802,0.0,0.200677,1.0
2023-02-06 14:08:16,0.0,0.208264,0.066252,0.12301,0.158068,0.176309,0.0,0.162822,0.0,0.274122,1.0
2023-02-06 14:08:18,0.0,0.094209,0.067138,0.126811,0.158068,0.092273,0.0,0.166268,0.0,0.128005,1.0
2023-02-06 14:08:20,0.0,0.12045,0.067138,0.079183,0.158068,0.110238,0.0,0.123168,0.0,0.213513,1.0
2023-02-06 14:08:22,0.0,0.061016,0.065674,0.05973,0.158068,0.115294,0.0,0.133587,0.0,0.113304,1.0
2023-02-06 14:08:24,0.0,0.101212,0.064523,0.101055,0.158068,0.11716,0.0,0.152651,0.0,0.181479,1.0
2023-02-06 14:08:26,0.0,0.089613,0.065973,0.070905,0.158068,0.19816,0.0,0.112786,0.0,0.163552,1.0
2023-02-06 14:08:28,0.0,0.088168,0.068896,0.058887,0.158068,0.13522,0.0,0.139456,0.0,0.128143,1.0
2023-02-06 14:08:30,0.0,0.164996,0.068896,0.112623,0.158068,0.100578,0.0,0.159231,0.0,0.243704,1.0
2023-02-06 14:08:32,0.0,0.114878,0.064491,0.115577,0.158068,0.157294,0.0,0.136516,0.0,0.151031,1.0
2023-02-06 14:08:34,0.0,0.104254,0.061188,0.088823,0.158068,0.131559,0.0,0.107829,0.0,0.139537,1.0
2023-02-06 14:08:36,0.0,0.121288,0.06517,0.050424,0.158068,0.111616,0.0,0.12114,0.0,0.172711,1.0
2023-02-06 14:08:38,0.0,0.139362,0.072907,0.100537,0.158068,0.085655,0.0,0.178729,0.0,0.195191,1.0
2023-02-06 14:08:40,0.0,0.123071,0.072907,0.139705,0.158068,0.119144,0.0,0.134597,0.0,0.197091,1.0
2023-02-06 14:08:42,0.0,0.078831,0.061795,0.052097,0.158068,0.186333,0.0,0.123004,0.0,0.129068,1.0
2023-02-06 14:08:44,0.0,0.142871,0.053537,0.08265,0.158068,0.109672,0.0,0.183049,0.0,0.226796,1.0
2023-02-06 14:08:46,0.0,0.111798,0.063535,0.132125,0.158068,0.093672,0.0,0.136115,0.0,0.184066,1.0
2023-02-06 14:08:48,0.0,0.09233,0.083363,0.078878,0.158068,0.142487,0.0,0.13196,0.0,0.136295,1.0
2023-02-06 14:08:50,0.0,0.122693,0.083363,0.093043,0.158068,0.090739,0.0,0.12856,0.0,0.186564,1.0
2023-02-06 14:08:52,0.0,0.080692,0.051319,0.052474,0.158068,0.140745,0.0,0.101857,0.0,0.110957,1.0
2023-02-06 14:08:54,0.0,0.151981,0.024225,0.045078,0.158068,0.171418,0.0,0.165349,0.0,0.21223,1.0
2023-02-06 14:08:56,0.0,0.141963,0.065616,0.215359,0.158068,0.101291,0.0,0.150872,0.0,0.204941,1.0
2023-02-06 14:08:58,0.0,0.104159,0.201031,0.343969,0.158068,0.145359,0.0,0.136917,0.0,0.149045,1.0
2023-02-06 14:09:00,0.0,0.13426,0.380607,0.476955,0.158068,0.146305,0.0,0.151819,0.0,0.209943,1.0
2023-02-06 14:09:02,0.0,0.090232,0.516022,0.578014,0.158068,0.098615,0.0,0.126728,0.0,0.142241,1.0
2023-02-06 14:09:04,0.0,0.108006,0.557413,0.534153,0.158068,0.13197,0.0,0.140607,0.0,0.172413,1.0
2023-02-06 14:09:06,0.0,0.10137,0.530319,0.455916,0.158068,0.10248,0.0,0.124349,0.0,0.164323,1.0
2023-02-06 14:09:08,0.0,0.121939,0.498275,0.47867,0.158068,0.136966,0.0,0.157252,0.0,0.178258,1.0
2023-02-06 14:09:10,0.0,0.15923,0.498275,0.514781,0.158068,0.178194,0.0,0.17401,0.0,0.236772,1.0
2023-02-06 14:09:12,0.0,0.080103,0.518103,0.480192,0.158068,0.08652,0.0,0.100785,0.0,0.114684,1.0
2023-02-06 14:09:14,0.0,0.124672,0.528101,0.462217,0.158068,0.128225,0.0,0.140754,0.0,0.1775,1.0
2023-02-06 14:09:16,0.0,0.125633,0.519843,0.504538,0.158068,0.174575,0.0,0.136501,0.0,0.184082,1.0
2023-02-06 14:09:18,0.0,0.059245,0.508731,0.501885,0.158068,0.069029,0.0,0.087067,0.0,0.086978,1.0
2023-02-06 14:09:20,0.0,0.131631,0.508731,0.4648,0.158068,0.112664,0.0,0.150099,0.0,0.205099,1.0
2023-02-06 14:09:22,0.0,0.095217,0.516468,0.488445,0.158068,0.133892,0.0,0.129275,0.0,0.14714,1.0
2023-02-06 14:09:24,0.0,0.111524,0.52045,0.514632,0.158068,0.071646,0.0,0.141814,0.0,0.175874,1.0
2023-02-06 14:09:26,0.0,0.141933,0.517147,0.474612,0.158068,0.144705,0.0,0.168978,0.0,0.219869,1.0
2023-02-06 14:09:28,0.0,0.101555,0.512742,0.453287,0.158068,0.13828,0.0,0.134209,0.0,0.150505,1.0
2023-02-06 14:09:30,0.0,0.1398,0.512742,0.498761,0.158068,0.108468,0.0,0.154919,0.0,0.209975,1.0
2023-02-06 14:09:32,0.0,0.118472,0.515665,0.515853,0.158068,0.165352,0.0,0.141515,0.0,0.168984,1.0
2023-02-06 14:09:34,0.0,0.097052,0.517115,0.485264,0.158068,0.137429,0.0,0.113041,0.0,0.141054,1.0
2023-02-06 14:09:36,0.0,0.123128,0.515964,0.472893,0.158068,0.112086,0.0,0.137163,0.0,0.181879,1.0
2023-02-06 14:09:38,0.0,0.117324,0.5145,0.4728,0.158068,0.118985,0.0,0.146805,0.0,0.168504,1.0
2023-02-06 14:09:40,0.0,0.126412,0.5145,0.470124,0.158068,0.10918,0.0,0.145542,0.0,0.19646,1.0
2023-02-06 14:09:42,0.0,0.09521,0.515386,0.503066,0.158068,0.14921,0.0,0.127395,0.0,0.14691,1.0
2023-02-06 14:09:44,0.0,0.127167,0.515815,0.527498,0.158068,0.116122,0.0,0.158473,0.0,0.196437,1.0
2023-02-06 14:09:46,0.0,0.124143,0.51547,0.483788,0.158068,0.102332,0.0,0.149054,0.0,0.19451,1.0
2023-02-06 14:09:48,0.0,0.076849,0.514996,0.454607,0.158068,0.187434,0.0,0.106073,0.0,0.114983,1.0
2023-02-06 14:09:50,0.0,0.153502,0.514996,0.498675,0.158068,0.126022,0.0,0.170613,0.0,0.228734,1.0
2023-02-06 14:09:52,0.0,0.126994,0.514996,0.508839,0.158068,0.072105,0.0,0.150291,0.0,0.181845,1.0
2023-02-06 14:09:54,0.0,0.084268,0.514996,0.468381,0.158068,0.158728,0.0,0.100761,0.0,0.12424,1.0
2023-02-06 14:09:56,0.0,0.119121,0.514996,0.476903,0.158068,0.132122,0.0,0.134425,0.0,0.177166,1.0
2023-02-06 14:09:58,0.0,0.097135,0.514996,0.516438,0.158068,0.141965,0.0,0.124457,0.0,0.141043,1.0
2023-02-06 14:10:00,0.0,0.14865,0.514996,0.480588,0.158068,0.164483,0.0,0.170834,0.0,0.227086,1.0
2023-02-06 14:10:02,0.0,0.117893,0.514996,0.442081,0.158068,0.054531,0.0,0.149729,0.0,0.178164,1.0
2023-02-06 14:10:04,0.0,0.060916,0.514996,0.507258,0.158068,0.111812,0.0,0.085812,0.0,0.10224,1.0
2023-02-06 14:10:06,0.0,0.157423,0.514996,0.549531,0.158068,0.191025,0.0,0.185116,0.0,0.24012,1.0
2023-02-06 14:10:08,0.0,0.114197,0.514996,0.499901,0.158068,0.086299,0.0,0.146628,0.0,0.168235,1.0
2023-02-06 14:10:10,0.0,0.066916,0.514996,0.451416,0.158068,0.083533,0.0,0.078675,0.0,0.109594,1.0
2023-02-06 14:10:12,0.0,0.132515,0.514996,0.488418,0.158068,0.159571,0.0,0.156435,0.0,0.18857,1.0
2023-02-06 14:10:14,0.0,0.112474,0.514996,0.508018,0.158068,0.129434,0.0,0.130442,0.0,0.163752,1.0
2023-02-06 14:10:16,0.0,0.111396,0.514996,0.479938,0.158068,0.126935,0.0,0.126901,0.0,0.1666,1.0
2023-02-06 14:10:18,0.0,0.113357,0.514996,0.47259,0.158068,0.133564,0.0,0.140865,0.0,0.162859,1.0
2023-02-06 14:10:20,0.0,0.100683,0.514996,0.491418,0.158068,0.106992,0.0,0.118877,0.0,0.160188,1.0
2023-02-06 14:10:22,0.0,0.133633,0.514996,0.495784,0.158068,0.125398,0.0,0.166968,0.0,0.199757,1.0
2023-02-06 14:10:24,0.0,0.144668,0.514996,0.493657,0.158068,0.15693,0.0,0.176191,0.0,0.219768,1.0
2023-02-06 14:10:26,0.0,0.120815,0.514996,0.497848,0.158068,0.160429,0.0,0.145474,0.0,0.189252,1.0
2023-02-06 14:10:28,0.0,0.099147,0.514996,0.494617,0.158068,0.128943,0.0,0.129081,0.0,0.145971,1.0
2023-02-06 14:10:30,0.0,0.116711,0.514996,0.490199,0.158068,0.110603,0.0,0.132739,0.0,0.178876,1.0
