segment_idx,m1_speed_psd_peak_baseband,m1_speed_psd_peak_original_bits,m1_speed_psd_peak_psk_recovered,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_original_bits,m1_speed_psd_mean_energy_psk_recovered,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_original_bits,m1_speed_psd_peak_freq_psk_recovered,m1_speed_rms_baseband,m1_speed_rms_original_bits,m1_speed_rms_psk_recovered,m1_speed_mean_baseband,m1_speed_mean_original_bits,m1_speed_mean_psk_recovered,m1_speed_variance_baseband,m1_speed_variance_original_bits,m1_speed_variance_psk_recovered,m1_speed_fft_peak_baseband,m1_speed_fft_peak_original_bits,m1_speed_fft_peak_psk_recovered,m2_speed_psd_peak_baseband,m2_speed_psd_peak_original_bits,m2_speed_psd_peak_psk_recovered,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_original_bits,m2_speed_psd_mean_energy_psk_recovered,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_original_bits,m2_speed_psd_peak_freq_psk_recovered,m2_speed_rms_baseband,m2_speed_rms_original_bits,m2_speed_rms_psk_recovered,m2_speed_mean_baseband,m2_speed_mean_original_bits,m2_speed_mean_psk_recovered,m2_speed_variance_baseband,m2_speed_variance_original_bits,m2_speed_variance_psk_recovered,m2_speed_fft_peak_baseband,m2_speed_fft_peak_original_bits,m2_speed_fft_peak_psk_recovered,m3_speed_psd_peak_baseband,m3_speed_psd_peak_original_bits,m3_speed_psd_peak_psk_recovered,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_original_bits,m3_speed_psd_mean_energy_psk_recovered,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_original_bits,m3_speed_psd_peak_freq_psk_recovered,m3_speed_rms_baseband,m3_speed_rms_original_bits,m3_speed_rms_psk_recovered,m3_speed_mean_baseband,m3_speed_mean_original_bits,m3_speed_mean_psk_recovered,m3_speed_variance_baseband,m3_speed_variance_original_bits,m3_speed_variance_psk_recovered,m3_speed_fft_peak_baseband,m3_speed_fft_peak_original_bits,m3_speed_fft_peak_psk_recovered,m4_speed_psd_peak_baseband,m4_speed_psd_peak_original_bits,m4_speed_psd_peak_psk_recovered,m4_speed_psd_mean_energy_baseband,m4_speed_psd_mean_energy_original_bits,m4_speed_psd_mean_energy_psk_recovered,m4_speed_psd_peak_freq_baseband,m4_speed_psd_peak_freq_original_bits,m4_speed_psd_peak_freq_psk_recovered,m4_speed_rms_baseband,m4_speed_rms_original_bits,m4_speed_rms_psk_recovered,m4_speed_mean_baseband,m4_speed_mean_original_bits,m4_speed_mean_psk_recovered,m4_speed_variance_baseband,m4_speed_variance_original_bits,m4_speed_variance_psk_recovered,m4_speed_fft_peak_baseband,m4_speed_fft_peak_original_bits,m4_speed_fft_peak_psk_recovered,current_pos_x_psd_peak_baseband,current_pos_x_psd_peak_original_bits,current_pos_x_psd_peak_psk_recovered,current_pos_x_psd_mean_energy_baseband,current_pos_x_psd_mean_energy_original_bits,current_pos_x_psd_mean_energy_psk_recovered,current_pos_x_psd_peak_freq_baseband,current_pos_x_psd_peak_freq_original_bits,current_pos_x_psd_peak_freq_psk_recovered,current_pos_x_rms_baseband,current_pos_x_rms_original_bits,current_pos_x_rms_psk_recovered,current_pos_x_mean_baseband,current_pos_x_mean_original_bits,current_pos_x_mean_psk_recovered,current_pos_x_variance_baseband,current_pos_x_variance_original_bits,current_pos_x_variance_psk_recovered,current_pos_x_fft_peak_baseband,current_pos_x_fft_peak_original_bits,current_pos_x_fft_peak_psk_recovered,current_pos_y_psd_peak_baseband,current_pos_y_psd_peak_original_bits,current_pos_y_psd_peak_psk_recovered,current_pos_y_psd_mean_energy_baseband,current_pos_y_psd_mean_energy_original_bits,current_pos_y_psd_mean_energy_psk_recovered,current_pos_y_psd_peak_freq_baseband,current_pos_y_psd_peak_freq_original_bits,current_pos_y_psd_peak_freq_psk_recovered,current_pos_y_rms_baseband,current_pos_y_rms_original_bits,current_pos_y_rms_psk_recovered,current_pos_y_mean_baseband,current_pos_y_mean_original_bits,current_pos_y_mean_psk_recovered,current_pos_y_variance_baseband,current_pos_y_variance_original_bits,current_pos_y_variance_psk_recovered,current_pos_y_fft_peak_baseband,current_pos_y_fft_peak_original_bits,current_pos_y_fft_peak_psk_recovered,target_pos_x_psd_peak_baseband,target_pos_x_psd_peak_original_bits,target_pos_x_psd_peak_psk_recovered,target_pos_x_psd_mean_energy_baseband,target_pos_x_psd_mean_energy_original_bits,target_pos_x_psd_mean_energy_psk_recovered,target_pos_x_psd_peak_freq_baseband,target_pos_x_psd_peak_freq_original_bits,target_pos_x_psd_peak_freq_psk_recovered,target_pos_x_rms_baseband,target_pos_x_rms_original_bits,target_pos_x_rms_psk_recovered,target_pos_x_mean_baseband,target_pos_x_mean_original_bits,target_pos_x_mean_psk_recovered,target_pos_x_variance_baseband,target_pos_x_variance_original_bits,target_pos_x_variance_psk_recovered,target_pos_x_fft_peak_baseband,target_pos_x_fft_peak_original_bits,target_pos_x_fft_peak_psk_recovered,target_pos_y_psd_peak_baseband,target_pos_y_psd_peak_original_bits,target_pos_y_psd_peak_psk_recovered,target_pos_y_psd_mean_energy_baseband,target_pos_y_psd_mean_energy_original_bits,target_pos_y_psd_mean_energy_psk_recovered,target_pos_y_psd_peak_freq_baseband,target_pos_y_psd_peak_freq_original_bits,target_pos_y_psd_peak_freq_psk_recovered,target_pos_y_rms_baseband,target_pos_y_rms_original_bits,target_pos_y_rms_psk_recovered,target_pos_y_mean_baseband,target_pos_y_mean_original_bits,target_pos_y_mean_psk_recovered,target_pos_y_variance_baseband,target_pos_y_variance_original_bits,target_pos_y_variance_psk_recovered,target_pos_y_fft_peak_baseband,target_pos_y_fft_peak_original_bits,target_pos_y_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
0,0.002341,0,0,0.002612,0,0,1.0,1,1,0.0,0,0,0.0,0,0,0.613478,1,1,0.0,0,0,0.000433,0,0,0.000523,0,0,1.0,1,1,0.0,0,0,0.0,0,0,0.237037,0,0,0.0,0,0,0.000431,0,0,0.000402,0,0,1.0,1,1,0.0,0,0,0.0,0,0,0.285826,0,0,0.0,0,0,0.001299,0,0,0.001058,0,0,1.0,1,1,0.0,0,0,0.0,0,0,0.613478,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.000839,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,6e-06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.001074,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,7e-06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.078852,0,0,0.0,0,0,0.0,0,0,1
1,1.0,1,1,1.0,1,1,0.333333,0,0,0.639084,1,1,0.572918,1,1,1.0,1,1,0.572918,1,1,0.184727,0,0,0.200321,0,0,0.333333,0,0,0.407127,0,0,0.465713,0,0,0.386668,0,0,0.465713,0,0,0.184131,0,0,0.154015,0,0,0.333333,0,0,0.494359,0,0,0.538635,1,1,0.465962,0,0,0.538635,1,1,0.554979,1,1,0.405163,0,0,0.333333,0,0,0.542639,1,1,0.534599,1,1,1.0,1,1,0.534599,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.000348,0,0,0.000689,0,0,0.0,0,0,0.00015,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3.5e-05,0,0,0.0,0,0,0.0,0,0,6e-06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.000384,0,0,0.000978,0,0,1e-06,0,0,9.6e-05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3.6e-05,0,0,0.0,0,0,0.0,0,0,7e-06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1e-06,0,0,0.078851,0,0,0.0,0,0,1e-06,0,0,1
2,0.000334,0,0,0.000363,0,0,1.0,1,1,0.930026,1,1,0.954665,1,1,0.000475,0,0,0.954665,1,1,0.000129,0,0,0.000138,0,0,1.0,1,1,0.594475,1,1,0.777717,1,1,0.001078,0,0,0.777717,1,1,6.1e-05,0,0,6.1e-05,0,0,1.0,1,1,0.718033,1,1,0.896236,1,1,0.00048,0,0,0.896236,1,1,0.000185,0,0,0.000147,0,0,1.0,1,1,0.789664,1,1,0.890804,1,1,0.000477,0,0,0.890804,1,1,4e-06,0,0,4e-06,0,0,1.0,1,1,0.003857,0,0,0.0,0,0,6.6e-05,0,0,0.001496,0,0,1e-06,0,0,1e-06,0,0,1.0,1,1,0.001183,0,0,9e-06,0,0,5e-06,0,0,0.000477,0,0,9e-06,0,0,1.1e-05,0,0,1.0,1,1,0.008803,0,0,0.0,0,0,0.000317,0,0,0.00349,0,0,0.0,0,0,1e-06,0,0,1.0,1,1,0.001396,0,0,2.2e-05,0,0,6e-06,0,0,0.000558,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1e-05,0,0,0.078841,0,0,0.0,0,0,1.2e-05,0,0,0
3,0.0,0,0,0.0,0,0,0.333333,0,0,0.929989,1,1,0.954696,1,1,1e-06,0,0,0.954696,1,1,0.229378,0,0,0.256962,0,0,0.333333,0,0,0.52203,1,1,0.617355,1,1,0.313098,0,0,0.617355,1,1,0.005461,0,0,0.008572,0,0,1.0,1,1,0.815483,1,1,0.905604,1,1,0.328795,0,0,0.905604,1,1,5.7e-05,0,0,4.8e-05,0,0,1.0,1,1,0.788255,1,1,0.889549,1,1,0.001434,0,0,0.889549,1,1,0.416962,0,0,0.312736,0,0,0.333333,0,0,0.563921,1,1,0.359567,0,0,0.879208,1,1,0.359029,0,0,0.000444,0,0,0.000806,0,0,0.0,0,0,0.052906,0,0,0.016879,0,0,0.008836,0,0,0.017696,0,0,0.034064,0,0,0.049279,0,0,0.333333,0,0,0.463052,0,0,0.236586,0,0,0.659848,1,1,0.235766,0,0,0.000445,0,0,0.000877,0,0,0.0,0,0,0.054137,0,0,0.01818,0,0,0.007668,0,0,0.019448,0,0,0.0,0,0,0.0,0,0,0.333333,0,0,0.002345,0,0,0.082812,0,0,4e-06,0,0,0.0043,0,0,0
4,0.0,0,0,0.0,0,0,0.0,0,0,0.929852,1,1,0.954595,1,1,0.0,0,0,0.954595,1,1,0.430789,0,0,0.507858,1,1,0.333333,0,0,0.756735,1,1,0.772852,1,1,0.660726,1,1,0.772852,1,1,0.38158,0,0,0.531474,1,1,0.666667,1,1,0.895267,1,1,0.89802,1,1,0.680467,1,1,0.89802,1,1,0.100581,0,0,0.108505,0,0,0.333333,0,0,0.726206,1,1,0.8168,1,1,0.184092,0,0,0.8168,1,1,0.976296,1,1,0.786442,1,1,0.333333,0,0,0.592453,1,1,0.425751,0,0,0.791068,1,1,0.425269,0,0,0.178882,0,0,0.216734,0,0,0.333333,0,0,0.539248,1,1,0.318318,0,0,0.670615,1,1,0.318313,0,0,1.0,1,1,1.0,1,1,0.333333,0,0,0.463715,0,0,0.237134,0,0,0.661325,1,1,0.236314,0,0,0.08234,0,0,0.116825,0,0,0.333333,0,0,0.542488,1,1,0.312422,0,0,0.596221,1,1,0.312418,0,0,1e-06,0,0,1e-06,0,0,0.333333,0,0,0.006894,0,0,0.095561,0,0,1.4e-05,0,0,0.018139,0,0,0
5,0.0,0,0,0.0,0,0,0.0,0,0,0.929852,1,1,0.954595,1,1,0.0,0,0,0.954595,1,1,0.102271,0,0,0.121592,0,0,0.333333,0,0,0.728864,1,1,0.745709,1,1,0.646607,1,1,0.745709,1,1,0.981612,1,1,0.900549,1,1,0.666667,1,1,0.848788,1,1,0.858251,1,1,0.64813,1,1,0.858251,1,1,0.30402,0,0,0.285638,0,0,0.333333,0,0,0.958282,1,1,0.966265,1,1,0.588954,1,1,0.966265,1,1,0.051955,0,0,0.064506,0,0,0.333333,0,0,0.298132,0,0,0.160233,0,0,0.29492,0,0,0.159528,0,0,0.669237,1,1,0.599395,1,1,0.333333,0,0,0.71948,1,1,0.553155,1,1,0.760784,1,1,0.553152,1,1,0.001056,0,0,0.001229,0,0,1.0,1,1,0.03327,0,0,0.001876,0,0,0.004595,0,0,0.012956,0,0,0.950732,1,1,0.896239,1,1,0.333333,0,0,0.708722,1,1,0.509657,1,1,0.766431,1,1,0.509653,1,1,1e-06,0,0,1e-06,0,0,0.333333,0,0,0.012637,0,0,0.113163,0,0,1.4e-05,0,0,0.037248,0,0,0
6,0.0,0,0,0.0,0,0,0.0,0,0,0.929852,1,1,0.954595,1,1,0.0,0,0,0.954595,1,1,0.420045,0,0,0.419324,0,0,0.333333,0,0,0.459685,0,0,0.558228,1,1,0.29145,0,0,0.558228,1,1,0.261946,0,0,0.321549,0,0,0.666667,1,1,0.81211,1,1,0.860366,1,1,0.495092,0,0,0.860366,1,1,0.409244,0,0,0.48074,0,0,0.666667,1,1,0.976247,1,1,1.0,1,1,0.414372,0,0,1.0,1,1,0.546866,1,1,0.478225,0,0,0.333333,0,0,0.744679,1,1,0.593604,1,1,0.94189,1,1,0.593263,1,1,0.71114,1,1,0.637778,1,1,0.333333,0,0,0.491545,0,0,0.323162,0,0,0.487433,0,0,0.323157,0,0,0.548732,1,1,0.523596,1,1,0.333333,0,0,0.681258,1,1,0.473348,0,0,0.999773,1,1,0.472782,0,0,0.551108,1,1,0.556565,1,1,0.333333,0,0,0.473308,0,0,0.293111,0,0,0.422542,0,0,0.293106,0,0,8e-06,0,0,7e-06,0,0,0.333333,0,0,0.013781,0,0,0.111385,0,0,6.4e-05,0,0,0.035318,0,0,0
7,0.0,0,0,0.0,0,0,0.0,0,0,0.929852,1,1,0.954595,1,1,0.0,0,0,0.954595,1,1,0.269872,0,0,0.335475,0,0,0.333333,0,0,0.715848,1,1,0.713131,1,1,0.712396,1,1,0.713131,1,1,0.060561,0,0,0.098754,0,0,0.666667,1,1,0.76192,1,1,0.881559,1,1,0.220355,0,0,0.881559,1,1,0.022147,0,0,0.022711,0,0,0.333333,0,0,0.722066,1,1,0.824435,1,1,0.094267,0,0,0.824435,1,1,0.463267,0,0,0.34811,0,0,0.333333,0,0,0.831126,1,1,0.764663,1,1,0.494543,0,0,0.764465,1,1,0.005776,0,0,0.007693,0,0,0.333333,0,0,0.13895,0,0,0.116202,0,0,0.021172,0,0,0.116196,0,0,0.566278,1,1,0.547123,1,1,0.333333,0,0,0.706945,1,1,0.532107,1,1,0.902608,1,1,0.531604,1,1,0.005614,0,0,0.00754,0,0,0.333333,0,0,0.145677,0,0,0.12522,0,0,0.0197,0,0,0.125214,0,0,2.8e-05,0,0,1.9e-05,0,0,0.333333,0,0,0.008569,0,0,0.091695,0,0,5.8e-05,0,0,0.013943,0,0,0
8,0.0,0,0,0.0,0,0,0.0,0,0,0.929852,1,1,0.954595,1,1,0.0,0,0,0.954595,1,1,1.0,1,1,1.0,1,1,0.333333,0,0,1.0,1,1,0.962421,1,1,1.0,1,1,0.962421,1,1,0.25023,0,0,0.272005,0,0,0.666667,1,1,0.750485,1,1,0.859924,1,1,0.262592,0,0,0.859924,1,1,0.25191,0,0,0.238482,0,0,0.666667,1,1,0.746554,1,1,0.817787,1,1,0.314045,0,0,0.817787,1,1,0.82818,1,1,0.864756,1,1,0.333333,0,0,0.666133,1,1,0.550934,1,1,0.653799,1,1,0.550557,1,1,0.046751,0,0,0.061622,0,0,0.333333,0,0,0.230142,0,0,0.122467,0,0,0.134072,0,0,0.122462,0,0,0.73827,1,1,0.880483,1,1,0.333333,0,0,0.447677,0,0,0.230789,0,0,0.612905,1,1,0.229962,0,0,0.03475,0,0,0.041017,0,0,0.333333,0,0,0.163732,0,0,0.088703,0,0,0.057073,0,0,0.088697,0,0,1e-06,0,0,0.0,0,0,0.333333,0,0,0.004692,0,0,0.089521,0,0,9e-06,0,0,0.011583,0,0,0
9,0.0,0,0,0.0,0,0,0.0,0,0,0.929852,1,1,0.954595,1,1,0.0,0,0,0.954595,1,1,0.306623,0,0,0.377489,0,0,0.333333,0,0,0.889841,1,1,0.997991,1,1,0.287973,0,0,0.997991,1,1,0.509691,1,1,0.514447,1,1,0.666667,1,1,0.961575,1,1,0.91176,1,1,0.906275,1,1,0.91176,1,1,0.21879,0,0,0.261951,0,0,0.333333,0,0,0.87797,1,1,0.916947,1,1,0.415268,0,0,0.916947,1,1,0.693968,1,1,0.515333,1,1,0.333333,0,0,0.501664,1,1,0.289364,0,0,0.782383,1,1,0.288768,0,0,0.591542,1,1,0.593711,1,1,0.333333,0,0,0.728625,1,1,0.572396,1,1,0.732571,1,1,0.572393,1,1,0.267164,0,0,0.283822,0,0,0.333333,0,0,0.405466,0,0,0.174876,0,0,0.557194,1,1,0.173989,0,0,0.651598,1,1,0.637689,1,1,0.333333,0,0,0.727973,1,1,0.553623,1,1,0.721157,1,1,0.55362,1,1,1e-06,0,0,1e-06,0,0,0.333333,0,0,0.009936,0,0,0.105153,0,0,1.4e-05,0,0,0.028553,0,0,0
