segment_idx,segment_start,segment_end,i3_photoresistor_psd_peak_baseband,i3_photoresistor_psd_peak_original_bits,i3_photoresistor_psd_peak_psk_recovered,i3_photoresistor_psd_mean_energy_baseband,i3_photoresistor_psd_mean_energy_original_bits,i3_photoresistor_psd_mean_energy_psk_recovered,i3_photoresistor_psd_peak_freq_baseband,i3_photoresistor_psd_peak_freq_original_bits,i3_photoresistor_psd_peak_freq_psk_recovered,i3_photoresistor_rms_baseband,i3_photoresistor_rms_original_bits,i3_photoresistor_rms_psk_recovered,i3_photoresistor_mean_baseband,i3_photoresistor_mean_original_bits,i3_photoresistor_mean_psk_recovered,i3_photoresistor_variance_baseband,i3_photoresistor_variance_original_bits,i3_photoresistor_variance_psk_recovered,i3_photoresistor_fft_peak_baseband,i3_photoresistor_fft_peak_original_bits,i3_photoresistor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
15,2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,0.005434,0,0,0.008437,0,0,0.0,0,0,0.006255,0,0,0.005416,0,0,0.015543,0,0,0.005416,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
16,2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,0.000894,0,0,0.001309,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.007776,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
17,2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,0.007465,0,0,0.007421,0,0,0.0,0,0,0.015451,0,0,0.015106,0,0,0.022005,0,0,0.015106,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
18,2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,0.018877,0,0,0.015395,0,0,0.0,0,0,0.043913,0,0,0.043989,0,0,0.040909,0,0,0.043989,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
19,2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,0.022889,0,0,0.018958,0,0,0.0,0,0,0.081404,0,0,0.081969,0,0,0.056523,0,0,0.081969,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
20,2023-02-06T14:18:10.000000000,2023-02-06T14:19:08.000000000,0.017568,0,0,0.014803,0,0,0.0,0,0,0.116319,0,0,0.11816,0,0,0.03699,0,0,0.11816,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
21,2023-02-06T14:18:40.000000000,2023-02-06T14:19:38.000000000,0.003832,0,0,0.004524,0,0,0.0,0,0,0.13579,0,0,0.138547,0,0,0.008982,0,0,0.138547,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
22,2023-02-06T14:19:10.000000000,2023-02-06T14:20:08.000000000,0.000914,0,0,0.000763,0,0,0.0,0,0,0.145055,0,0,0.147944,0,0,0.003528,0,0,0.147944,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
23,2023-02-06T14:19:40.000000000,2023-02-06T14:20:38.000000000,0.002063,0,0,0.003708,0,0,0.333333,0,0,0.148312,0,0,0.151256,0,0,0.001138,0,0,0.151256,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
24,2023-02-06T14:20:10.000000000,2023-02-06T14:21:08.000000000,0.000122,0,0,0.000109,0,0,0.0,0,0,0.14667,0,0,0.149649,0,0,8e-06,0,0,0.149649,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1
