segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_fm_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_fm_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_fm_demodulated,m1_speed_rms_baseband,m1_speed_rms_fm_demodulated,m1_speed_mean_baseband,m1_speed_mean_fm_demodulated,m1_speed_variance_baseband,m1_speed_variance_fm_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_fm_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_fm_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_fm_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_fm_demodulated,m2_speed_rms_baseband,m2_speed_rms_fm_demodulated,m2_speed_mean_baseband,m2_speed_mean_fm_demodulated,m2_speed_variance_baseband,m2_speed_variance_fm_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_fm_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_fm_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_fm_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_fm_demodulated,m3_speed_rms_baseband,m3_speed_rms_fm_demodulated,m3_speed_mean_baseband,m3_speed_mean_fm_demodulated,m3_speed_variance_baseband,m3_speed_variance_fm_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_fm_demodulated,m4_speed_psd_peak_baseband,m4_speed_psd_peak_fm_demodulated,m4_speed_psd_mean_energy_baseband,m4_speed_psd_mean_energy_fm_demodulated,m4_speed_psd_peak_freq_baseband,m4_speed_psd_peak_freq_fm_demodulated,m4_speed_rms_baseband,m4_speed_rms_fm_demodulated,m4_speed_mean_baseband,m4_speed_mean_fm_demodulated,m4_speed_variance_baseband,m4_speed_variance_fm_demodulated,m4_speed_fft_peak_baseband,m4_speed_fft_peak_fm_demodulated,current_pos_x_psd_peak_baseband,current_pos_x_psd_peak_fm_demodulated,current_pos_x_psd_mean_energy_baseband,current_pos_x_psd_mean_energy_fm_demodulated,current_pos_x_psd_peak_freq_baseband,current_pos_x_psd_peak_freq_fm_demodulated,current_pos_x_rms_baseband,current_pos_x_rms_fm_demodulated,current_pos_x_mean_baseband,current_pos_x_mean_fm_demodulated,current_pos_x_variance_baseband,current_pos_x_variance_fm_demodulated,current_pos_x_fft_peak_baseband,current_pos_x_fft_peak_fm_demodulated,current_pos_y_psd_peak_baseband,current_pos_y_psd_peak_fm_demodulated,current_pos_y_psd_mean_energy_baseband,current_pos_y_psd_mean_energy_fm_demodulated,current_pos_y_psd_peak_freq_baseband,current_pos_y_psd_peak_freq_fm_demodulated,current_pos_y_rms_baseband,current_pos_y_rms_fm_demodulated,current_pos_y_mean_baseband,current_pos_y_mean_fm_demodulated,current_pos_y_variance_baseband,current_pos_y_variance_fm_demodulated,current_pos_y_fft_peak_baseband,current_pos_y_fft_peak_fm_demodulated,target_pos_x_psd_peak_baseband,target_pos_x_psd_peak_fm_demodulated,target_pos_x_psd_mean_energy_baseband,target_pos_x_psd_mean_energy_fm_demodulated,target_pos_x_psd_peak_freq_baseband,target_pos_x_psd_peak_freq_fm_demodulated,target_pos_x_rms_baseband,target_pos_x_rms_fm_demodulated,target_pos_x_mean_baseband,target_pos_x_mean_fm_demodulated,target_pos_x_variance_baseband,target_pos_x_variance_fm_demodulated,target_pos_x_fft_peak_baseband,target_pos_x_fft_peak_fm_demodulated,target_pos_y_psd_peak_baseband,target_pos_y_psd_peak_fm_demodulated,target_pos_y_psd_mean_energy_baseband,target_pos_y_psd_mean_energy_fm_demodulated,target_pos_y_psd_peak_freq_baseband,target_pos_y_psd_peak_freq_fm_demodulated,target_pos_y_rms_baseband,target_pos_y_rms_fm_demodulated,target_pos_y_mean_baseband,target_pos_y_mean_fm_demodulated,target_pos_y_variance_baseband,target_pos_y_variance_fm_demodulated,target_pos_y_fft_peak_baseband,target_pos_y_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
10,2023-02-06T14:13:08.000000000,2023-02-06T14:14:06.000000000,0.0,0.222099,0.0,0.28518,0.0,0.668999,0.929852,0.241604,0.954595,0.679639,0.0,0.370381,0.954595,0.679639,0.205537,0.301719,0.212622,0.303469,0.333333,0.342918,0.478139,0.153512,0.588864,0.0,0.257728,0.380037,0.588864,0.0,0.718566,0.850855,0.687026,0.395323,0.666667,0.650715,0.980218,0.305372,0.94307,0.433663,0.858395,0.483447,0.94307,0.433663,0.453531,0.346244,0.500923,0.390395,0.666667,0.660273,0.977222,0.801299,0.998222,0.255907,0.439267,0.402859,0.998222,0.255907,0.281246,0.530461,0.224875,0.866432,0.333333,0.433812,0.541039,0.757436,0.334413,0.716794,0.842753,0.821497,0.333854,0.711853,0.672282,0.207753,0.62904,0.446915,0.333333,0.306489,0.705507,0.409326,0.54145,0.306049,0.735116,0.206369,0.541447,0.305598,0.007294,0.515106,0.012057,0.480596,0.0,0.63704,0.472373,0.70066,0.238676,0.589849,0.691952,0.607019,0.237857,0.577336,0.593404,0.279219,0.604068,0.275997,0.333333,0.498476,0.71781,0.364823,0.53548,0.31582,0.731527,0.26562,0.535476,0.315387,1e-06,0.365481,1e-06,0.365168,0.333333,0.590816,0.01507,0.155562,0.120345,0.206289,1.4e-05,0.200579,0.045045,0.369857,1
11,2023-02-06T14:13:38.000000000,2023-02-06T14:14:36.000000000,0.0,0.253153,0.0,0.310843,0.0,0.695254,0.929852,0.288085,0.954595,0.688499,0.0,0.509653,0.954595,0.688499,0.205525,0.12453,0.213297,0.114179,0.333333,0.384375,0.474959,0.281602,0.586468,0.174399,0.254881,0.089451,0.586468,0.174399,0.211666,0.746972,0.2869,0.217814,0.666667,0.733239,0.771073,0.134132,0.894337,0.44597,0.203813,0.162574,0.894337,0.44597,0.09343,0.144578,0.132896,0.186477,0.333333,0.726882,0.881286,0.604719,0.927813,0.150319,0.343034,0.237431,0.927813,0.150319,0.393474,0.478452,0.342965,0.795681,0.333333,0.392093,0.890153,0.903215,0.830449,0.948968,0.478744,0.738703,0.830307,0.948752,0.029792,0.186857,0.034039,0.418463,0.333333,0.396303,0.16834,0.14755,0.136656,0.299416,0.035019,0.019251,0.13665,0.299027,0.549784,0.26037,0.520497,0.263714,0.333333,0.679461,0.849497,0.903542,0.733439,0.786655,0.765888,0.25779,0.733152,0.780408,0.014437,0.266417,0.014243,0.263236,0.333333,0.620292,0.147002,0.13079,0.120727,0.313212,0.023811,0.130594,0.120721,0.313057,3.1e-05,0.258719,2.3e-05,0.258938,0.333333,0.701028,0.012224,0.113716,0.102669,0.211666,8.7e-05,0.160698,0.025857,0.323279,1
12,2023-02-06T14:14:08.000000000,2023-02-06T14:15:06.000000000,0.0,0.182001,0.0,0.217502,0.0,0.698474,0.929852,0.320847,0.954595,0.779276,0.0,0.444237,0.954595,0.779276,2.4e-05,0.166135,3.3e-05,0.153855,1.0,0.27721,0.59287,0.28198,0.776461,0.338468,8.1e-05,0.07656,0.776461,0.338468,0.001681,0.747845,0.001593,0.150384,1.0,0.571687,0.713553,0.174249,0.89101,0.637678,0.005274,0.069134,0.89101,0.637678,0.000378,0.193529,0.000321,0.231967,1.0,0.63217,0.791477,0.513097,0.892192,0.21267,0.001222,0.265245,0.892192,0.21267,3e-06,0.318585,3e-06,0.751541,1.0,0.239092,0.999362,0.934362,0.999368,0.990783,5e-06,0.720082,0.999368,0.990504,1e-06,0.175891,1e-06,0.394046,1.0,0.411747,0.178421,0.189572,0.179971,0.290142,1e-06,0.116455,0.179965,0.289767,7.1e-05,0.132937,8.2e-05,0.081375,1.0,0.321292,0.997674,0.928238,0.997887,0.923331,0.000216,0.124639,0.997884,0.921259,1e-05,0.244956,1.2e-05,0.241658,1.0,0.652636,0.187991,0.172727,0.195636,0.308732,1.4e-05,0.193228,0.195631,0.308438,0.0,0.223603,0.0,0.222706,1.0,0.644105,0.000458,0.07048,0.078673,0.228078,0.0,0.108467,0.000552,0.295409,1
13,2023-02-06T14:14:38.000000000,2023-02-06T14:15:36.000000000,0.0,0.214274,0.0,0.26175,0.0,0.682799,0.929852,0.280916,0.954595,0.750935,0.0,0.426185,0.954595,0.750935,0.0,0.215235,0.0,0.188003,0.0,0.238526,0.592038,0.286329,0.775696,0.323347,0.0,0.163818,0.775696,0.323347,1e-06,0.747025,1e-06,0.235852,1.0,0.285162,0.718871,0.252045,0.897106,0.673909,9e-06,0.087069,0.897106,0.673909,0.0,0.164407,0.0,0.194337,1.0,0.338139,0.789621,0.584149,0.890824,0.276187,3e-06,0.255024,0.890824,0.276187,0.0,0.379609,0.0,0.786171,0.0,0.2888,0.999023,0.87592,0.99903,0.978428,0.0,0.694172,0.999029,0.976039,0.0,0.120189,0.0,0.343353,0.333333,0.329777,0.178617,0.146975,0.180169,0.225615,0.0,0.060488,0.180164,0.22508,0.0,0.29525,0.0,0.294948,0.0,0.424175,0.996682,0.900765,0.996921,0.95485,1e-06,0.149251,0.996918,0.953243,0.0,0.19179,0.0,0.183718,0.333333,0.536478,0.188249,0.122053,0.195918,0.264349,0.0,0.129187,0.195913,0.263787,0.0,0.262582,0.0,0.261618,1.0,0.587088,2.3e-05,0.085064,0.078833,0.149578,0.0,0.128625,2.1e-05,0.311988,1
14,2023-02-06T14:15:08.000000000,2023-02-06T14:16:06.000000000,0.0,0.214199,0.0,0.243246,0.0,0.695078,0.929852,0.226751,0.954595,0.649213,0.0,0.40339,0.954595,0.649213,0.0,0.228763,0.0,0.233457,0.333333,0.443373,0.591712,0.412317,0.775389,0.241289,1e-06,0.117736,0.775389,0.241289,0.0,0.748458,0.0,0.218713,0.0,0.331772,0.719205,0.233295,0.897409,0.448119,0.0,0.118637,0.897409,0.448119,0.0,0.0,0.0,0.025977,0.0,0.374134,0.789526,0.66987,0.890748,0.186869,0.0,0.256216,0.890748,0.186869,0.0,0.548536,0.0,0.78493,0.0,0.369057,0.999166,0.838037,0.999172,0.797908,0.0,0.753382,0.999172,0.795112,0.0,0.122108,0.0,0.308792,0.0,0.303572,0.178621,0.168371,0.180172,0.237378,0.0,0.106571,0.180167,0.236988,0.0,0.253183,0.0,0.241924,0.333333,0.603665,0.996917,0.829007,0.997156,0.788198,5e-06,0.303078,0.997153,0.78214,0.0,0.154781,0.0,0.151818,0.0,0.469124,0.188243,0.140455,0.195913,0.23919,0.0,0.170714,0.195907,0.238918,0.0,0.323668,0.0,0.324742,0.0,0.608766,1e-06,0.164286,0.078851,0.18289,0.0,0.224671,1e-06,0.348819,1
15,2023-02-06T14:15:38.000000000,2023-02-06T14:16:36.000000000,0.0,0.278892,0.0,0.316223,0.0,0.696366,0.929852,0.18012,0.954595,0.645422,0.0,0.49,0.954595,0.645422,3.7e-05,0.389131,4.7e-05,0.3838,1.0,0.485342,0.590135,0.514195,0.773687,0.315499,0.000823,0.473127,0.773687,0.315499,0.0,0.738509,0.0,0.190907,0.0,0.617903,0.719205,0.201456,0.897409,0.284121,0.0,0.184827,0.897409,0.284121,0.0,0.176412,0.0,0.162126,0.0,0.791804,0.789526,0.595144,0.890748,0.106613,0.0,0.266105,0.890748,0.106613,4e-06,0.512965,4e-06,0.829615,1.0,0.338289,1.0,0.745402,1.0,0.568987,5.7e-05,0.911554,1.0,0.564896,0.0,0.105545,1e-06,0.315969,1.0,0.298154,0.1788,0.134869,0.180348,0.169398,6e-06,0.097523,0.180343,0.168941,0.000108,0.470575,0.00012,0.402348,1.0,0.450103,1.0,0.574105,1.0,0.544304,0.001964,0.699504,1.0,0.531008,0.0,0.173931,0.0,0.164307,1.0,0.471701,0.188432,0.10501,0.196104,0.176433,6e-06,0.150085,0.196099,0.175936,0.0,0.272606,0.0,0.271232,1.0,0.581388,1.3e-05,0.113204,0.078851,0.265977,0.0,0.130468,1.5e-05,0.347755,1
16,2023-02-06T14:16:08.000000000,2023-02-06T14:17:06.000000000,0.0,0.231826,0.0,0.291257,0.0,0.800324,0.929852,0.172326,0.954595,0.70129,0.0,0.441195,0.954595,0.70129,0.228788,0.645976,0.25705,0.6198,0.333333,0.326735,0.845593,0.535458,0.960068,0.448383,0.260101,0.77098,0.960068,0.448383,0.0,0.782198,1e-06,0.313221,1.0,0.833183,0.720049,0.243372,0.898145,0.361394,9.2e-05,0.227936,0.898145,0.361394,2e-06,0.16799,2e-06,0.179875,1.0,0.925749,0.789904,0.514031,0.891044,0.144295,9.3e-05,0.24268,0.891044,0.144295,0.502769,0.739916,0.377495,0.941881,0.333333,0.257731,0.766346,0.525325,0.621566,0.519996,0.936085,1.0,0.621248,0.514566,0.001737,0.205439,0.002483,0.413117,0.333333,0.244704,0.152234,0.230627,0.132018,0.201308,0.021206,0.17857,0.132012,0.200603,0.559413,0.807816,0.530644,0.769886,0.333333,0.191565,0.722834,0.397342,0.531421,0.382808,1.0,0.835125,0.530917,0.361653,0.001595,0.293783,0.002265,0.286766,0.333333,0.401325,0.160443,0.186973,0.143547,0.218512,0.019619,0.264573,0.143541,0.217757,0.0,0.178772,0.0,0.177483,0.333333,0.406174,0.000667,0.072229,0.079648,0.163242,0.0,0.088995,0.000864,0.30279,0
17,2023-02-06T14:16:38.000000000,2023-02-06T14:17:36.000000000,0.0,0.25792,0.0,0.316079,0.333333,0.89171,0.929885,0.256022,0.954618,0.704748,3e-06,0.391633,0.954618,0.704748,0.307768,0.695396,0.325648,0.728991,0.333333,0.184328,0.745468,0.529138,0.745123,0.441062,0.718154,0.901341,0.745123,0.441062,0.001094,0.848649,0.000998,0.367057,1.0,0.675139,0.675313,0.320147,0.833618,0.558717,0.093187,0.476835,0.833618,0.558717,0.002068,0.292465,0.001727,0.30226,1.0,0.727797,0.788057,0.601253,0.877961,0.203067,0.100128,0.45383,0.877961,0.203067,0.262677,1.0,0.265118,1.0,0.333333,0.255683,0.537061,0.365468,0.360691,0.41146,0.737955,0.938794,0.360154,0.402973,0.025479,0.247467,0.025478,0.426262,0.333333,0.232792,0.097766,0.595233,0.059492,0.374256,0.021326,0.445045,0.059486,0.373825,0.009366,0.8592,0.011724,0.829358,0.0,0.36839,0.391266,0.358657,0.168136,0.325677,0.519761,0.587835,0.167241,0.3031,0.023398,0.285971,0.023349,0.290981,0.333333,0.347431,0.097057,0.531381,0.058535,0.339982,0.018272,0.532527,0.058528,0.339685,0.0,0.331672,0.0,0.331734,0.333333,0.358888,0.001633,0.172651,0.081819,0.168631,2e-06,0.206823,0.003221,0.373059,0
18,2023-02-06T14:17:08.000000000,2023-02-06T14:18:06.000000000,0.000114,0.373788,0.00013,0.461364,1.0,0.886409,0.92988,0.356764,0.954418,0.707925,0.001603,0.575365,0.954418,0.707925,0.488934,0.473491,0.545973,0.534641,0.333333,0.223061,0.789547,0.487759,0.778614,0.232469,0.779907,0.75784,0.778614,0.232469,0.246321,0.865092,0.27477,0.415454,0.666667,0.445038,0.756074,0.407609,0.853315,0.708601,0.308925,0.594648,0.853315,0.708601,0.20324,0.627871,0.25107,0.55397,0.666667,0.455955,0.708627,0.851625,0.784756,0.194592,0.321851,0.581573,0.784756,0.194592,0.935511,0.915141,0.728482,0.965445,0.333333,0.272033,0.591073,0.523078,0.422632,0.301814,0.79577,0.843117,0.422147,0.29314,0.019361,0.349679,0.027583,0.631054,0.333333,0.267021,0.385345,0.711578,0.183603,0.379822,0.404617,0.546017,0.183598,0.379465,0.935007,0.567141,0.931162,0.555832,0.333333,0.295764,0.426937,0.288,0.202266,0.30146,0.588696,0.456331,0.201409,0.279071,0.009074,0.544784,0.014348,0.543335,0.333333,0.41709,0.361802,0.676701,0.153134,0.357793,0.319027,0.602999,0.153128,0.357424,1e-06,0.251217,1e-06,0.249855,0.333333,0.439497,0.005616,0.119507,0.091574,0.240096,1.3e-05,0.122755,0.013811,0.361577,0
19,2023-02-06T14:17:38.000000000,2023-02-06T14:18:36.000000000,0.272447,0.28613,0.401886,0.380364,0.666667,0.847971,0.950637,0.340595,0.9548,0.733358,0.123843,0.527437,0.9548,0.733358,0.22657,0.395882,0.235331,0.296213,0.333333,0.237545,0.857673,0.401784,0.93621,0.140657,0.424776,0.555716,0.93621,0.140657,0.437605,0.850353,0.427431,0.440458,0.666667,0.505296,0.915169,0.460664,0.96003,0.731664,0.506906,0.487274,0.96003,0.731664,0.291608,0.618479,0.268993,0.527273,0.333333,0.439458,0.939249,0.95346,0.942159,0.197275,0.660238,0.531372,0.942159,0.197275,0.452232,0.721219,0.388646,0.886514,0.333333,0.199691,0.38777,0.696859,0.19944,0.561202,0.515404,0.855885,0.198768,0.557578,0.720543,0.42146,0.685668,0.74823,0.333333,0.25511,0.714449,0.523253,0.546183,0.336396,0.761902,0.448141,0.54618,0.335907,0.033615,0.262082,0.038699,0.265705,0.0,0.202126,0.221633,0.42112,0.069971,0.425249,0.184283,0.708501,0.068971,0.404793,0.58765,0.652655,0.620258,0.653373,0.333333,0.420236,0.70865,0.515926,0.508438,0.350439,0.769479,0.480088,0.508435,0.349894,1e-06,0.208763,1e-06,0.208197,0.333333,0.3476,0.01115,0.101117,0.108759,0.205803,1.4e-05,0.120809,0.032468,0.32535,0
20,2023-02-06T14:18:08.000000000,2023-02-06T14:19:06.000000000,0.135378,0.239525,0.239429,0.274472,0.333333,0.858508,0.950401,0.225164,0.954812,0.705929,0.122317,0.477395,0.954812,0.705929,0.300629,0.459753,0.384231,0.429624,0.333333,0.204492,0.476768,0.374843,0.587632,0.274687,0.257113,0.43397,0.587632,0.274687,0.27007,0.812532,0.284966,0.354947,0.666667,0.640454,0.949489,0.406408,0.974337,0.669931,0.591725,0.328393,0.974337,0.669931,0.583386,0.299626,0.435586,0.342387,0.333333,0.631285,0.973335,0.777949,0.997043,0.260303,0.4192,0.400135,0.997043,0.260303,0.637845,0.697948,0.463814,0.833555,0.333333,0.195877,0.655253,0.712266,0.469464,0.671074,0.973465,0.909423,0.469019,0.667343,0.558613,0.274518,0.523778,0.517546,0.333333,0.25478,0.610689,0.298467,0.433022,0.290622,0.661653,0.232622,0.433018,0.290325,0.327766,0.41259,0.320983,0.417201,0.333333,0.472448,0.597923,0.665707,0.371234,0.513822,0.914906,0.880281,0.370558,0.497474,0.771493,0.410035,0.736592,0.407158,0.333333,0.384231,0.618273,0.278977,0.424516,0.284115,0.630385,0.301166,0.424512,0.283895,1e-06,0.270508,1e-06,0.269319,0.333333,0.32907,0.014961,0.117243,0.117789,0.238525,3.8e-05,0.131334,0.042271,0.350343,1
21,2023-02-06T14:18:38.000000000,2023-02-06T14:19:36.000000000,5.5e-05,0.250983,6.1e-05,0.309658,1.0,0.847328,0.929554,0.188343,0.954365,0.670628,7.4e-05,0.474575,0.954365,0.670628,0.059569,0.41769,0.079442,0.482343,0.333333,0.238418,0.716654,0.535729,0.77556,0.390828,0.482946,0.482671,0.77556,0.390828,0.389346,0.76817,0.447633,0.310381,0.666667,0.635561,0.837958,0.288106,0.934405,0.597312,0.299064,0.263191,0.934405,0.597312,0.032979,0.320296,0.047835,0.396576,0.666667,0.650453,0.746036,0.532023,0.848752,0.274044,0.055772,0.30956,0.848752,0.274044,0.030234,0.774412,0.037564,0.862688,0.0,0.279924,0.928495,0.579318,0.912688,0.525879,0.135982,0.91274,0.912615,0.518392,0.019212,0.019733,0.017901,0.222929,0.333333,0.278699,0.15683,0.0448,0.142903,0.108813,0.015871,0.231397,0.142897,0.108698,0.148113,0.439436,0.181292,0.440005,0.333333,0.441611,0.845283,0.631925,0.729959,0.467509,0.757376,0.723451,0.729669,0.450832,0.018578,0.021888,0.017218,0.017261,0.333333,0.43218,0.165575,0.007775,0.154494,0.093504,0.015709,0.204229,0.154488,0.093311,3e-05,0.17326,2.3e-05,0.172138,0.333333,0.438184,0.011358,0.052042,0.098801,0.223694,8.7e-05,0.081238,0.021657,0.287648,0
22,2023-02-06T14:19:08.000000000,2023-02-06T14:20:06.000000000,0.0,0.132257,0.0,0.163027,0.0,0.747585,0.929852,0.280848,0.954595,0.707982,0.0,0.37381,0.954595,0.707982,0.360048,0.472117,0.392523,0.539641,0.333333,0.265779,0.842926,0.631867,0.955699,0.336285,0.268065,0.66457,0.955699,0.336285,0.0003,0.834485,0.000289,0.509205,1.0,0.522467,0.722922,0.24896,0.900248,0.5286,0.002021,0.488941,0.900248,0.5286,0.081483,0.331581,0.085743,0.359842,0.666667,0.508775,0.840612,0.411958,0.926211,0.185893,0.054483,0.264356,0.926211,0.185893,0.626407,0.750227,0.516343,0.911941,0.333333,0.277038,0.662224,0.451344,0.473153,0.287905,1.0,0.873189,0.472711,0.278906,0.024609,0.260429,0.023362,0.500329,0.333333,0.261312,0.135483,0.259609,0.105354,0.27609,0.02612,0.381555,0.105348,0.275724,0.402039,0.48984,0.424947,0.507245,0.333333,0.280496,0.597803,0.283502,0.36665,0.347426,0.928343,0.461385,0.365969,0.325323,0.025495,0.377962,0.024775,0.36577,0.333333,0.428081,0.140675,0.232901,0.110773,0.26076,0.024708,0.357181,0.110767,0.26045,0.0,0.342767,0.0,0.343293,0.333333,0.4212,0.000785,0.154049,0.07985,0.152215,1e-06,0.214067,0.001084,0.345676,0
23,2023-02-06T14:19:38.000000000,2023-02-06T14:20:36.000000000,8e-06,0.28198,9e-06,0.310615,1.0,0.792417,0.930175,0.353525,0.954824,0.745343,7.4e-05,0.547952,0.954824,0.745343,0.238776,0.49836,0.345885,0.617206,0.333333,0.243771,0.759958,0.444133,0.797341,0.209285,0.579002,0.722271,0.797341,0.209285,0.042235,0.948933,0.060155,0.60008,0.333333,0.493814,0.808894,0.401833,0.893564,0.495825,0.351642,0.818111,0.893564,0.495825,0.014944,0.278885,0.01792,0.33221,0.333333,0.371051,0.838068,0.555928,0.920945,0.09316,0.083021,0.390443,0.920945,0.09316,0.369843,0.612192,0.287265,0.911495,0.333333,0.257193,0.391022,0.381176,0.263996,0.358705,0.388359,0.835044,0.263378,0.351387,0.010422,0.384823,0.01403,0.579614,0.333333,0.244195,0.07337,0.591945,0.031008,0.584912,0.015568,0.443278,0.031002,0.584542,0.101058,0.533306,0.10274,0.592082,0.333333,0.505098,0.297562,0.140036,0.140166,0.35439,0.287286,0.390156,0.139242,0.333415,0.008356,0.562302,0.010255,0.532966,0.333333,0.370107,0.07183,0.526702,0.032358,0.535686,0.012245,0.663685,0.032351,0.535696,0.0,0.318217,0.0,0.318018,0.333333,0.401171,0.002618,0.150817,0.08387,0.207143,4e-06,0.182347,0.005448,0.372113,0
24,2023-02-06T14:20:08.000000000,2023-02-06T14:21:06.000000000,0.007666,0.351107,0.013565,0.437445,0.333333,0.881508,0.94982,0.358392,0.954377,0.729045,0.122317,0.542115,0.954377,0.729045,0.336395,0.419187,0.376263,0.436487,0.333333,0.239561,0.694786,0.183493,0.750597,0.199052,0.489153,0.520988,0.750597,0.199052,0.539998,0.974974,0.721056,0.574774,0.666667,0.543399,0.862444,0.557805,0.856651,0.592911,0.709291,0.769081,0.856651,0.592911,0.338245,0.339014,0.396334,0.381245,0.333333,0.354513,0.659579,0.722557,0.743286,0.093863,0.320902,0.432071,0.743286,0.093863,0.425762,0.536965,0.421823,0.85501,0.333333,0.302581,0.387264,0.412032,0.25452,0.413555,0.397569,0.817383,0.253894,0.405952,0.809567,0.438189,0.734571,0.576751,0.333333,0.258185,0.670933,0.693498,0.473425,0.569738,0.806202,0.454616,0.473422,0.569173,0.361313,0.327811,0.431724,0.339233,0.333333,0.677375,0.297423,0.367399,0.143594,0.405664,0.282925,0.421942,0.142673,0.386926,0.638179,0.691841,0.622845,0.634315,0.333333,0.407472,0.669069,0.603478,0.461136,0.549117,0.733891,0.712619,0.461132,0.548819,1e-06,0.23363,1e-06,0.233328,0.333333,0.438465,0.007157,0.107872,0.096409,0.212989,1.4e-05,0.138758,0.019061,0.329032,0
25,2023-02-06T14:20:38.000000000,2023-02-06T14:21:36.000000000,0.351239,0.260619,0.540904,0.357512,0.666667,0.949121,0.950087,0.318496,0.954389,0.716029,0.123843,0.437303,0.954389,0.716029,0.124687,0.470579,0.130854,0.400485,0.333333,0.248596,0.505276,0.228586,0.624904,0.249097,0.232652,0.281619,0.624904,0.249097,0.68254,0.885344,0.634483,0.473674,0.666667,0.673115,0.966281,0.456718,0.931052,0.809374,0.847459,0.484017,0.931052,0.809374,0.31886,0.254025,0.352614,0.272885,0.333333,0.553781,0.795899,0.693412,0.828844,0.214702,0.567743,0.348536,0.828844,0.214702,0.045507,0.645295,0.045599,0.82477,0.333333,0.294877,0.346573,0.485155,0.195864,0.384339,0.381308,0.826049,0.195189,0.377714,0.656457,0.42014,0.571808,0.662028,0.333333,0.253758,0.72164,0.45245,0.574654,0.334105,0.68811,0.348803,0.574651,0.333448,0.000742,0.426233,0.001089,0.318611,1.0,0.621473,0.303915,0.394325,0.146505,0.403278,0.295654,0.510722,0.145587,0.382423,0.917582,0.63253,0.878588,0.652011,0.333333,0.421883,0.701592,0.408253,0.526912,0.35239,0.688844,0.448421,0.526909,0.351631,1e-06,0.30434,1e-06,0.303603,0.333333,0.354611,0.012756,0.14411,0.113595,0.19993,1.4e-05,0.165439,0.037718,0.363695,1
26,2023-02-06T14:21:08.000000000,2023-02-06T14:22:06.000000000,0.000711,0.21477,0.00073,0.293689,1.0,0.889524,0.930359,0.232093,0.954772,0.705028,0.001603,0.489888,0.954772,0.705028,0.222048,0.425992,0.299213,0.531095,0.333333,0.233292,0.496433,0.478357,0.618257,0.2877,0.224831,0.287309,0.618257,0.2877,0.349688,0.74682,0.587812,0.173055,0.666667,0.714564,0.925274,0.280059,0.973687,0.867444,0.491096,0.137027,0.973687,0.867444,0.070624,0.123881,0.074389,0.135967,0.333333,0.860617,0.906252,0.566898,0.966441,0.279023,0.179844,0.313388,0.966441,0.279023,0.346667,0.664808,0.282131,0.847913,0.333333,0.259677,0.602763,0.436359,0.540553,0.382955,0.332639,0.828291,0.540167,0.377026,0.146034,0.248491,0.186737,0.600017,0.333333,0.253369,0.298637,0.238014,0.205985,0.138685,0.166539,0.0,0.20598,0.137937,0.259536,0.484384,0.246434,0.459527,0.333333,0.450231,0.58087,0.344001,0.491027,0.40415,0.402717,0.527327,0.490479,0.384292,0.059214,0.299968,0.079986,0.350529,0.333333,0.37702,0.255924,0.251228,0.183524,0.193379,0.100458,0.0,0.183518,0.19241,2.9e-05,0.201601,2e-05,0.2005,0.333333,0.328757,0.010913,0.08629,0.100794,0.210976,6.5e-05,0.10338,0.023821,0.320413,1
