timestamp,i3_photoresistor_baseband,i3_photoresistor_fm_demodulated,current_state_binary
2023-02-06 14:08:10,0.018089,0.823162,1.0
2023-02-06 14:08:12,0.017886,0.652413,1.0
2023-02-06 14:08:14,0.017739,0.701442,1.0
2023-02-06 14:08:16,0.017924,0.735358,1.0
2023-02-06 14:08:18,0.0183,0.694975,1.0
2023-02-06 14:08:20,0.018297,0.720078,1.0
2023-02-06 14:08:22,0.017672,0.692098,1.0
2023-02-06 14:08:24,0.017185,0.707788,1.0
2023-02-06 14:08:26,0.017808,0.706701,1.0
2023-02-06 14:08:28,0.019051,0.688947,1.0
2023-02-06 14:08:30,0.01904,0.726114,1.0
2023-02-06 14:08:32,0.017162,0.704809,1.0
2023-02-06 14:08:34,0.015768,0.694586,1.0
2023-02-06 14:08:36,0.017479,0.705485,1.0
2023-02-06 14:08:38,0.020769,0.712192,1.0
2023-02-06 14:08:40,0.020738,0.717261,1.0
2023-02-06 14:08:42,0.015988,0.691048,1.0
2023-02-06 14:08:44,0.012506,0.716792,1.0
2023-02-06 14:08:46,0.016818,0.716541,1.0
2023-02-06 14:08:48,0.025252,0.694837,1.0
2023-02-06 14:08:50,0.025165,0.711942,1.0
2023-02-06 14:08:52,0.011456,0.687036,1.0
2023-02-06 14:08:54,0.0,0.713936,1.0
2023-02-06 14:08:56,0.017816,0.739715,1.0
2023-02-06 14:08:58,0.075583,0.732239,1.0
2023-02-06 14:09:00,0.151967,0.759844,1.0
2023-02-06 14:09:02,0.209563,0.761234,1.0
2023-02-06 14:09:04,0.227478,0.751088,1.0
2023-02-06 14:09:06,0.216638,0.76131,1.0
2023-02-06 14:09:08,0.2037,0.743803,1.0
2023-02-06 14:09:10,0.203998,0.758817,1.0
2023-02-06 14:09:12,0.212406,0.782463,1.0
2023-02-06 14:09:14,0.216763,0.753655,1.0
2023-02-06 14:09:16,0.213651,0.757602,1.0
2023-02-06 14:09:18,0.209066,0.778564,1.0
2023-02-06 14:09:20,0.208298,0.753833,1.0
2023-02-06 14:09:22,0.210135,0.757944,1.0
2023-02-06 14:09:24,0.21088,0.772981,1.0
2023-02-06 14:09:26,0.210007,0.752014,1.0
2023-02-06 14:09:28,0.209721,0.760491,1.0
2023-02-06 14:09:30,0.210854,0.767406,1.0
2023-02-06 14:09:32,0.21178,0.746436,1.0
2023-02-06 14:09:34,0.21122,0.755878,1.0
2023-02-06 14:09:36,0.21013,0.76187,1.0
2023-02-06 14:09:38,0.210103,0.759988,1.0
2023-02-06 14:09:40,0.211099,0.768226,1.0
2023-02-06 14:09:42,0.211773,0.755257,1.0
2023-02-06 14:09:44,0.211498,0.76043,1.0
2023-02-06 14:09:46,0.211059,0.770631,1.0
2023-02-06 14:09:48,0.211355,0.741399,1.0
2023-02-06 14:09:50,0.212204,0.749151,1.0
2023-02-06 14:09:52,0.212591,0.774015,1.0
2023-02-06 14:09:54,0.212478,0.757808,1.0
2023-02-06 14:09:56,0.212652,0.760114,1.0
2023-02-06 14:09:58,0.213602,0.766163,1.0
2023-02-06 14:10:00,0.214725,0.744393,1.0
2023-02-06 14:10:02,0.214908,0.766825,1.0
2023-02-06 14:10:04,0.213815,0.778137,1.0
2023-02-06 14:10:06,0.212359,0.743276,1.0
2023-02-06 14:10:08,0.211782,0.750786,1.0
2023-02-06 14:10:10,0.21244,0.775814,1.0
2023-02-06 14:10:12,0.213589,0.762992,1.0
2023-02-06 14:10:14,0.214258,0.756386,1.0
2023-02-06 14:10:16,0.214193,0.760573,1.0
2023-02-06 14:10:18,0.213882,0.755619,1.0
2023-02-06 14:10:20,0.213908,0.7608,1.0
2023-02-06 14:10:22,0.214382,0.770523,1.0
2023-02-06 14:10:24,0.214986,0.772799,1.0
2023-02-06 14:10:26,0.21534,0.765914,1.0
2023-02-06 14:10:28,0.215259,0.756884,1.0
2023-02-06 14:10:30,0.214773,0.762513,1.0
2023-02-06 14:10:32,0.214003,0.762957,1.0
2023-02-06 14:10:34,0.213119,0.751178,1.0
2023-02-06 14:10:36,0.212324,0.757228,1.0
2023-02-06 14:10:38,0.211813,0.765214,1.0
2023-02-06 14:10:40,0.211693,0.754509,1.0
2023-02-06 14:10:42,0.211938,0.751984,1.0
2023-02-06 14:10:44,0.212367,0.763525,1.0
2023-02-06 14:10:46,0.21268,0.764607,1.0
2023-02-06 14:10:48,0.212571,0.752938,1.0
2023-02-06 14:10:50,0.211937,0.752413,1.0
2023-02-06 14:10:52,0.211062,0.769356,1.0
2023-02-06 14:10:54,0.210492,0.769155,1.0
2023-02-06 14:10:56,0.210586,0.751089,1.0
2023-02-06 14:10:58,0.211089,0.756994,1.0
2023-02-06 14:11:00,0.211307,0.769757,1.0
2023-02-06 14:11:02,0.210744,0.762602,1.0
2023-02-06 14:11:04,0.209625,0.756117,1.0
2023-02-06 14:11:06,0.208722,0.760856,1.0
2023-02-06 14:11:08,0.208632,0.764841,1.0
2023-02-06 14:11:10,0.209207,0.763045,1.0
2023-02-06 14:11:12,0.20983,0.752774,1.0
2023-02-06 14:11:14,0.210092,0.748482,1.0
2023-02-06 14:11:16,0.210122,0.757606,1.0
2023-02-06 14:11:18,0.210245,0.759205,1.0
2023-02-06 14:11:20,0.21049,0.752509,1.0
2023-02-06 14:11:22,0.210575,0.756495,1.0
2023-02-06 14:11:24,0.210322,0.770312,1.0
2023-02-06 14:11:26,0.209891,0.776177,1.0
2023-02-06 14:11:28,0.209481,0.760881,1.0
2023-02-06 14:11:30,0.208983,0.743016,1.0
2023-02-06 14:11:32,0.208143,0.759578,1.0
2023-02-06 14:11:34,0.207028,0.770393,1.0
2023-02-06 14:11:36,0.206009,0.74977,1.0
2023-02-06 14:11:38,0.205149,0.753004,1.0
2023-02-06 14:11:40,0.20393,0.77535,1.0
2023-02-06 14:11:42,0.20199,0.753544,1.0
2023-02-06 14:11:44,0.200026,0.733852,1.0
2023-02-06 14:11:46,0.199436,0.765081,1.0
2023-02-06 14:11:48,0.2005,0.769889,1.0
2023-02-06 14:11:50,0.201164,0.753408,1.0
2023-02-06 14:11:52,0.198394,0.757132,1.0
2023-02-06 14:11:54,0.191131,0.751178,1.0
2023-02-06 14:11:56,0.181916,0.743642,1.0
2023-02-06 14:11:58,0.17501,0.758292,1.0
2023-02-06 14:12:00,0.172705,0.750892,1.0
2023-02-06 14:12:02,0.173518,0.744291,1.0
2023-02-06 14:12:04,0.174108,0.7589,1.0
2023-02-06 14:12:06,0.17271,0.748098,1.0
2023-02-06 14:12:08,0.170443,0.731181,1.0
2023-02-06 14:12:10,0.169384,0.747063,1.0
2023-02-06 14:12:12,0.169945,0.756049,1.0
2023-02-06 14:12:14,0.170491,0.749085,1.0
2023-02-06 14:12:16,0.169421,0.741936,1.0
2023-02-06 14:12:18,0.167179,0.753324,1.0
2023-02-06 14:12:20,0.165686,0.765417,1.0
2023-02-06 14:12:22,0.165923,0.745029,1.0
2023-02-06 14:12:24,0.166593,0.733808,1.0
2023-02-06 14:12:26,0.165607,0.750053,1.0
2023-02-06 14:12:28,0.162755,0.739359,1.0
2023-02-06 14:12:30,0.160264,0.742937,1.0
2023-02-06 14:12:32,0.160173,0.758401,1.0
2023-02-06 14:12:34,0.161279,0.734398,1.0
2023-02-06 14:12:36,0.159568,0.728326,1.0
2023-02-06 14:12:38,0.152457,0.745419,1.0
2023-02-06 14:12:40,0.142355,0.733819,1.0
2023-02-06 14:12:42,0.135068,0.747515,1.0
2023-02-06 14:12:44,0.134015,0.753562,1.0
2023-02-06 14:12:46,0.13662,0.724995,1.0
2023-02-06 14:12:48,0.137359,0.737926,1.0
2023-02-06 14:12:50,0.134342,0.745056,1.0
2023-02-06 14:12:52,0.131856,0.726999,1.0
2023-02-06 14:12:54,0.135401,0.748384,1.0
2023-02-06 14:12:56,0.144702,0.757506,1.0
2023-02-06 14:12:58,0.152866,0.738955,1.0
2023-02-06 14:13:00,0.153027,0.737748,1.0
2023-02-06 14:13:02,0.145225,0.745576,1.0
2023-02-06 14:13:04,0.135936,0.741404,1.0
2023-02-06 14:13:06,0.131365,0.733196,1.0
2023-02-06 14:13:08,0.132005,0.737204,1.0
2023-02-06 14:13:10,0.133857,0.748328,1.0
2023-02-06 14:13:12,0.133634,0.739812,1.0
2023-02-06 14:13:14,0.131652,0.731438,1.0
2023-02-06 14:13:16,0.130027,0.744258,1.0
2023-02-06 14:13:18,0.129543,0.735101,1.0
2023-02-06 14:13:20,0.129179,0.720452,1.0
2023-02-06 14:13:22,0.128026,0.74477,1.0
2023-02-06 14:13:24,0.126589,0.74693,1.0
2023-02-06 14:13:26,0.126027,0.722047,1.0
2023-02-06 14:13:28,0.126666,0.74233,1.0
2023-02-06 14:13:30,0.127641,0.749531,1.0
2023-02-06 14:13:32,0.127756,0.708854,1.0
2023-02-06 14:13:34,0.126363,0.730041,1.0
2023-02-06 14:13:36,0.123844,0.754031,1.0
2023-02-06 14:13:38,0.121538,0.7198,1.0
2023-02-06 14:13:40,0.120887,0.729766,1.0
2023-02-06 14:13:42,0.12196,0.754259,1.0
2023-02-06 14:13:44,0.122619,0.727797,1.0
2023-02-06 14:13:46,0.119802,0.726154,1.0
2023-02-06 14:13:48,0.112341,0.740659,1.0
2023-02-06 14:13:50,0.10254,0.722672,1.0
2023-02-06 14:13:52,0.094623,0.718552,1.0
2023-02-06 14:13:54,0.091282,0.721796,1.0
2023-02-06 14:13:56,0.091654,0.719873,1.0
2023-02-06 14:13:58,0.092873,0.724447,1.0
2023-02-06 14:14:00,0.092909,0.729074,1.0
2023-02-06 14:14:02,0.091784,0.741935,1.0
2023-02-06 14:14:04,0.090496,0.736915,1.0
2023-02-06 14:14:06,0.089526,0.726221,1.0
2023-02-06 14:14:08,0.088729,0.73385,1.0
2023-02-06 14:14:10,0.088105,0.713961,1.0
2023-02-06 14:14:12,0.087853,0.710065,1.0
2023-02-06 14:14:14,0.087733,0.735168,1.0
2023-02-06 14:14:16,0.087074,0.720605,1.0
2023-02-06 14:14:18,0.08559,0.714501,1.0
2023-02-06 14:14:20,0.084024,0.729285,1.0
2023-02-06 14:14:22,0.083369,0.727717,1.0
2023-02-06 14:14:24,0.083567,0.738007,1.0
2023-02-06 14:14:26,0.083579,0.739689,1.0
2023-02-06 14:14:28,0.082838,0.724643,1.0
2023-02-06 14:14:30,0.082056,0.717089,1.0
2023-02-06 14:14:32,0.08215,0.705459,1.0
2023-02-06 14:14:34,0.08266,0.718394,1.0
2023-02-06 14:14:36,0.081914,0.73968,1.0
2023-02-06 14:14:38,0.078942,0.728303,1.0
2023-02-06 14:14:40,0.07489,0.708825,1.0
2023-02-06 14:14:42,0.072245,0.714171,1.0
2023-02-06 14:14:44,0.072675,0.728627,1.0
2023-02-06 14:14:46,0.07576,0.72278,1.0
2023-02-06 14:14:48,0.079432,0.713656,1.0
2023-02-06 14:14:50,0.081408,0.732072,1.0
2023-02-06 14:14:52,0.080349,0.725296,1.0
2023-02-06 14:14:54,0.076496,0.706874,1.0
2023-02-06 14:14:56,0.071527,0.732178,1.0
2023-02-06 14:14:58,0.067562,0.727775,1.0
2023-02-06 14:15:00,0.06564,0.697288,1.0
2023-02-06 14:15:02,0.064934,0.719636,1.0
2023-02-06 14:15:04,0.063661,0.723585,1.0
2023-02-06 14:15:06,0.060903,0.707912,1.0
2023-02-06 14:15:08,0.057458,0.731116,1.0
2023-02-06 14:15:10,0.054821,0.734026,1.0
2023-02-06 14:15:12,0.053551,0.706542,1.0
2023-02-06 14:15:14,0.052893,0.712041,1.0
2023-02-06 14:15:16,0.051892,0.727591,1.0
2023-02-06 14:15:18,0.050502,0.713988,1.0
2023-02-06 14:15:20,0.049521,0.70686,1.0
2023-02-06 14:15:22,0.049495,0.721335,1.0
2023-02-06 14:15:24,0.049974,0.717285,1.0
2023-02-06 14:15:26,0.049875,0.70472,1.0
2023-02-06 14:15:28,0.048704,0.712237,1.0
2023-02-06 14:15:30,0.047182,0.712526,1.0
2023-02-06 14:15:32,0.046724,0.708274,1.0
2023-02-06 14:15:34,0.048074,0.722091,1.0
2023-02-06 14:15:36,0.05026,0.722719,1.0
2023-02-06 14:15:38,0.051328,0.708882,1.0
2023-02-06 14:15:40,0.050121,0.723258,1.0
2023-02-06 14:15:42,0.047467,0.731727,1.0
2023-02-06 14:15:44,0.045359,0.703527,1.0
2023-02-06 14:15:46,0.044895,0.702054,1.0
2023-02-06 14:15:48,0.045253,0.719977,1.0
2023-02-06 14:15:50,0.044872,0.709851,1.0
2023-02-06 14:15:52,0.043425,0.712702,1.0
2023-02-06 14:15:54,0.042273,0.707624,1.0
2023-02-06 14:15:56,0.042732,0.700064,1.0
2023-02-06 14:15:58,0.043837,0.722052,1.0
2023-02-06 14:16:00,0.042561,0.705159,1.0
2023-02-06 14:16:02,0.036687,0.705219,1.0
2023-02-06 14:16:04,0.027673,0.729381,1.0
