segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_original_bits,m1_speed_psd_peak_ask_recovered,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_original_bits,m1_speed_psd_mean_energy_ask_recovered,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_original_bits,m1_speed_psd_peak_freq_ask_recovered,m1_speed_rms_baseband,m1_speed_rms_original_bits,m1_speed_rms_ask_recovered,m1_speed_mean_baseband,m1_speed_mean_original_bits,m1_speed_mean_ask_recovered,m1_speed_variance_baseband,m1_speed_variance_original_bits,m1_speed_variance_ask_recovered,m1_speed_fft_peak_baseband,m1_speed_fft_peak_original_bits,m1_speed_fft_peak_ask_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_ask_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_ask_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_ask_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_ask_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_ask_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_ask_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_ask_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_ask_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_ask_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_ask_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_ask_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_ask_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_ask_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_ask_recovered,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.001638,0,0,0.001034,0,0,1.0,1,1,0.0,0,1,0.0,0,1,0.613478,1,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.699513,1,1,0.395961,0,0,0.333333,0,0,0.559359,1,1,0.533949,1,1,1.0,1,1,0.533949,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,0.000234,0,0,0.000144,0,0,1.0,1,0,0.814006,1,1,0.88973,1,1,0.000475,0,1,0.88973,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.0,0,0,0.0,0,0,0.333333,0,0,0.813973,1,1,0.889759,1,1,1e-06,0,0,0.889759,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.0,0,0,0.0,0,0,0.0,0,1,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,9e-06,0,0,0.005894,0,0,0.0,0,0,2e-06,0,0,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,1e-06,0,0,1e-06,0,0,1.0,1,1,0.814061,1,1,0.889821,1,1,5.8e-05,0,0,0.889821,1,1,0.0,0,0,0.0,0,0,0.333333,0,1,0.014115,0,1,0.083782,0,0,0.000215,0,0,0.015189,0,1,0.0,0,0,0.0,0,0,0.333333,0,1,0.00087,0,0,0.005729,0,0,2e-06,0,0,0.000298,0,0,0
10,2023-02-06T14:13:10.000000000,2023-02-06T14:14:08.000000000,0.001755,0,0,0.001143,0,0,1.0,1,1,0.77719,1,1,0.854191,1,1,0.05577,0,0,0.854191,1,1,0.002443,0,1,0.001807,0,1,1.0,1,1,0.54039,1,1,0.331602,0,1,0.31058,0,1,0.537737,1,1,3.6e-05,0,0,5.4e-05,0,0,1.0,1,1,0.216218,0,0,0.105354,0,1,0.092051,0,0,0.100048,0,1,0
11,2023-02-06T14:13:40.000000000,2023-02-06T14:14:38.000000000,0.174185,0,0,0.138147,0,0,0.333333,0,1,0.830569,1,1,0.888934,1,1,0.121618,0,0,0.888934,1,1,0.943055,1,1,0.966962,1,1,0.666667,1,1,1.0,1,1,0.911991,1,1,1.0,1,1,0.930721,1,1,0.255174,0,0,0.239307,0,0,0.333333,0,1,0.646556,1,1,0.539139,1,1,0.450707,0,0,0.536405,1,1,0
12,2023-02-06T14:14:10.000000000,2023-02-06T14:15:08.000000000,0.038287,0,0,0.041607,0,0,0.333333,0,0,0.866761,1,1,0.925138,1,1,0.05577,0,0,0.925138,1,1,0.067727,0,0,0.063567,0,0,0.0,0,1,0.841652,1,1,0.668398,1,1,0.727646,1,1,0.721352,1,1,0.359494,0,0,0.416315,0,0,0.333333,0,0,1.0,1,1,0.947529,1,1,0.685646,1,0,0.947217,1,1,1
13,2023-02-06T14:14:40.000000000,2023-02-06T14:15:38.000000000,3.9e-05,0,0,2.6e-05,0,0,1.0,1,0,0.814601,1,1,0.890239,1,1,0.000122,0,0,0.890239,1,1,4.1e-05,0,0,3.8e-05,0,0,1.0,1,0,0.014115,0,0,0.083782,0,0,0.000215,0,0,0.015189,0,0,0.783315,1,0,0.909473,1,0,0.333333,0,1,0.793146,1,0,0.514472,1,0,1.0,1,0,0.511592,1,0,1
14,2023-02-06T14:15:10.000000000,2023-02-06T14:16:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.000353,0,0,0.000377,0,0,1.0,1,1,0.019157,0,0,0.006306,0,0,0.00087,0,0,0.0088,0,0,1
15,2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.333333,0,0,0.000866,0,0,0.005744,0,0,2e-06,0,0,0.000252,0,0,1
16,2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
17,2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
