segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_fm_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_fm_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_fm_demodulated,m1_speed_rms_baseband,m1_speed_rms_fm_demodulated,m1_speed_mean_baseband,m1_speed_mean_fm_demodulated,m1_speed_variance_baseband,m1_speed_variance_fm_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_fm_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_fm_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_fm_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_fm_demodulated,m2_speed_rms_baseband,m2_speed_rms_fm_demodulated,m2_speed_mean_baseband,m2_speed_mean_fm_demodulated,m2_speed_variance_baseband,m2_speed_variance_fm_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_fm_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_fm_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_fm_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_fm_demodulated,m3_speed_rms_baseband,m3_speed_rms_fm_demodulated,m3_speed_mean_baseband,m3_speed_mean_fm_demodulated,m3_speed_variance_baseband,m3_speed_variance_fm_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_fm_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_fm_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_fm_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_fm_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_fm_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_fm_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_fm_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
10,2023-02-06T14:13:08.000000000,2023-02-06T14:14:06.000000000,0.0,0.381528,0.0,0.438421,0.0,0.585868,0.875147,0.86726,0.92606,0.119461,0.0,0.247359,0.92606,0.119461,0.0,0.65328,0.0,0.756533,0.0,0.653383,0.0,0.557699,0.03199,0.517409,0.0,0.446445,0.0,0.604472,0.0,0.252105,0.0,0.378052,0.0,0.834917,0.992017,0.617952,0.994875,0.645809,0.0,0.28539,0.994875,0.645809,0.00045,0.683735,0.000418,0.63694,1.0,0.549755,0.45221,0.755407,0.210143,0.64429,0.454717,0.79417,0.207507,0.644672,0.0,0.213451,0.0,0.231938,0.0,0.291429,0.0,0.360385,0.006772,0.39042,0.0,0.394786,0.0,0.36848,1
11,2023-02-06T14:13:38.000000000,2023-02-06T14:14:36.000000000,3e-06,0.515175,3e-06,0.720171,1.0,0.74123,0.874963,0.852746,0.925915,0.109991,3.8e-05,0.453966,0.925915,0.109991,1.5e-05,0.732293,1.5e-05,0.813431,1.0,0.66061,0.028204,0.85089,0.028917,1.0,0.000871,0.812493,0.034519,0.86886,2e-06,0.324008,3e-06,0.484389,1.0,0.826401,0.992967,0.570635,0.99555,0.615592,9e-05,0.562303,0.99555,0.615592,0.715466,0.901095,0.700753,0.775198,0.666667,0.382238,0.650206,0.893926,0.444339,0.859311,0.759007,0.962373,0.442485,0.843856,0.0,0.351096,0.0,0.372098,0.333333,0.384974,0.002427,0.688833,0.007001,0.771437,7e-06,0.651889,0.001882,0.718197,1
12,2023-02-06T14:14:08.000000000,2023-02-06T14:15:06.000000000,0.001151,0.421967,0.000981,0.705421,1.0,0.743732,0.908052,0.932962,0.927441,0.170666,0.200534,0.419865,0.927441,0.170666,0.015262,0.904859,0.010749,0.936822,1.0,0.806012,0.988367,0.984042,1.0,0.974894,0.969252,0.935573,1.0,0.991191,0.002674,0.288885,0.002871,0.386136,1.0,0.942811,0.91122,0.610209,0.911436,0.675491,0.183616,0.501948,0.911436,0.675491,0.856068,0.701636,0.787785,0.529746,0.333333,0.513982,0.870453,0.61257,0.759714,0.646281,0.978662,0.724358,0.758912,0.629313,0.00015,0.766511,0.000128,0.777097,1.0,0.315755,0.765335,0.884728,0.619464,0.900695,0.630565,0.772191,0.616869,0.870752,1
13,2023-02-06T14:14:38.000000000,2023-02-06T14:15:36.000000000,0.777667,0.320865,0.999383,0.443509,0.666667,0.552655,0.967539,0.975794,0.962913,0.179312,0.294229,0.319393,0.962913,0.179312,0.922637,0.866701,0.989515,0.917453,0.333333,0.967802,0.999849,0.579061,0.973103,0.4133,0.999832,0.370023,0.973734,0.640261,0.416793,0.298324,0.644962,0.318299,0.333333,0.962923,0.916446,0.694315,0.914369,0.727487,0.190344,0.349191,0.914369,0.727487,0.474514,0.252568,0.393508,0.203397,0.333333,0.57126,0.734526,0.281284,0.526509,0.2188,0.925077,0.435253,0.524929,0.227283,0.841185,0.660915,0.81283,0.656685,0.333333,0.211244,0.895004,0.588779,0.85827,0.515972,0.815463,0.564364,0.857304,0.551422,1
14,2023-02-06T14:15:08.000000000,2023-02-06T14:16:06.000000000,0.020691,0.246517,0.020111,0.208674,0.0,0.429238,0.936167,0.874186,0.961718,0.112743,0.094075,0.241739,0.961718,0.112743,0.006963,0.703185,0.004678,0.796772,1.0,0.783728,0.15385,0.250429,0.0,0.0,0.025832,0.060705,0.203244,0.33439,0.003969,0.235541,0.004376,0.248568,1.0,0.871039,0.998279,0.726738,0.998731,0.725717,0.005213,0.281894,0.998731,0.725717,0.000127,0.110457,0.000109,0.132749,1.0,0.392698,0.011154,0.016941,0.003336,0.101839,0.000321,0.151596,0.005764,0.122047,0.02084,0.176414,0.018931,0.192129,0.0,0.360678,0.464047,0.197954,0.247327,0.156811,0.249566,0.213116,0.284394,0.14457,1
15,2023-02-06T14:15:38.000000000,2023-02-06T14:16:36.000000000,1.1e-05,0.260725,1.3e-05,0.238236,1.0,0.253746,0.875585,0.801019,0.926391,0.07695,2.3e-05,0.243919,0.926391,0.07695,3e-06,0.787141,4e-06,0.849064,1.0,0.407163,0.00668,0.387756,0.029969,0.279324,4.8e-05,0.267046,0.006825,0.44071,3e-06,0.259782,6e-06,0.268712,1.0,0.780325,0.992361,0.669601,0.995123,0.69189,9e-06,0.324013,0.995123,0.69189,0.0,0.168591,0.0,0.161054,0.333333,0.136571,0.000604,0.134613,0.003185,0.161276,1e-06,0.209825,0.000189,0.174047,8e-06,0.414327,1e-05,0.425216,1.0,0.328505,0.006233,0.210467,0.008292,0.205816,4.7e-05,0.195219,0.005216,0.141211,1
16,2023-02-06T14:16:08.000000000,2023-02-06T14:17:06.000000000,0.0,0.259024,0.0,0.182615,0.0,0.111369,0.875147,0.845428,0.92606,0.091606,0.0,0.279934,0.92606,0.091606,0.0,0.701412,0.0,0.793341,0.0,0.001631,0.0,0.281111,0.03199,0.162698,0.0,0.082936,0.0,0.357142,0.0,0.222201,0.0,0.261775,0.0,0.660064,0.992017,0.625068,0.994875,0.675053,0.0,0.324271,0.994875,0.675053,0.0,0.150886,0.0,0.165785,0.0,0.151657,0.0,0.135434,0.003327,0.138035,0.0,0.24871,0.0,0.15291,0.0,0.236695,0.0,0.241814,0.0,0.130179,0.0,0.160374,0.006772,0.120203,0.0,0.156088,0.0,0.105704,1
17,2023-02-06T14:16:38.000000000,2023-02-06T14:17:36.000000000,0.0,0.195578,0.0,0.104601,0.0,0.206619,0.875147,0.902065,0.92606,0.115848,0.0,0.188991,0.92606,0.115848,0.0,0.650975,0.0,0.750464,0.0,0.264595,0.0,0.282838,0.03199,0.145931,0.0,0.123967,0.0,0.350297,0.0,0.159498,0.0,0.195844,0.0,0.701214,0.992017,0.687241,0.994875,0.714391,0.0,0.203833,0.994875,0.714391,0.0,0.063097,0.0,0.0732,0.0,0.148364,0.0,0.06631,0.003327,0.053846,0.0,0.176032,0.0,0.070981,0.0,0.132548,0.0,0.164036,0.0,0.081441,0.0,0.132231,0.006772,0.098704,0.0,0.069936,0.0,0.030718,1
18,2023-02-06T14:17:08.000000000,2023-02-06T14:18:06.000000000,0.0,0.273607,0.0,0.222012,0.0,0.18577,0.875147,0.881942,0.92606,0.13354,0.0,0.25916,0.92606,0.13354,0.0,0.712882,0.0,0.796902,0.0,0.093683,0.0,0.330899,0.03199,0.233212,0.0,0.162069,0.0,0.397384,0.0,0.240248,0.0,0.286423,0.0,0.703493,0.992017,0.758851,0.994875,0.763746,0.0,0.321223,0.994875,0.763746,0.0,0.159946,0.0,0.179645,0.0,0.103292,0.0,0.128659,0.003327,0.1526,0.0,0.218953,0.0,0.169218,0.0,0.338742,0.0,0.354309,0.0,0.132843,0.0,0.196335,0.006772,0.179571,0.0,0.172897,0.0,0.141143,1
19,2023-02-06T14:17:38.000000000,2023-02-06T14:18:36.000000000,0.0,0.254024,0.0,0.189516,0.0,0.177834,0.875147,0.848036,0.92606,0.140677,0.0,0.271944,0.92606,0.140677,0.0,0.632552,0.0,0.743766,0.0,0.113854,0.0,0.306627,0.03199,0.189395,0.0,0.132676,0.0,0.376838,0.0,0.188492,0.0,0.251475,0.0,0.688595,0.992017,0.765971,0.994875,0.769191,0.0,0.310157,0.994875,0.769191,0.0,0.164897,0.0,0.165606,0.0,0.136723,0.0,0.126748,0.003327,0.148973,0.0,0.228375,0.0,0.160037,0.0,0.092341,0.0,0.115592,0.0,0.082244,0.0,0.16978,0.006772,0.149175,0.0,0.138952,0.0,0.108367,1
