segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_fm_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_fm_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_fm_demodulated,m1_speed_rms_baseband,m1_speed_rms_fm_demodulated,m1_speed_mean_baseband,m1_speed_mean_fm_demodulated,m1_speed_variance_baseband,m1_speed_variance_fm_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_fm_demodulated,m2_speed_psd_peak_baseband,m2_speed_psd_peak_fm_demodulated,m2_speed_psd_mean_energy_baseband,m2_speed_psd_mean_energy_fm_demodulated,m2_speed_psd_peak_freq_baseband,m2_speed_psd_peak_freq_fm_demodulated,m2_speed_rms_baseband,m2_speed_rms_fm_demodulated,m2_speed_mean_baseband,m2_speed_mean_fm_demodulated,m2_speed_variance_baseband,m2_speed_variance_fm_demodulated,m2_speed_fft_peak_baseband,m2_speed_fft_peak_fm_demodulated,m3_speed_psd_peak_baseband,m3_speed_psd_peak_fm_demodulated,m3_speed_psd_mean_energy_baseband,m3_speed_psd_mean_energy_fm_demodulated,m3_speed_psd_peak_freq_baseband,m3_speed_psd_peak_freq_fm_demodulated,m3_speed_rms_baseband,m3_speed_rms_fm_demodulated,m3_speed_mean_baseband,m3_speed_mean_fm_demodulated,m3_speed_variance_baseband,m3_speed_variance_fm_demodulated,m3_speed_fft_peak_baseband,m3_speed_fft_peak_fm_demodulated,current_pos_x_psd_peak_baseband,current_pos_x_psd_peak_fm_demodulated,current_pos_x_psd_mean_energy_baseband,current_pos_x_psd_mean_energy_fm_demodulated,current_pos_x_psd_peak_freq_baseband,current_pos_x_psd_peak_freq_fm_demodulated,current_pos_x_rms_baseband,current_pos_x_rms_fm_demodulated,current_pos_x_mean_baseband,current_pos_x_mean_fm_demodulated,current_pos_x_variance_baseband,current_pos_x_variance_fm_demodulated,current_pos_x_fft_peak_baseband,current_pos_x_fft_peak_fm_demodulated,current_pos_y_psd_peak_baseband,current_pos_y_psd_peak_fm_demodulated,current_pos_y_psd_mean_energy_baseband,current_pos_y_psd_mean_energy_fm_demodulated,current_pos_y_psd_peak_freq_baseband,current_pos_y_psd_peak_freq_fm_demodulated,current_pos_y_rms_baseband,current_pos_y_rms_fm_demodulated,current_pos_y_mean_baseband,current_pos_y_mean_fm_demodulated,current_pos_y_variance_baseband,current_pos_y_variance_fm_demodulated,current_pos_y_fft_peak_baseband,current_pos_y_fft_peak_fm_demodulated,current_pos_z_psd_peak_baseband,current_pos_z_psd_peak_fm_demodulated,current_pos_z_psd_mean_energy_baseband,current_pos_z_psd_mean_energy_fm_demodulated,current_pos_z_psd_peak_freq_baseband,current_pos_z_psd_peak_freq_fm_demodulated,current_pos_z_rms_baseband,current_pos_z_rms_fm_demodulated,current_pos_z_mean_baseband,current_pos_z_mean_fm_demodulated,current_pos_z_variance_baseband,current_pos_z_variance_fm_demodulated,current_pos_z_fft_peak_baseband,current_pos_z_fft_peak_fm_demodulated,target_pos_x_psd_peak_baseband,target_pos_x_psd_peak_fm_demodulated,target_pos_x_psd_mean_energy_baseband,target_pos_x_psd_mean_energy_fm_demodulated,target_pos_x_psd_peak_freq_baseband,target_pos_x_psd_peak_freq_fm_demodulated,target_pos_x_rms_baseband,target_pos_x_rms_fm_demodulated,target_pos_x_mean_baseband,target_pos_x_mean_fm_demodulated,target_pos_x_variance_baseband,target_pos_x_variance_fm_demodulated,target_pos_x_fft_peak_baseband,target_pos_x_fft_peak_fm_demodulated,target_pos_y_psd_peak_baseband,target_pos_y_psd_peak_fm_demodulated,target_pos_y_psd_mean_energy_baseband,target_pos_y_psd_mean_energy_fm_demodulated,target_pos_y_psd_peak_freq_baseband,target_pos_y_psd_peak_freq_fm_demodulated,target_pos_y_rms_baseband,target_pos_y_rms_fm_demodulated,target_pos_y_mean_baseband,target_pos_y_mean_fm_demodulated,target_pos_y_variance_baseband,target_pos_y_variance_fm_demodulated,target_pos_y_fft_peak_baseband,target_pos_y_fft_peak_fm_demodulated,target_pos_z_psd_peak_baseband,target_pos_z_psd_peak_fm_demodulated,target_pos_z_psd_mean_energy_baseband,target_pos_z_psd_mean_energy_fm_demodulated,target_pos_z_psd_peak_freq_baseband,target_pos_z_psd_peak_freq_fm_demodulated,target_pos_z_rms_baseband,target_pos_z_rms_fm_demodulated,target_pos_z_mean_baseband,target_pos_z_mean_fm_demodulated,target_pos_z_variance_baseband,target_pos_z_variance_fm_demodulated,target_pos_z_fft_peak_baseband,target_pos_z_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
10,2023-02-06T14:13:10.000000000,2023-02-06T14:14:08.000000000,0.439585,0.257846,0.557072,0.531994,0.333333,0.834372,0.989947,0.425317,0.997949,0.685397,0.48325,0.318083,0.997949,0.685397,0.054927,0.084448,0.060137,0.15548,0.666667,0.845743,0.653256,0.554811,0.802772,0.253193,0.045511,0.054491,0.802772,0.253193,0.664526,0.299537,0.627644,0.647538,0.333333,0.379709,0.841255,0.687843,0.898166,0.603408,0.542909,0.37944,0.898166,0.603408,0.144728,0.681983,0.224245,0.787232,0.333333,0.613708,0.63926,0.23981,0.561427,0.458107,0.404802,0.469605,0.560674,0.386034,0.219361,0.250977,0.232668,0.229228,0.666667,0.491549,0.305564,0.416023,0.203381,0.175128,0.135315,0.133887,0.195993,0.190177,0.799523,0.280411,0.871822,0.456689,0.333333,0.548353,0.795006,0.656015,0.757743,0.421166,0.680608,0.42723,0.757274,0.392279,0.10153,0.407935,0.11895,0.243688,0.333333,0.542909,0.724599,0.283796,0.600125,0.370273,0.673855,0.254253,0.598374,0.327654,0.238841,0.149292,0.195234,0.660558,0.666667,0.381375,0.450422,0.333956,0.487975,0.713471,0.193943,0.347327,0.463405,0.453292,0.882085,0.328187,0.95886,0.260321,0.333333,0.326696,0.765095,0.614092,0.755819,0.420238,0.591008,0.661902,0.754096,0.326852,0.364598,0.554694,0.350082,0.370834,0.333333,0.592328,0.729491,0.234112,0.593414,0.537146,0.680132,0.867264,0.591707,0.494975,1
11,2023-02-06T14:13:40.000000000,2023-02-06T14:14:38.000000000,0.457119,0.11855,0.545434,0.265243,0.666667,0.93707,0.900261,0.243842,0.934825,0.500491,0.349849,0.110545,0.934825,0.500491,0.003903,0.13915,0.004649,0.141927,1.0,0.890938,0.672509,0.519174,0.824825,0.037682,0.021445,0.164746,0.824825,0.037682,0.117201,0.234327,0.146559,0.629102,0.333333,0.727551,0.866934,0.313059,0.974093,0.467071,0.2168,0.329637,0.974093,0.467071,0.618338,0.420324,0.635483,0.553837,0.333333,0.928144,0.39232,0.053397,0.215541,0.326907,0.457177,0.384612,0.214194,0.24294,0.01838,0.069469,0.016772,0.030269,0.0,0.653992,0.250008,0.325565,0.115703,0.081274,0.101742,0.272477,0.107502,0.121293,0.194871,0.193971,0.214948,0.264338,0.333333,0.735458,0.605397,0.195727,0.36052,0.074885,0.563326,0.259121,0.359282,0.073817,0.302976,0.241576,0.325543,0.202413,0.333333,0.812429,0.294992,0.149441,0.138373,0.134052,0.274991,0.051492,0.1346,0.108916,0.014566,0.149427,0.012195,0.658553,0.0,0.407771,0.351782,0.223538,0.245597,0.53572,0.135715,0.286847,0.232784,0.102405,0.121909,0.240192,0.114382,0.191131,0.0,0.540766,0.672224,0.162089,0.441292,0.0,0.538639,0.528405,0.437349,0.0,0.467445,0.495371,0.396491,0.292599,0.333333,0.686318,0.627613,0.0,0.370189,0.186668,0.700023,0.778952,0.367545,0.162846,1
12,2023-02-06T14:14:10.000000000,2023-02-06T14:15:08.000000000,0.000236,0.091112,0.000222,0.120194,1.0,0.793249,0.729559,0.184724,0.829021,0.472881,0.000354,0.067143,0.829021,0.472881,5e-06,0.26081,6e-06,0.340995,1.0,0.793114,0.642928,0.476312,0.802462,0.193903,0.00012,0.26721,0.802462,0.193903,4.9e-05,0.244103,5.2e-05,0.628037,1.0,0.830704,0.708224,0.20103,0.867056,0.322065,0.000416,0.450236,0.867056,0.322065,4.4e-05,0.02231,6e-05,0.15711,1.0,0.828791,0.003225,0.047247,0.001247,0.329722,4.8e-05,0.236942,0.001494,0.241862,6e-06,0.488899,6e-06,0.503386,1.0,0.675457,0.002115,0.53699,0.011012,0.302689,3.8e-05,0.559298,0.001841,0.332264,4e-06,0.089167,5e-06,0.098336,1.0,0.705678,0.003624,0.228431,0.000388,0.146681,2.3e-05,0.193157,0.002092,0.136127,2.5e-05,0.308332,3.3e-05,0.203164,1.0,0.766383,0.003248,0.100972,0.004346,0.121137,5e-05,0.06788,0.001357,0.085501,9e-06,0.163211,8e-06,0.67632,1.0,0.567305,0.011533,0.576011,0.04947,0.619284,0.000152,0.545421,0.011059,0.33344,1.3e-05,0.130797,1e-05,0.125921,1.0,0.641774,0.006161,0.082691,0.004811,0.18364,5.2e-05,0.460434,0.004968,0.137919,3.5e-05,0.4226,4e-05,0.191006,1.0,0.716276,0.005871,0.110414,0.003915,0.301508,0.000114,0.805919,0.002904,0.290135,0
13,2023-02-06T14:14:40.000000000,2023-02-06T14:15:38.000000000,0.001833,0.165018,0.002215,0.348443,1.0,0.685661,0.701795,0.269785,0.800085,0.501562,0.056331,0.067835,0.800085,0.501562,0.000936,0.45707,0.000786,0.502797,1.0,0.673685,0.600231,0.629972,0.742399,0.67559,0.104932,0.436785,0.742399,0.67559,0.002515,0.292636,0.002425,0.700424,1.0,0.617714,0.651727,0.406733,0.795448,0.260532,0.120895,0.544382,0.795448,0.260532,4.1e-05,0.223475,5.5e-05,0.3343,1.0,0.413362,0.063529,0.083773,0.029886,0.315566,0.013761,0.21997,0.02822,0.23157,0.000548,0.820027,0.000457,0.838359,1.0,0.50531,0.529884,0.778855,0.25262,0.694078,0.442349,0.786486,0.245688,0.655278,0.000215,0.134431,0.000238,0.131433,1.0,0.599665,0.255875,0.408762,0.145552,0.275712,0.102622,0.230799,0.143899,0.257835,0.000194,0.357495,0.000228,0.231876,1.0,0.446052,0.134615,0.172773,0.060429,0.191466,0.059788,0.069487,0.056315,0.159515,0.002174,0.175067,0.001513,0.714322,1.0,0.67878,0.59271,0.667686,0.380311,0.655557,0.385585,0.591954,0.395298,0.361929,0.000197,0.173992,0.000149,0.147298,1.0,0.570576,0.269524,0.317051,0.184284,0.425171,0.086294,0.525009,0.178528,0.321198,1.2e-05,0.694253,1.5e-05,0.485179,1.0,0.573261,0.182244,0.336092,0.0904,0.757188,0.065821,0.891149,0.086582,0.716793,0
14,2023-02-06T14:15:10.000000000,2023-02-06T14:16:08.000000000,0.127813,0.160721,0.174538,0.30706,0.666667,0.57183,0.748435,0.318269,0.831324,0.46335,0.122428,0.174375,0.831324,0.46335,0.444947,0.470662,0.432308,0.601104,0.666667,0.692302,0.792371,0.920322,0.862739,1.0,0.40896,0.532937,0.862739,1.0,0.240222,0.397722,0.320528,0.74952,0.333333,0.360601,0.758803,0.607789,0.835511,0.383323,0.450507,0.461219,0.835511,0.383323,0.029038,0.106956,0.033015,0.225872,0.333333,0.24917,0.102168,0.086622,0.084384,0.270582,0.015352,0.180376,0.082812,0.171829,0.943881,0.802213,0.955245,0.805486,0.333333,0.501823,0.698893,0.918128,0.506824,0.93664,0.659992,0.790033,0.50225,0.836051,0.096442,0.143448,0.117975,0.197092,0.333333,0.509089,0.521322,0.395863,0.522517,0.293684,0.271597,0.171793,0.521593,0.274228,0.11074,0.078109,0.118781,0.165311,0.333333,0.337812,0.221477,0.132577,0.180156,0.245166,0.072199,0.060969,0.176566,0.221139,0.487055,0.15994,0.509537,0.709342,0.666667,0.770272,0.704223,0.570469,0.518695,0.640441,0.529907,0.355446,0.510032,0.306039,0.152664,0.215478,0.151522,0.177959,0.333333,0.484008,0.548708,0.329075,0.628604,0.497038,0.27101,0.473746,0.625983,0.3768,0.190116,1.0,0.128937,0.98536,0.333333,0.318713,0.888235,0.512069,0.740168,0.832512,0.964566,0.89439,0.739077,0.777764,0
15,2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,0.032915,0.228128,0.045452,0.535263,0.333333,0.527565,0.744649,0.22889,0.828297,0.370851,0.121432,0.40175,0.828297,0.370851,0.240746,0.461026,0.329059,0.676711,0.666667,0.813964,1.0,0.980954,1.0,0.958719,0.782602,0.46634,1.0,0.958719,0.466106,0.384647,0.569401,0.730102,0.666667,0.394438,0.774896,0.527967,0.867273,0.520508,0.354262,0.277952,0.867273,0.520508,0.009571,0.208573,0.011091,0.310931,0.333333,0.265986,0.085163,0.070519,0.073498,0.261533,0.008977,0.27895,0.071907,0.168001,0.436966,0.517698,0.448692,0.546861,0.333333,0.579949,0.853613,0.764349,0.831867,0.772979,0.757808,0.630925,0.830308,0.709865,0.178619,0.131871,0.263769,0.165311,0.666667,0.364989,0.46137,0.260208,0.44087,0.181428,0.229035,0.168645,0.439788,0.166458,0.037574,0.537908,0.038972,0.258832,0.333333,0.300776,0.186722,0.163974,0.160161,0.329984,0.042158,0.22464,0.156483,0.278544,0.010404,0.160765,0.011158,0.699327,1.0,0.781821,0.381038,0.451816,0.193849,0.804606,0.164697,0.383133,0.275304,0.566006,0.268478,0.181196,0.237585,0.15947,0.666667,0.385996,0.488739,0.196842,0.551022,0.532176,0.218604,0.448817,0.547854,0.421698,0.878639,0.941283,1.0,1.0,0.333333,0.274321,1.0,0.395713,1.0,0.666992,0.735758,0.836209,1.0,0.614254,0
16,2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,0.096975,0.244205,0.138533,0.664855,0.666667,0.455938,0.616507,0.120649,0.697622,0.307754,0.319052,0.350368,0.697622,0.307754,0.554917,0.482989,0.596519,0.58332,1.0,0.829125,0.873093,0.655215,0.868944,0.653805,0.805111,0.321006,0.868944,0.653805,0.007726,0.189474,0.011556,0.641833,0.333333,0.525536,0.725686,0.293143,0.869558,0.50468,0.076829,0.314212,0.869558,0.50468,0.002052,0.250608,0.002433,0.355517,0.333333,0.315124,0.061929,0.201514,0.049425,0.470631,0.006656,0.254069,0.047793,0.390408,0.417025,0.442718,0.539628,0.432403,1.0,0.59023,0.84968,0.507011,0.815157,0.412555,0.766197,0.46136,0.813443,0.436889,0.013247,0.09454,0.014506,0.062049,0.333333,0.292517,0.114945,0.246043,0.116875,0.211322,0.013192,0.151299,0.115166,0.196321,0.008846,0.922849,0.009918,0.543852,0.333333,0.221737,0.091881,0.435004,0.085723,0.753981,0.007318,0.406953,0.081719,0.69625,0.009851,0.150315,0.00865,0.684955,1.0,0.58792,0.521185,0.458511,0.391099,0.970341,0.290958,0.480518,0.388338,0.839111,0.017456,0.108841,0.014031,0.0996,0.333333,0.215454,0.141918,0.258121,0.190588,0.471592,0.015525,0.412784,0.184876,0.380418,0.461729,0.707217,0.434128,0.637141,0.333333,0.308014,0.576013,0.171773,0.511821,0.345197,0.358839,0.785788,0.509772,0.317564,1
17,2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,0.631264,0.235117,0.758123,0.389161,0.666667,0.252909,0.603504,0.22211,0.664918,0.418185,0.487342,0.326361,0.664918,0.418185,0.299394,0.20588,0.291169,0.248045,0.666667,0.728782,0.684052,0.35005,0.792839,0.207006,0.238149,0.259525,0.792839,0.207006,0.103161,0.170883,0.126291,0.567061,0.666667,0.396392,0.7233,0.25125,0.866616,0.446003,0.081596,0.297869,0.866616,0.446003,0.151169,0.121294,0.155408,0.19691,0.333333,0.226371,0.324987,0.289209,0.258332,0.594099,0.168479,0.192701,0.257058,0.518437,0.449257,0.37653,0.52701,0.365634,0.333333,0.56065,0.454317,0.353069,0.338372,0.291454,0.277938,0.329472,0.332236,0.317696,0.033378,0.098968,0.038083,0.129278,0.333333,0.18312,0.230631,0.353333,0.26586,0.348136,0.039355,0.062501,0.26444,0.322721,0.776028,0.884172,0.778738,0.621211,0.333333,0.202445,0.668062,0.688566,0.498673,0.912556,0.801627,0.46341,0.496477,0.900306,0.316957,0.166484,0.3253,0.697152,0.666667,0.495187,0.570755,0.426072,0.735454,0.870176,0.275922,0.187046,0.72276,0.716022,0.04617,0.135191,0.036857,0.116457,0.333333,0.097987,0.277075,0.358224,0.418521,0.373776,0.045278,0.341932,0.414417,0.299221,0.391206,0.428162,0.400493,0.21007,0.333333,0.0,0.448702,0.100752,0.301075,0.264977,0.327013,0.784312,0.298141,0.248999,1
18,2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,0.042395,0.277518,0.038835,0.434369,0.0,0.128503,0.687886,0.455218,0.765955,0.688545,0.254498,0.467322,0.765955,0.688545,0.000773,0.0,0.000648,0.038684,1.0,0.604083,0.644116,0.364436,0.803076,0.031708,0.002398,0.200511,0.803076,0.031708,0.008251,0.258278,0.009968,0.622368,0.333333,0.329426,0.664237,0.445706,0.821864,0.516414,0.03649,0.196477,0.821864,0.516414,0.000703,0.339267,0.000835,0.432955,0.0,0.092181,0.458419,0.211193,0.459874,0.528577,0.002633,0.371964,0.458947,0.461106,0.000693,0.090692,0.000923,0.191804,1.0,0.581366,0.134156,0.449296,0.20961,0.144342,0.001987,0.213619,0.20228,0.171384,0.002012,0.151383,0.002328,0.191033,0.0,0.0,0.320588,0.276544,0.462235,0.241748,0.011717,0.136195,0.461195,0.221249,0.050632,0.593971,0.062138,0.449269,0.0,0.05723,0.9785,0.54402,0.960537,0.612875,0.163637,0.323266,0.960364,0.602035,0.001977,0.114841,0.002384,0.614486,1.0,0.568886,0.351051,0.353234,0.824455,0.738466,0.010791,0.159824,0.816032,0.514453,0.00436,0.19699,0.004176,0.162756,0.0,0.07222,0.392311,0.243088,0.749752,0.26511,0.019161,0.420759,0.747986,0.210873,0.052612,0.398413,0.069574,0.233621,0.0,0.096626,0.336756,0.076368,0.139656,0.157371,0.234577,0.749431,0.136044,0.147833,1
19,2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,0.389436,0.240183,0.382855,0.563772,0.333333,0.363878,0.948738,0.493181,0.963378,0.833233,0.47872,0.326574,0.963378,0.833233,0.0,0.33194,1e-06,0.306246,0.333333,0.599519,0.642306,0.609353,0.801922,0.350237,3.5e-05,0.224874,0.801922,0.350237,0.040857,0.179814,0.051754,0.600601,0.666667,0.496268,0.754215,0.527859,0.901821,0.611065,0.035687,0.276325,0.901821,0.611065,0.080127,0.2679,0.085819,0.391831,0.333333,0.279095,0.372403,0.104562,0.312,0.419382,0.179843,0.322337,0.310819,0.346661,0.004828,0.278207,0.003365,0.337158,0.333333,0.585714,0.104373,0.562231,0.13345,0.261188,0.008029,0.339297,0.125414,0.272003,0.021675,0.104515,0.019899,0.132004,0.333333,0.189866,0.254456,0.140292,0.293864,0.049134,0.047542,0.120771,0.292497,0.045525,0.807576,0.505853,0.820676,0.290072,0.333333,0.111791,0.782017,0.242339,0.61337,0.319929,0.954337,0.198726,0.611677,0.286978,0.015222,0.104219,0.008911,0.603419,0.333333,0.581375,0.275463,0.462464,0.528978,0.703578,0.037342,0.396391,0.506375,0.44412,0.032166,0.140609,0.021451,0.121849,0.333333,0.076706,0.309647,0.086373,0.473306,0.165117,0.054533,0.396719,0.469589,0.119679,0.02208,0.432387,0.022235,0.216071,0.333333,0.419733,0.121318,0.071078,0.059269,0.12091,0.029785,0.749871,0.05532,0.112238,1
20,2023-02-06T14:18:10.000000000,2023-02-06T14:19:08.000000000,0.388211,0.164658,0.38316,0.324242,0.333333,0.596055,0.948076,0.299659,0.962809,0.606032,0.478787,0.194896,0.962809,0.606032,0.000594,0.372343,0.000505,0.455334,1.0,0.650108,0.60327,0.758549,0.741038,0.732975,0.124605,0.335185,0.741038,0.732975,0.007554,0.232433,0.010623,0.609377,0.333333,0.545055,0.755978,0.393801,0.90365,0.505476,0.034066,0.261172,0.90365,0.505476,0.108151,0.161107,0.124067,0.258025,0.333333,0.298667,0.176598,0.08878,0.080526,0.313881,0.10562,0.236508,0.078947,0.224038,0.000367,0.614511,0.000564,0.641444,1.0,0.534976,0.298246,0.685271,0.128181,0.657725,0.145487,0.472825,0.120096,0.576396,0.002676,0.118082,0.00338,0.154208,0.0,0.216684,0.092896,0.193129,0.049021,0.133102,0.01396,0.092703,0.047181,0.121406,0.130612,0.240521,0.189262,0.218787,0.0,0.279042,0.309869,0.044364,0.106916,0.149361,0.340503,0.114735,0.103006,0.118525,0.001127,0.239249,0.00149,0.776332,1.0,0.325365,0.35163,0.619796,0.228097,0.737828,0.137058,0.38058,0.236474,0.393406,0.002113,0.149918,0.001705,0.133613,0.0,0.191667,0.096077,0.126324,0.065433,0.157462,0.011191,0.383623,0.058838,0.107595,0.027735,0.504538,0.034795,0.281682,0.333333,0.26602,0.127091,0.182099,0.071585,0.315193,0.03071,0.798038,0.067688,0.288033,0
21,2023-02-06T14:18:40.000000000,2023-02-06T14:19:38.000000000,0.000178,0.245624,0.000194,0.554398,1.0,0.705236,0.732773,0.129471,0.831264,0.274856,0.003905,0.627292,0.831264,0.274856,0.570457,0.356095,0.566437,0.503041,0.666667,0.644487,0.791581,0.721292,0.83688,0.718188,0.542037,0.330151,0.83688,0.718188,0.021143,0.255197,0.030222,0.671148,0.666667,0.526596,0.725691,0.247439,0.868445,0.349088,0.083401,0.297106,0.868445,0.349088,0.001058,0.270782,0.001153,0.390317,0.333333,0.20616,0.027876,0.094936,0.020222,0.305315,0.001866,0.328693,0.01854,0.220504,0.582076,0.734182,0.612976,0.65254,0.666667,0.517182,0.722561,0.711591,0.58652,0.807701,0.654878,0.461454,0.582685,0.711672,0.002498,0.110136,0.002204,0.106138,0.333333,0.140667,0.081481,0.169991,0.065813,0.129707,0.008764,0.135503,0.064005,0.116429,0.00406,0.334503,0.003955,0.197307,0.333333,0.221013,0.061824,0.272583,0.044504,0.416955,0.008882,0.207794,0.04032,0.368614,0.457804,0.212281,0.428289,0.734614,0.666667,0.127781,0.631631,0.578315,0.469867,0.765736,0.426306,0.376834,0.457223,0.488078,0.001988,0.141886,0.001723,0.122854,0.333333,0.218184,0.090379,0.139233,0.094964,0.36229,0.008313,0.427729,0.088577,0.269058,0.131383,0.762473,0.085889,0.661598,0.333333,0.172158,0.492738,0.264066,0.343716,0.455028,0.379788,0.80266,0.340961,0.412899,1
22,2023-02-06T14:19:10.000000000,2023-02-06T14:20:08.000000000,0.09482,0.329818,0.128716,0.798443,0.333333,0.653413,0.666262,0.247953,0.696078,0.307672,0.679128,0.746115,0.696078,0.307672,0.323894,0.338222,0.394278,0.484113,0.666667,0.669202,0.872898,0.605263,0.896753,0.373482,0.651744,0.258527,0.896753,0.373482,0.128789,0.104548,0.186177,0.571718,0.666667,0.569792,0.691708,0.32166,0.831848,0.389342,0.118765,0.333491,0.831848,0.389342,0.000768,0.078645,0.001339,0.224227,0.333333,0.493698,0.174258,0.207626,0.105696,0.433734,0.082758,0.258471,0.10416,0.351753,0.489977,0.577302,0.542593,0.442148,0.666667,0.585024,0.794498,0.621978,0.735253,0.497085,0.700152,0.397183,0.732798,0.519623,0.016781,0.058839,0.018523,0.039823,0.333333,0.498452,0.137521,0.246024,0.143999,0.227351,0.017818,0.064505,0.142343,0.214364,0.003212,0.611671,0.00556,0.464553,0.333333,0.391339,0.25427,0.521943,0.149791,0.68454,0.173227,0.442184,0.146068,0.621018,0.032899,0.072171,0.028094,0.562872,0.0,0.251966,0.53411,0.37843,0.371441,0.771788,0.309778,0.299224,0.351761,0.613984,0.019403,0.065456,0.017183,0.069663,0.333333,0.08074,0.164532,0.178809,0.224405,0.530099,0.020193,0.355106,0.218931,0.415139,0.435265,0.795997,0.477974,0.704246,0.333333,0.509297,0.681975,0.245364,0.660695,0.535627,0.391222,0.785846,0.659271,0.484303,1
23,2023-02-06T14:19:40.000000000,2023-02-06T14:20:38.000000000,1.0,0.352036,0.947027,0.367497,0.333333,0.533658,0.668721,0.481261,0.698335,0.706583,0.678671,0.526279,0.698335,0.706583,0.204714,0.148047,0.264177,0.335215,0.666667,0.790874,0.698264,0.519493,0.800173,0.215009,0.268489,0.157484,0.800173,0.215009,0.007425,0.143898,0.011177,0.547738,0.333333,0.637849,0.671822,0.460868,0.828855,0.563219,0.035025,0.241744,0.828855,0.563219,0.138939,0.163198,0.146864,0.233281,0.333333,0.698722,0.370511,0.290506,0.320003,0.443503,0.152712,0.247093,0.318835,0.360189,0.256045,0.283056,0.25936,0.201995,0.333333,0.546936,0.455128,0.360024,0.372655,0.206716,0.26167,0.33357,0.366837,0.29056,0.018127,0.13035,0.023537,0.102439,0.333333,0.715237,0.262494,0.360214,0.333014,0.348381,0.034847,0.083139,0.331723,0.325187,0.510798,0.389311,0.600259,0.596839,0.333333,0.6654,0.76251,0.600359,0.619626,0.775926,0.803951,0.540087,0.61796,0.748466,0.01192,0.13419,0.007659,0.660987,0.333333,0.15314,0.266657,0.182438,0.499763,0.765678,0.037778,0.095003,0.475759,0.550705,0.023641,0.136231,0.021739,0.124457,0.333333,0.150034,0.324872,0.260468,0.555959,0.476052,0.039111,0.390074,0.552825,0.389237,0.425427,0.517481,0.396195,0.357584,0.333333,0.62849,0.473204,0.119769,0.328845,0.393061,0.351823,0.769562,0.326027,0.3585,1
24,2023-02-06T14:20:10.000000000,2023-02-06T14:21:08.000000000,0.001629,0.354453,0.001898,0.2831,1.0,0.458116,0.952995,0.51694,0.96761,0.813933,0.472278,0.211292,0.96761,0.813933,0.000852,0.233359,0.000712,0.346786,1.0,0.819984,0.64226,0.543098,0.801069,0.385835,0.00414,0.258759,0.801069,0.385835,0.002482,0.19452,0.004648,0.622079,1.0,0.633818,0.754312,0.457975,0.901916,0.549411,0.035627,0.289632,0.901916,0.549411,1.6e-05,0.298956,2.4e-05,0.393776,1.0,0.517642,0.426506,0.22575,0.405129,0.379091,0.082194,0.289816,0.404108,0.294442,0.000102,0.279161,0.000151,0.256292,1.0,0.409693,0.124015,0.459688,0.178252,0.289608,0.006053,0.405107,0.170631,0.294676,0.000117,0.11116,0.000227,0.101494,1.0,0.531003,0.295935,0.235085,0.393992,0.176083,0.032315,0.11264,0.39282,0.162947,0.004833,0.43283,0.005884,0.460445,1.0,0.59615,0.907694,0.37666,0.819806,0.536693,0.626515,0.394553,0.819017,0.535729,0.00022,0.123673,0.000235,0.641569,0.0,0.194782,0.321791,0.336387,0.699149,0.744889,0.027194,0.232769,0.684712,0.397322,0.000448,0.137147,0.000558,0.120329,0.0,0.307025,0.361981,0.169187,0.640665,0.273578,0.039302,0.407103,0.638129,0.22234,0.000856,0.42149,0.000865,0.258882,1.0,0.511435,0.124331,0.11174,0.057936,0.196588,0.031746,0.76053,0.053981,0.194716,1
