timestamp,i4_light_barrier_baseband,i4_light_barrier_fm_demodulated,m1_speed_baseband,m1_speed_fm_demodulated,m2_speed_baseband,m2_speed_fm_demodulated,m3_speed_baseband,m3_speed_fm_demodulated,current_task_baseband,current_task_fm_demodulated,current_task_duration_baseband,current_task_duration_fm_demodulated,current_sub_task_baseband,current_sub_task_fm_demodulated,i1_light_barrier_baseband,i1_light_barrier_fm_demodulated,i2_light_barrier_baseband,i2_light_barrier_fm_demodulated,i3_light_barrier_baseband,i3_light_barrier_fm_demodulated,i5_pos_switch_baseband,i5_pos_switch_fm_demodulated,i6_pos_switch_baseband,i6_pos_switch_fm_demodulated,i7_pos_switch_baseband,i7_pos_switch_fm_demodulated,i8_pos_switch_baseband,i8_pos_switch_fm_demodulated,m4_speed_baseband,m4_speed_fm_demodulated,current_pos_x_baseband,current_pos_x_fm_demodulated,current_pos_y_baseband,current_pos_y_fm_demodulated,target_pos_x_baseband,target_pos_x_fm_demodulated,target_pos_y_baseband,target_pos_y_fm_demodulated,amount_of_workpieces_baseband,amount_of_workpieces_fm_demodulated,current_state_binary
2023-02-06 14:08:08,0.0,0.193853,0.063277,0.675546,0.078478,0.51863,0.100555,0.436947,0.0,0.114969,0.151423,0.798068,0.0,0.147757,0.0,0.227843,0.0,0.38152,0.0,0.38152,1.0,0.859091,1.0,0.860046,0.0,0.653172,1.0,0.0,0.041142,0.610782,0.028855,0.537428,0.055632,0.148978,0.087978,0.642179,0.085338,0.349117,0.0,0.486389,1.0
2023-02-06 14:08:10,0.0,0.09192,0.06257,0.0,0.078045,0.310926,0.10013,0.0,0.0,0.047901,0.151423,0.20819,0.0,0.117849,0.0,0.146353,0.0,0.017848,0.0,0.017848,1.0,0.878128,1.0,0.621715,0.0,0.157453,1.0,0.915089,0.040682,0.0,0.028855,0.366159,0.055632,0.012881,0.087978,0.152992,0.085338,0.027639,0.0,0.042295,1.0
2023-02-06 14:08:12,0.0,0.149235,0.062056,0.082568,0.07773,0.35165,0.099821,0.021358,0.0,0.105083,0.151423,0.102617,0.0,0.161142,0.0,0.198237,0.0,0.117755,0.0,0.117755,1.0,0.85434,1.0,0.662967,0.0,0.298271,1.0,0.939815,0.040348,0.104711,0.028855,0.419774,0.055632,0.061734,0.087978,0.149888,0.085338,0.064597,0.0,0.158453,1.0
2023-02-06 14:08:14,0.0,0.206601,0.062695,0.202629,0.078122,0.441414,0.100206,0.156193,0.0,0.166766,0.151423,0.302208,0.0,0.209972,0.0,0.250194,0.0,0.173743,0.0,0.173743,1.0,0.766984,1.0,0.692901,0.0,0.313463,1.0,0.934069,0.040764,0.180438,0.028855,0.480142,0.055632,0.143816,0.087978,0.239905,0.085338,0.169676,0.0,0.195423,1.0
2023-02-06 14:08:16,0.0,0.18885,0.064017,0.05604,0.078932,0.407073,0.101,0.061988,0.0,0.170741,0.151423,0.172837,0.0,0.228077,0.0,0.248087,0.0,0.115331,0.0,0.115331,1.0,0.730227,1.0,0.614674,0.0,0.222823,1.0,0.879247,0.041623,0.039021,0.028855,0.463012,0.055632,0.133618,0.087978,0.121525,0.085338,0.099216,0.0,0.111556,1.0
2023-02-06 14:08:18,0.0,0.209159,0.064017,0.106123,0.078932,0.425144,0.101,0.109539,0.0,0.128538,0.151423,0.216384,0.0,0.158293,0.0,0.23212,0.0,0.147468,0.0,0.147468,1.0,0.783341,1.0,0.62352,0.0,0.210864,1.0,0.897053,0.041623,0.067416,0.028855,0.474854,0.055632,0.108979,0.087978,0.141372,0.085338,0.142125,0.0,0.103644,1.0
2023-02-06 14:08:20,0.0,0.197974,0.061833,0.046096,0.077593,0.396399,0.099687,0.079126,0.0,0.142007,0.151423,0.222478,0.0,0.18412,0.0,0.236511,0.0,0.106824,0.0,0.106824,1.0,0.835061,1.0,0.712906,0.0,0.179424,1.0,0.949482,0.040203,0.004063,0.028855,0.458049,0.055632,0.084556,0.087978,0.106631,0.085338,0.110878,0.0,0.063794,1.0
2023-02-06 14:08:22,0.0,0.232424,0.060115,0.071528,0.076539,0.403721,0.098654,0.064052,0.0,0.163002,0.151423,0.183311,0.0,0.193757,0.0,0.25636,0.0,0.143816,0.0,0.143816,1.0,0.807208,1.0,0.659346,0.0,0.215165,1.0,0.928712,0.039086,0.046471,0.028855,0.477248,0.055632,0.116021,0.087978,0.128017,0.085338,0.103635,0.0,0.102444,1.0
2023-02-06 14:08:24,0.0,0.202587,0.062278,0.106169,0.077866,0.407386,0.099955,0.111846,0.0,0.117626,0.151423,0.273368,0.0,0.149349,0.0,0.222063,0.0,0.121474,0.0,0.121474,1.0,0.755245,1.0,0.592524,0.0,0.185949,1.0,0.891089,0.040493,0.056138,0.028855,0.454254,0.055632,0.085687,0.087978,0.172845,0.085338,0.131398,0.0,0.075255,1.0
2023-02-06 14:08:26,0.0,0.181804,0.066639,0.03369,0.080541,0.359853,0.102578,0.034102,0.0,0.14594,0.151423,0.203215,0.0,0.19683,0.0,0.233273,0.0,0.111054,0.0,0.111054,1.0,0.766513,1.0,0.662842,0.0,0.217644,1.0,0.908345,0.043328,0.016855,0.028855,0.436406,0.055632,0.067969,0.087978,0.116487,0.085338,0.068989,0.0,0.093357,1.0
