timestamp,i1_pos_switch,i2_pos_switch,i3_pos_switch,i4_light_barrier,m1_speed,m2_speed,m3_speed,o7_valve,o8_compressor,current_task,current_task_duration,current_sub_task,failure_label,i1_light_barrier,i2_light_barrier,i3_light_barrier,i5_pos_switch,i6_pos_switch,i7_pos_switch,i8_pos_switch,m4_speed,current_pos_x,current_pos_y,target_pos_x,target_pos_y,amount_of_workpieces,i1_pos,i2_pos,i3_photoresistor,i5_joystick_x_f,i6_joystick_y_f,i7_joystick_x_b,i8_joystick_y_b,i2_color_sensor,i6_light_barrier,i7_light_barrier,i8_light_barrier,o5_valve,o6_valve,i5_light_barrier,i4_pos_switch,i8_color_sensor,o7_compressor_level,o8_valve_open,current_pos_z,target_pos_z,current_state_binary
2023-02-06 14:43:26,,,,0.0,0.5,0.307778681199111,0.4414912402938035,,,7.0,2.8724153239947365e-06,15.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5487712913360623,0.015062100455628905,-0.0024701201485798803,-0.040334938832631125,0.025052109933471022,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:28,,,,1.0,0.4994718820994674,0.15342783364577653,0.5115848697159365,,,7.0,1.550282582533249e-05,12.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5257744899455519,0.11156942342194408,-0.043168671197408186,-0.0044071072408586485,-0.01991342302806663,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:30,,,,1.0,0.4996153294899184,0.13959245152566777,0.6014808867017393,,,7.0,3.7095525200229636e-05,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.43585961400874745,0.2450175968738339,-0.0268901418261008,0.12017792452099131,-0.06134119018033221,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:32,,,,0.0,0.5004781616118614,0.2844711378596212,0.5487406675681742,,,7.0,6.274459207188976e-05,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3403583138720576,0.35979488674496657,0.10038056836713566,0.2817017411064278,-0.007716373190628804,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:34,,,,0.0,0.5009880413710611,0.48504608140405775,0.2989526610093106,,,7.0,8.746164350692042e-05,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.31539038085762255,0.4113559315397071,0.3092619766592869,0.3911652178632595,0.17528321979734682,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:36,,,,0.0,0.5,0.5979114223448914,0.027831169346445382,,,7.0,0.00011007735486856597,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.371676510265123,0.4013611584405404,0.4979443080858726,0.41092282310752104,0.4074198353332788,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:38,,,,0.0,0.49836730759982767,0.5594733881913196,0.000830862607140311,,,7.0,0.00013241997623393616,22.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.44970320442625705,0.3737887320025316,0.5771620185874505,0.387599705459562,0.5539382672426623,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:40,,,,0.0,0.4987157400735493,0.44367003271770833,0.29867087712108814,,,7.0,0.00015599433085922496,22.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.49541497402505846,0.3727934179853322,0.5415414528122469,0.3872414237511476,0.5520645783413787,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:42,,,,0.0,0.501617316565445,0.39825506373003344,0.7185949259584472,,,7.0,0.00018037684182284076,22.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5150898856558975,0.4000406672286172,0.4566518474544289,0.410425710243885,0.46212014108794297,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
2023-02-06 14:43:44,,,,0.0,0.5032599540376066,0.5108479905063132,0.9708315553188935,,,7.0,0.00020434905689649163,22.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5377109873555526,0.41272392077039244,0.3895640921681932,0.39144364213862065,0.39056050852878854,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,0.0
