segment_start,segment_end,segment_idx,current_state_binary,m1_speed_psd_peak,m1_speed_psd_mean_energy,m1_speed_psd_peak_freq,m1_speed_rms,m1_speed_mean,m1_speed_variance,m1_speed_fft_peak,m2_speed_psd_peak,m2_speed_psd_mean_energy,m2_speed_psd_peak_freq,m2_speed_rms,m2_speed_mean,m2_speed_variance,m2_speed_fft_peak,m3_speed_psd_peak,m3_speed_psd_mean_energy,m3_speed_psd_peak_freq,m3_speed_rms,m3_speed_mean,m3_speed_variance,m3_speed_fft_peak,m4_speed_psd_peak,m4_speed_psd_mean_energy,m4_speed_psd_peak_freq,m4_speed_rms,m4_speed_mean,m4_speed_variance,m4_speed_fft_peak,current_pos_x_psd_peak,current_pos_x_psd_mean_energy,current_pos_x_psd_peak_freq,current_pos_x_rms,current_pos_x_mean,current_pos_x_variance,current_pos_x_fft_peak,current_pos_y_psd_peak,current_pos_y_psd_mean_energy,current_pos_y_psd_peak_freq,current_pos_y_rms,current_pos_y_mean,current_pos_y_variance,current_pos_y_fft_peak,target_pos_x_psd_peak,target_pos_x_psd_mean_energy,target_pos_x_psd_peak_freq,target_pos_x_rms,target_pos_x_mean,target_pos_x_variance,target_pos_x_fft_peak,target_pos_y_psd_peak,target_pos_y_psd_mean_energy,target_pos_y_psd_peak_freq,target_pos_y_rms,target_pos_y_mean,target_pos_y_variance,target_pos_y_fft_peak,current_task_duration_psd_peak,current_task_duration_psd_mean_energy,current_task_duration_psd_peak_freq,current_task_duration_rms,current_task_duration_mean,current_task_duration_variance,current_task_duration_fft_peak
2023-02-06T14:08:08.000000000,2023-02-06T14:09:06.000000000,0,1,0.0011054150228109903,0.00021484175192941358,0.09375,0.19987215077314927,0.08330277859486923,0.0330095237330587,2.499083357846077,0.0011054150228109903,0.00021484175192941358,0.09375,0.19987215077314927,0.08330277859486923,0.0330095237330587,2.499083357846077,0.0011054150228109903,0.00021484175192941358,0.09375,0.19987215077314927,0.08330277859486923,0.0330095237330587,2.499083357846077,0.0011054150228109903,0.00021484175192941358,0.09375,0.19987215077314927,0.08330277859486923,0.0330095237330587,2.499083357846077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:08:38.000000000,2023-02-06T14:09:36.000000000,1,1,0.47214379725546984,0.08223695566224955,0.03125,0.40614900913390195,0.3333914618008154,0.053807150818765775,10.001743854024465,0.47206673952411915,0.08221829424789777,0.03125,0.40629437854167777,0.3335086896149883,0.05384707598586151,10.005260688449649,0.47214379725546984,0.08223695566224955,0.03125,0.40617066777756844,0.3334090657308332,0.053813006251368825,10.002271971924998,0.47214379725546984,0.08223695566224955,0.03125,0.40614900913390195,0.3333914618008154,0.053807150818765775,10.001743854024465,7.349690989513862e-09,1.7095864976925224e-09,0.0,0.00034817424596509663,-0.00015051804430671543,9.856962389144526e-08,0.004515541329201463,0.0,0.0,0.0,2.932617500339549e-05,-5.354202524901289e-06,8.31357055652119e-10,0.0001606260757470387,0.0,0.0,0.0,0.0003850698983153625,-9.60604207431197e-05,1.3905122215525847e-07,0.0028818126222935913,0.0,0.0,0.0,2.950478906153624e-05,-5.386812841145033e-06,8.415148249802238e-10,0.000161604385234351,1.9061509104298076e-16,4.444718933194347e-17,0.0,5.8527242827382514e-08,-2.4721942000613582e-08,2.814263736693696e-15,7.416582600184073e-07
2023-02-06T14:09:08.000000000,2023-02-06T14:10:06.000000000,2,0,0.00015779048406658978,2.9849233791224446e-05,0.09375,0.5000561324664251,0.5000305547384641,2.557994522276001e-05,15.000916642153925,0.00032966218459685537,5.677935531124486e-05,0.09375,0.5012836453836672,0.5011338492130348,0.0001501583020654904,15.034015476391044,0.00015632986162500935,3.249564622845932e-05,0.09375,0.49951105873869894,0.4994555697535998,5.5431644363040544e-05,14.983667092607993,0.00015779048406658978,2.9849233791224446e-05,0.09375,0.5000522823108196,0.5000265951460123,2.5689190945433114e-05,15.00079785438037,8.350569426800633e-06,1.6603116571558749e-06,0.09375,0.0038591583571889656,-0.0008401932609762875,1.4187178510071467e-05,0.044891981129288744,8.781330085097422e-07,2.0426698415095809e-07,0.09375,0.000999923961921153,1.9454047820121543e-06,9.998441450243292e-07,0.01198609007352956,3.486006940515877e-05,7.414257258443379e-06,0.09375,0.00883344734269979,-0.001078619948868785,7.686637096215229e-05,0.10501959090025977,8.888623004297344e-07,2.0676277929968092e-07,0.09375,0.0011348637298589886,1.1802153080309027e-05,1.2877763945321246e-06,0.01308615277325399,1.5027478856252386e-13,3.330282960762114e-14,0.09375,5.775962340406743e-07,-2.2308704219835393e-07,2.838495811811593e-13,6.692611265950618e-06
2023-02-06T14:09:38.000000000,2023-02-06T14:10:36.000000000,3,0,1.0531697146479104e-07,2.193435973800282e-08,0.03125,0.5000441222464584,0.5000440706179197,5.163309205123314e-08,15.001322118537592,0.5861705622617934,0.10546571394056616,0.03125,0.4645526288173091,0.4149787214079863,0.04360180571966548,12.449361642239587,0.014002637932884176,0.004577008329364681,0.09375,0.5401774125975122,0.5038052745582103,0.03797188240786928,15.11415823674631,4.8136408420423296e-05,9.839558183524145e-06,0.09375,0.49951676171047854,0.49943950142487775,7.717964619242998e-05,14.983185042746335,0.8479857559099746,0.1157942381540695,0.03125,0.5641986881660929,0.3592032049766282,0.18929321726285847,10.776096149298846,0.0007789116434908527,0.00024102410793020677,0.0,0.0447238990160959,0.014141066722583409,0.0018002573751493877,0.4449203614148603,0.1341859064988438,0.03416353265687852,0.03125,0.46463798356909397,0.23651698313216885,0.159948172465211,7.095509493965066,0.0008715406488291417,0.0002947368097559949,0.0,0.04400551401093309,0.014194222467361605,0.0017350093119134758,0.4556948704474277,2.1598957392041834e-08,2.9699903617587245e-09,0.03125,0.000132887633652132,7.920404623289594e-05,1.1385842238000533e-08,0.002376121386986878
2023-02-06T14:10:08.000000000,2023-02-06T14:11:06.000000000,4,0,0.0,0.0,0.0,0.5,0.5,0.0,15.0,1.1008711739129295,0.20844182274628775,0.03125,0.5835532439365944,0.4985200929322661,0.09201210545172718,14.955602787967983,0.9784339702005251,0.28378271092669616,0.0625,0.5734715348688719,0.5002837439480508,0.07858577684618094,15.008512318441523,0.08556884866812679,0.022023434369191717,0.03125,0.47592964765348844,0.4654069026364188,0.009905444493948586,13.962207079092565,1.9855145203381332,0.2911899139866808,0.03125,0.592744341515037,0.42547507846344707,0.1703168120046183,12.764252353903412,0.3137409170776335,0.06482773643750163,0.03125,0.4558473625165318,0.2667730901385962,0.13662893629118275,8.003192704157888,3.939219176049125,0.6932625760664157,0.03125,0.46530336231731956,0.23706720021577882,0.16030636156565464,7.112016006473365,0.16142610766520227,0.0392748233603484,0.03125,0.44096567553842936,0.244016425962078,0.13490671086375708,7.320492778862341,8.66475621719602e-08,1.0439023078363745e-08,0.03125,0.0003906056748451748,0.00033415466995471695,4.091344976870854e-08,0.01002464009864151
2023-02-06T14:10:38.000000000,2023-02-06T14:11:36.000000000,5,0,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.26135175779701525,0.04990538261715158,0.03125,0.5694219727785755,0.483937506718796,0.09004587267384016,14.518125201563876,2.5170175713095198,0.4808513014333136,0.0625,0.5540754535068155,0.48181772194889744,0.07485129099475833,14.454531658466923,0.25864209033688457,0.057976660671481266,0.03125,0.5641501379443912,0.5353274186863582,0.03168993294527628,16.059822560590746,0.1056630382744795,0.023884076182974993,0.03125,0.2982783048880071,0.15960518993442538,0.0634961305128589,4.788155698032761,1.1737756731287603,0.17928628371929803,0.03125,0.6082050894278733,0.4635878702750032,0.15499971733985426,13.907636108250097,0.00415848198580642,0.000852068265791209,0.09375,0.033384349983473886,0.0008051741017149404,0.001113866518485,0.38993304209091156,1.863896687012824,0.3013030708655682,0.03125,0.5760895507359639,0.39806903461624327,0.17342021414685677,11.942071038487297,8.675863559327976e-08,1.0476154193153142e-08,0.03125,0.0007160153011487891,0.0006861721198165217,4.184573346569222e-08,0.02058516359449565
2023-02-06T14:11:08.000000000,2023-02-06T14:12:06.000000000,6,0,0.0,0.0,0.0,0.5,0.5,0.0,15.0,1.0734148508409649,0.1721044159907726,0.03125,0.43294239847172367,0.3832127719519506,0.040587091807350976,11.49638315855852,0.6716743587293408,0.17169230253829365,0.0625,0.5387696262093504,0.4827996430992421,0.057177214749007575,14.483989292977263,0.3481612873484672,0.09757696091819819,0.0625,0.5709791961482528,0.5511089555412976,0.022296161556284947,16.53326866623893,1.1121729719509483,0.17706895033736045,0.03125,0.7450449050632549,0.5935512985076041,0.20278876660065148,17.806538955228127,1.2472688157348757,0.19076681646760404,0.03125,0.4155220706999779,0.27083282929894115,0.0993081698127281,8.124984878968231,2.161575397364469,0.36298917765081895,0.03125,0.6835906030053975,0.4742884167876261,0.24234661021837028,14.22865250362878,1.0804389955323492,0.18710933372335248,0.03125,0.38473181384491717,0.22893269082716014,0.09560839165503593,6.867980724814803,5.815563587656584e-07,1.256536304789026e-07,0.03125,0.0007807829090060135,0.0006506052972979093,1.8633469812379159e-07,0.01951815891893728
2023-02-06T14:11:38.000000000,2023-02-06T14:12:36.000000000,7,0,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.6896521057880454,0.1376901710230456,0.03125,0.5628224357973038,0.46643487797229705,0.09920759884777854,13.993046339168911,0.1552889739559238,0.05273022373299235,0.0625,0.5178250767354875,0.4926402771686531,0.02544836740730602,14.779208315059591,0.018841182646131775,0.004609643068271512,0.03125,0.47435565855903183,0.4689787150393812,0.005072255646983739,14.069361451181436,0.9421565993377137,0.12889217912895545,0.03125,0.8315348507541438,0.7648367080964136,0.10647501796695785,22.945101242892406,0.01013030101623557,0.0023011564248594163,0.03125,0.1174598624018394,0.09738194001717877,0.004313577033949638,2.921458200515363,2.230692844711846,0.37930018544916216,0.03125,0.7093662281303196,0.5332979835799468,0.21879370632139933,15.998939507398402,0.01100553866502742,0.002534770973006361,0.03125,0.11841480270248404,0.09779905708472586,0.004457409932406753,2.9339717125417764,1.9270280362445032e-06,3.4015024723708445e-07,0.03125,0.00048548400982696184,0.0002568444443480594,1.697256552052022e-07,0.007705333330441781
2023-02-06T14:12:08.000000000,2023-02-06T14:13:06.000000000,8,0,0.0,0.0,0.0,0.5,0.5,0.0,15.0,2.555478560750311,0.41043306612969654,0.03125,0.7068937991083992,0.6003663067786464,0.1392591409028741,18.010989203359394,0.6416319516417489,0.1452380188366603,0.0625,0.5130531169532776,0.482594246591685,0.03032629397207748,14.477827397750552,0.21431011497350733,0.04840524086886367,0.0625,0.48366462572142627,0.4658686294994739,0.016897890222529282,13.976058884984216,1.6842869364077595,0.32018668069035333,0.03125,0.6664609531669418,0.5508242436816875,0.1407628546686854,16.52472731045063,0.08199613248184025,0.018431934823808338,0.03125,0.19454791218230738,0.10263314480407795,0.027315327722119944,3.0789943441223384,2.9082057775588863,0.6104061933143348,0.03125,0.44920967775094606,0.23069500788219777,0.14856914792334155,6.920850236465932,0.0681270584011537,0.01378922263015998,0.03125,0.13309090961872191,0.06927713995211295,0.01291386810319416,2.0783141985633886,4.9947103389478045e-08,8.182395629028913e-09,0.03125,0.0002658451044720077,0.00021337183321981906,2.5146080360146413e-08,0.006401154996594572
2023-02-06T14:12:38.000000000,2023-02-06T14:13:36.000000000,9,0,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.7835691043132162,0.15493386731097278,0.03125,0.6510408186012422,0.6194765602403766,0.04010293879772678,18.58429680721129,1.3069325994928227,0.2746910963675516,0.0625,0.601142274921726,0.5066636711703505,0.10466395901425089,15.199910135110517,0.18613371929775427,0.053168918761809535,0.03125,0.5336207187244865,0.5122564451493311,0.022344405855007906,15.367693354479933,1.4113375779969333,0.19080840597832827,0.03125,0.5019110482077981,0.28890791116433184,0.1684469191797132,8.667237334929956,1.0375055668803603,0.1775860297527928,0.03125,0.6159353038023616,0.47971304258348973,0.14925169524539833,14.391391277504692,1.052415851123531,0.19676312830024992,0.03125,0.40685419926222915,0.1745436039285417,0.13506486978494606,5.23630811785625,1.2774478906783973,0.2143821897854668,0.03125,0.5917382355113876,0.43240966033373673,0.16317602501619283,12.9722898100121,8.771773213674813e-08,1.0579977471207233e-08,0.03125,0.0005629285352706608,0.0005259917332280723,4.022123239770008e-08,0.015779751996842166
