segment_start,segment_end,segment_idx,current_state_binary,m1_speed_psd_peak,m1_speed_psd_mean_energy,m1_speed_psd_peak_freq,m1_speed_rms,m1_speed_mean,m1_speed_variance,m1_speed_fft_peak,m2_speed_psd_peak,m2_speed_psd_mean_energy,m2_speed_psd_peak_freq,m2_speed_rms,m2_speed_mean,m2_speed_variance,m2_speed_fft_peak,m3_speed_psd_peak,m3_speed_psd_mean_energy,m3_speed_psd_peak_freq,m3_speed_rms,m3_speed_mean,m3_speed_variance,m3_speed_fft_peak,o8_compressor_psd_peak,o8_compressor_psd_mean_energy,o8_compressor_psd_peak_freq,o8_compressor_rms,o8_compressor_mean,o8_compressor_variance,o8_compressor_fft_peak,current_task_duration_psd_peak,current_task_duration_psd_mean_energy,current_task_duration_psd_peak_freq,current_task_duration_rms,current_task_duration_mean,current_task_duration_variance,current_task_duration_fft_peak
2023-02-06T14:08:08.000000000,2023-02-06T14:09:06.000000000,0,1,0.0011054150228109903,0.00021484175192941358,0.09375,0.19987215077314927,0.08330277859486923,0.0330095237330587,2.499083357846077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004421660091243961,0.0008593670077176543,0.09375,0.39974430154629853,0.16660555718973846,0.1320380949322348,4.998166715692154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:08:38.000000000,2023-02-06T14:09:36.000000000,1,1,0.47214379725547,0.08223695566224956,0.03125,0.40614900913390195,0.3333914618008154,0.053807150818765775,10.001743854024465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88857518902188,0.32894782264899824,0.03125,0.8122980182678039,0.6667829236016308,0.2152286032750631,20.00348770804893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:09:08.000000000,2023-02-06T14:10:06.000000000,2,1,0.00015779048406658978,2.984923379122444e-05,0.09375,0.5000561324664251,0.5000305547384641,2.557994522276001e-05,15.000916642153925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006311619362663591,0.00011939693516489776,0.09375,1.0001122649328502,1.0000611094769283,0.00010231978089104004,30.00183328430785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:09:38.000000000,2023-02-06T14:10:36.000000000,3,1,1.0531697146479106e-07,2.193435973800282e-08,0.03125,0.5000441222464584,0.5000440706179197,5.163309205123314e-08,15.001322118537592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.212678858591642e-07,8.773743895201129e-08,0.03125,1.000088244492917,1.0000881412358393,2.0653236820493255e-07,30.002644237075184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:10:08.000000000,2023-02-06T14:11:06.000000000,4,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:10:38.000000000,2023-02-06T14:11:36.000000000,5,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:11:08.000000000,2023-02-06T14:12:06.000000000,6,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:11:38.000000000,2023-02-06T14:12:36.000000000,7,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:12:08.000000000,2023-02-06T14:13:06.000000000,8,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:12:38.000000000,2023-02-06T14:13:36.000000000,9,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,3.8058589238810147e-06,1.123984650357079e-06,0.09375,0.002581668413660566,-0.0005232849523348069,6.391184656752623e-06,0.029643556077251214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:13:08.000000000,2023-02-06T14:14:06.000000000,10,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.001813484748367935,0.0003641384656018391,0.09375,0.34633741281349495,0.12882917387858545,0.10335264747210643,3.8648752163575635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:13:38.000000000,2023-02-06T14:14:36.000000000,11,1,1.3867037021823195e-06,3.6243115557631826e-07,0.09375,0.49993673057510185,0.49993469140505536,2.0389078540199285e-06,14.998040742151662,3.3798218466291228e-06,9.625325115373594e-07,0.09375,0.003196017788262516,-0.00010942032992726387,1.0202556894289035e-05,0.03569859946576251,2.8726050745468523e-06,9.453988527293764e-07,0.09375,1.00057510701105,1.00056540774134,1.940960158041821e-05,30.0169622322402,2.884634205427918,0.610410259371967,0.0625,0.49797803362168974,0.274713333960564,0.1725147061139963,8.241400018816922,5.224700579890817e-07,1.2344645203569704e-07,0.03125,0.0006933049053976214,2.785833312951446e-05,4.798956051236497e-07,0.006828638245005176
