segment_start,segment_end,segment_idx,current_state_binary,m2_speed_psd_peak,m2_speed_psd_mean_energy,m2_speed_psd_peak_freq,m2_speed_rms,m2_speed_mean,m2_speed_variance,m2_speed_fft_peak,o8_compressor_psd_peak,o8_compressor_psd_mean_energy,o8_compressor_psd_peak_freq,o8_compressor_rms,o8_compressor_mean,o8_compressor_variance,o8_compressor_fft_peak,current_task_duration_psd_peak,current_task_duration_psd_mean_energy,current_task_duration_psd_peak_freq,current_task_duration_rms,current_task_duration_mean,current_task_duration_variance,current_task_duration_fft_peak
2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,16,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,17,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,18,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,19,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:18:10.000000000,2023-02-06T14:19:08.000000000,20,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:18:40.000000000,2023-02-06T14:19:38.000000000,21,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:19:10.000000000,2023-02-06T14:20:08.000000000,22,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:19:40.000000000,2023-02-06T14:20:38.000000000,23,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:20:10.000000000,2023-02-06T14:21:08.000000000,24,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:20:40.000000000,2023-02-06T14:21:38.000000000,25,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:21:10.000000000,2023-02-06T14:22:08.000000000,26,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:21:40.000000000,2023-02-06T14:22:38.000000000,27,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:22:10.000000000,2023-02-06T14:23:08.000000000,28,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:22:40.000000000,2023-02-06T14:23:38.000000000,29,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:23:10.000000000,2023-02-06T14:24:08.000000000,30,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06T14:23:40.000000000,2023-02-06T14:24:38.000000000,31,1,0.0,0.0,0.0,0.5,0.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
